Team,Player_Raw,Draft_Year,Draft_Type,Draft_Round,Draft_Pick
Adelaide,Tyler Welsh,2024,National,4.0,59
Adelaide,Harry Schoenberg,2024,Rookie,1.0,3
Adelaide,Chris Burgess,2024,Rookie,2.0,16
Adelaide,Daniel Curtin,2023,National,1.0,8
Adelaide,Charlie Edwards,2023,National,1.0,21
Adelaide,Oscar Ryan,2023,National,1.0,27
Adelaide,Will Hamill,2023,Rookie,1.0,9
Adelaide,James Borlase,2023,Rookie,2.0,20
Adelaide,Daniel Curtin,2023,National,1.0,8
Adelaide,Charlie Edwards,2023,National,1.0,21
Adelaide,Oscar Ryan,2023,National,1.0,27
Adelaide,Will Hamill,2023,Rookie,1.0,9
Adelaide,James Borlase,2023,Rookie,2.0,20
Adelaide,Daniel Curtin,2023,National,1.0,8
Adelaide,Charlie Edwards,2023,National,1.0,21
Adelaide,Oscar Ryan,2023,National,1.0,27
Adelaide,Will Hamill,2023,Rookie,1.0,9
Adelaide,James Borlase,2023,Rookie,2.0,20
Adelaide,Daniel Curtin,2023,National,1.0,8
Adelaide,Charlie Edwards,2023,National,1.0,21
Adelaide,Oscar Ryan,2023,National,1.0,27
Adelaide,Will Hamill,2023,Rookie,1.0,9
Adelaide,James Borlase,2023,Rookie,2.0,20
Adelaide,Daniel Curtin,2023,National,1.0,8
Adelaide,Charlie Edwards,2023,National,1.0,21
Adelaide,Oscar Ryan,2023,National,1.0,27
Adelaide,Will Hamill,2023,Rookie,1.0,9
Adelaide,James Borlase,2023,Rookie,2.0,20
Adelaide,Daniel Curtin,2023,National,1.0,8
Adelaide,Charlie Edwards,2023,National,1.0,21
Adelaide,Oscar Ryan,2023,National,1.0,27
Adelaide,Will Hamill,2023,Rookie,1.0,9
Adelaide,James Borlase,2023,Rookie,2.0,20
Adelaide,Daniel Curtin,2023,National,1.0,8
Adelaide,Charlie Edwards,2023,National,1.0,21
Adelaide,Oscar Ryan,2023,National,1.0,27
Adelaide,Will Hamill,2023,Rookie,1.0,9
Adelaide,James Borlase,2023,Rookie,2.0,20
Adelaide,Brett Turner,2022,Mid-Season,1.0,4
Adelaide,Max Michalanney,2022,National,1.0,17
Adelaide,Billy Dowling,2022,National,3.0,43
Adelaide,Hugh Bond,2022,National,3.0,50
Adelaide,Andrew McPherson,2022,Rookie,1.0,5
Adelaide,Paul Seedsman,2022,Rookie,2.0,21
Adelaide,Brett Turner,2022,Mid-Season,1.0,4
Adelaide,Max Michalanney,2022,National,1.0,17
Adelaide,Billy Dowling,2022,National,3.0,43
Adelaide,Hugh Bond,2022,National,3.0,50
Adelaide,Andrew McPherson,2022,Rookie,1.0,5
Adelaide,Paul Seedsman,2022,Rookie,2.0,21
Adelaide,Brett Turner,2022,Mid-Season,1.0,4
Adelaide,Max Michalanney,2022,National,1.0,17
Adelaide,Billy Dowling,2022,National,3.0,43
Adelaide,Hugh Bond,2022,National,3.0,50
Adelaide,Andrew McPherson,2022,Rookie,1.0,5
Adelaide,Paul Seedsman,2022,Rookie,2.0,21
Adelaide,Brett Turner,2022,Mid-Season,1.0,4
Adelaide,Max Michalanney,2022,National,1.0,17
Adelaide,Billy Dowling,2022,National,3.0,43
Adelaide,Hugh Bond,2022,National,3.0,50
Adelaide,Andrew McPherson,2022,Rookie,1.0,5
Adelaide,Paul Seedsman,2022,Rookie,2.0,21
Adelaide,Brett Turner,2022,Mid-Season,1.0,4
Adelaide,Max Michalanney,2022,National,1.0,17
Adelaide,Billy Dowling,2022,National,3.0,43
Adelaide,Hugh Bond,2022,National,3.0,50
Adelaide,Andrew McPherson,2022,Rookie,1.0,5
Adelaide,Paul Seedsman,2022,Rookie,2.0,21
Adelaide,Brett Turner,2022,Mid-Season,1.0,4
Adelaide,Max Michalanney,2022,National,1.0,17
Adelaide,Billy Dowling,2022,National,3.0,43
Adelaide,Hugh Bond,2022,National,3.0,50
Adelaide,Andrew McPherson,2022,Rookie,1.0,5
Adelaide,Paul Seedsman,2022,Rookie,2.0,21
Adelaide,Brett Turner,2022,Mid-Season,1.0,4
Adelaide,Max Michalanney,2022,National,1.0,17
Adelaide,Billy Dowling,2022,National,3.0,43
Adelaide,Hugh Bond,2022,National,3.0,50
Adelaide,Andrew McPherson,2022,Rookie,1.0,5
Adelaide,Paul Seedsman,2022,Rookie,2.0,21
Adelaide,Patrick Parnell,2021,Mid-Season,1.0,4
Adelaide,Josh Rachele,2021,National,1.0,6
Adelaide,Jake Soligo,2021,National,2.0,36
Adelaide,Zac Taylor,2021,National,3.0,44
Adelaide,Luke Nankervis,2021,Pre-Season,1.0,2
Adelaide,Ben Davis,2021,Rookie,1.0,4
Adelaide,Patrick Parnell,2021,Mid-Season,1.0,4
Adelaide,Josh Rachele,2021,National,1.0,6
Adelaide,Jake Soligo,2021,National,2.0,36
Adelaide,Zac Taylor,2021,National,3.0,44
Adelaide,Luke Nankervis,2021,Pre-Season,1.0,2
Adelaide,Ben Davis,2021,Rookie,1.0,4
Adelaide,Patrick Parnell,2021,Mid-Season,1.0,4
Adelaide,Josh Rachele,2021,National,1.0,6
Adelaide,Jake Soligo,2021,National,2.0,36
Adelaide,Zac Taylor,2021,National,3.0,44
Adelaide,Luke Nankervis,2021,Pre-Season,1.0,2
Adelaide,Ben Davis,2021,Rookie,1.0,4
Adelaide,Patrick Parnell,2021,Mid-Season,1.0,4
Adelaide,Josh Rachele,2021,National,1.0,6
Adelaide,Jake Soligo,2021,National,2.0,36
Adelaide,Zac Taylor,2021,National,3.0,44
Adelaide,Luke Nankervis,2021,Pre-Season,1.0,2
Adelaide,Ben Davis,2021,Rookie,1.0,4
Adelaide,Patrick Parnell,2021,Mid-Season,1.0,4
Adelaide,Josh Rachele,2021,National,1.0,6
Adelaide,Jake Soligo,2021,National,2.0,36
Adelaide,Zac Taylor,2021,National,3.0,44
Adelaide,Luke Nankervis,2021,Pre-Season,1.0,2
Adelaide,Ben Davis,2021,Rookie,1.0,4
Adelaide,Patrick Parnell,2021,Mid-Season,1.0,4
Adelaide,Josh Rachele,2021,National,1.0,6
Adelaide,Jake Soligo,2021,National,2.0,36
Adelaide,Zac Taylor,2021,National,3.0,44
Adelaide,Luke Nankervis,2021,Pre-Season,1.0,2
Adelaide,Ben Davis,2021,Rookie,1.0,4
Adelaide,Patrick Parnell,2021,Mid-Season,1.0,4
Adelaide,Josh Rachele,2021,National,1.0,6
Adelaide,Jake Soligo,2021,National,2.0,36
Adelaide,Zac Taylor,2021,National,3.0,44
Adelaide,Luke Nankervis,2021,Pre-Season,1.0,2
Adelaide,Ben Davis,2021,Rookie,1.0,4
Adelaide,Riley Thilthorpe,2020,National,1.0,2
Adelaide,Luke Pedlar,2020,National,1.0,11
Adelaide,Brayden Cook,2020,National,1.0,25
Adelaide,Sam Berry,2020,National,2.0,28
Adelaide,James Rowe,2020,National,2.0,38
Adelaide,Jackson Hately,2020,Pre-Season,1.0,1
Adelaide,Bryce Gibbs,2020,Rookie,1.0,1
Adelaide,Riley Thilthorpe,2020,National,1.0,2
Adelaide,Luke Pedlar,2020,National,1.0,11
Adelaide,Brayden Cook,2020,National,1.0,25
Adelaide,Sam Berry,2020,National,2.0,28
Adelaide,James Rowe,2020,National,2.0,38
Adelaide,Jackson Hately,2020,Pre-Season,1.0,1
Adelaide,Bryce Gibbs,2020,Rookie,1.0,1
Adelaide,Riley Thilthorpe,2020,National,1.0,2
Adelaide,Luke Pedlar,2020,National,1.0,11
Adelaide,Brayden Cook,2020,National,1.0,25
Adelaide,Sam Berry,2020,National,2.0,28
Adelaide,James Rowe,2020,National,2.0,38
Adelaide,Jackson Hately,2020,Pre-Season,1.0,1
Adelaide,Bryce Gibbs,2020,Rookie,1.0,1
Adelaide,Riley Thilthorpe,2020,National,1.0,2
Adelaide,Luke Pedlar,2020,National,1.0,11
Adelaide,Brayden Cook,2020,National,1.0,25
Adelaide,Sam Berry,2020,National,2.0,28
Adelaide,James Rowe,2020,National,2.0,38
Adelaide,Jackson Hately,2020,Pre-Season,1.0,1
Adelaide,Bryce Gibbs,2020,Rookie,1.0,1
Adelaide,Riley Thilthorpe,2020,National,1.0,2
Adelaide,Luke Pedlar,2020,National,1.0,11
Adelaide,Brayden Cook,2020,National,1.0,25
Adelaide,Sam Berry,2020,National,2.0,28
Adelaide,James Rowe,2020,National,2.0,38
Adelaide,Jackson Hately,2020,Pre-Season,1.0,1
Adelaide,Bryce Gibbs,2020,Rookie,1.0,1
Adelaide,Riley Thilthorpe,2020,National,1.0,2
Adelaide,Luke Pedlar,2020,National,1.0,11
Adelaide,Brayden Cook,2020,National,1.0,25
Adelaide,Sam Berry,2020,National,2.0,28
Adelaide,James Rowe,2020,National,2.0,38
Adelaide,Jackson Hately,2020,Pre-Season,1.0,1
Adelaide,Bryce Gibbs,2020,Rookie,1.0,1
Adelaide,Riley Thilthorpe,2020,National,1.0,2
Adelaide,Luke Pedlar,2020,National,1.0,11
Adelaide,Brayden Cook,2020,National,1.0,25
Adelaide,Sam Berry,2020,National,2.0,28
Adelaide,James Rowe,2020,National,2.0,38
Adelaide,Jackson Hately,2020,Pre-Season,1.0,1
Adelaide,Bryce Gibbs,2020,Rookie,1.0,1
Adelaide,Fischer McAsey,2019,National,1.0,6
Adelaide,Harry Schoenberg,2019,National,2.0,24
Adelaide,Josh Worrell,2019,National,2.0,28
Adelaide,Ronin O'Connor,2019,National,2.0,42
Adelaide,Lachlan Gollant,2019,National,3.0,48
Adelaide,Ben Keays,2019,Rookie,1.0,7
Adelaide,Ben Crocker,2019,Rookie,2.0,21
Adelaide,Fischer McAsey,2019,National,1.0,6
Adelaide,Harry Schoenberg,2019,National,2.0,24
Adelaide,Josh Worrell,2019,National,2.0,28
Adelaide,Ronin O'Connor,2019,National,2.0,42
Adelaide,Lachlan Gollant,2019,National,3.0,48
Adelaide,Ben Keays,2019,Rookie,1.0,7
Adelaide,Ben Crocker,2019,Rookie,2.0,21
Adelaide,Fischer McAsey,2019,National,1.0,6
Adelaide,Harry Schoenberg,2019,National,2.0,24
Adelaide,Josh Worrell,2019,National,2.0,28
Adelaide,Ronin O'Connor,2019,National,2.0,42
Adelaide,Lachlan Gollant,2019,National,3.0,48
Adelaide,Ben Keays,2019,Rookie,1.0,7
Adelaide,Ben Crocker,2019,Rookie,2.0,21
Adelaide,Fischer McAsey,2019,National,1.0,6
Adelaide,Harry Schoenberg,2019,National,2.0,24
Adelaide,Josh Worrell,2019,National,2.0,28
Adelaide,Ronin O'Connor,2019,National,2.0,42
Adelaide,Lachlan Gollant,2019,National,3.0,48
Adelaide,Ben Keays,2019,Rookie,1.0,7
Adelaide,Ben Crocker,2019,Rookie,2.0,21
Adelaide,Fischer McAsey,2019,National,1.0,6
Adelaide,Harry Schoenberg,2019,National,2.0,24
Adelaide,Josh Worrell,2019,National,2.0,28
Adelaide,Ronin O'Connor,2019,National,2.0,42
Adelaide,Lachlan Gollant,2019,National,3.0,48
Adelaide,Ben Keays,2019,Rookie,1.0,7
Adelaide,Ben Crocker,2019,Rookie,2.0,21
Adelaide,Fischer McAsey,2019,National,1.0,6
Adelaide,Harry Schoenberg,2019,National,2.0,24
Adelaide,Josh Worrell,2019,National,2.0,28
Adelaide,Ronin O'Connor,2019,National,2.0,42
Adelaide,Lachlan Gollant,2019,National,3.0,48
Adelaide,Ben Keays,2019,Rookie,1.0,7
Adelaide,Ben Crocker,2019,Rookie,2.0,21
Adelaide,Fischer McAsey,2019,National,1.0,6
Adelaide,Harry Schoenberg,2019,National,2.0,24
Adelaide,Josh Worrell,2019,National,2.0,28
Adelaide,Ronin O'Connor,2019,National,2.0,42
Adelaide,Lachlan Gollant,2019,National,3.0,48
Adelaide,Ben Keays,2019,Rookie,1.0,7
Adelaide,Ben Crocker,2019,Rookie,2.0,21
Adelaide,Chayce Jones,2018,National,1.0,9
Adelaide,Ned McHenry,2018,National,1.0,16
Adelaide,Will Hamill,2018,National,2.0,30
Adelaide,Lachlan Sholl,2018,National,4.0,64
Adelaide,Kieran Strachan,2018,Rookie,1.0,7
Adelaide,Paul Hunter,2018,Rookie,2.0,24
Adelaide,Jordon Butts,2018,Rookie,3.0,39
Adelaide,Chayce Jones,2018,National,1.0,9
Adelaide,Ned McHenry,2018,National,1.0,16
Adelaide,Will Hamill,2018,National,2.0,30
Adelaide,Lachlan Sholl,2018,National,4.0,64
Adelaide,Kieran Strachan,2018,Rookie,1.0,7
Adelaide,Paul Hunter,2018,Rookie,2.0,24
Adelaide,Jordon Butts,2018,Rookie,3.0,39
Adelaide,Chayce Jones,2018,National,1.0,9
Adelaide,Ned McHenry,2018,National,1.0,16
Adelaide,Will Hamill,2018,National,2.0,30
Adelaide,Lachlan Sholl,2018,National,4.0,64
Adelaide,Kieran Strachan,2018,Rookie,1.0,7
Adelaide,Paul Hunter,2018,Rookie,2.0,24
Adelaide,Jordon Butts,2018,Rookie,3.0,39
Adelaide,Chayce Jones,2018,National,1.0,9
Adelaide,Ned McHenry,2018,National,1.0,16
Adelaide,Will Hamill,2018,National,2.0,30
Adelaide,Lachlan Sholl,2018,National,4.0,64
Adelaide,Kieran Strachan,2018,Rookie,1.0,7
Adelaide,Paul Hunter,2018,Rookie,2.0,24
Adelaide,Jordon Butts,2018,Rookie,3.0,39
Adelaide,Chayce Jones,2018,National,1.0,9
Adelaide,Ned McHenry,2018,National,1.0,16
Adelaide,Will Hamill,2018,National,2.0,30
Adelaide,Lachlan Sholl,2018,National,4.0,64
Adelaide,Kieran Strachan,2018,Rookie,1.0,7
Adelaide,Paul Hunter,2018,Rookie,2.0,24
Adelaide,Jordon Butts,2018,Rookie,3.0,39
Adelaide,Chayce Jones,2018,National,1.0,9
Adelaide,Ned McHenry,2018,National,1.0,16
Adelaide,Will Hamill,2018,National,2.0,30
Adelaide,Lachlan Sholl,2018,National,4.0,64
Adelaide,Kieran Strachan,2018,Rookie,1.0,7
Adelaide,Paul Hunter,2018,Rookie,2.0,24
Adelaide,Jordon Butts,2018,Rookie,3.0,39
Adelaide,Chayce Jones,2018,National,1.0,9
Adelaide,Ned McHenry,2018,National,1.0,16
Adelaide,Will Hamill,2018,National,2.0,30
Adelaide,Lachlan Sholl,2018,National,4.0,64
Adelaide,Kieran Strachan,2018,Rookie,1.0,7
Adelaide,Paul Hunter,2018,Rookie,2.0,24
Adelaide,Jordon Butts,2018,Rookie,3.0,39
Adelaide,Darcy Fogarty,2017,National,1.0,12
Adelaide,Andrew McPherson,2017,National,3.0,40
Adelaide,Patrick Wilson,2017,Rookie,1.0,17
Adelaide,Cameron Ellis-Yolmen,2017,Rookie,2.0,31
Adelaide,Lachlan Murphy,2017,Rookie,3.0,38
Adelaide,Jackson Edwards,2017,Rookie,4.0,41
Adelaide,Darcy Fogarty,2017,National,1.0,12
Adelaide,Andrew McPherson,2017,National,3.0,40
Adelaide,Patrick Wilson,2017,Rookie,1.0,17
Adelaide,Cameron Ellis-Yolmen,2017,Rookie,2.0,31
Adelaide,Lachlan Murphy,2017,Rookie,3.0,38
Adelaide,Jackson Edwards,2017,Rookie,4.0,41
Adelaide,Darcy Fogarty,2017,National,1.0,12
Adelaide,Andrew McPherson,2017,National,3.0,40
Adelaide,Patrick Wilson,2017,Rookie,1.0,17
Adelaide,Cameron Ellis-Yolmen,2017,Rookie,2.0,31
Adelaide,Lachlan Murphy,2017,Rookie,3.0,38
Adelaide,Jackson Edwards,2017,Rookie,4.0,41
Adelaide,Darcy Fogarty,2017,National,1.0,12
Adelaide,Andrew McPherson,2017,National,3.0,40
Adelaide,Patrick Wilson,2017,Rookie,1.0,17
Adelaide,Cameron Ellis-Yolmen,2017,Rookie,2.0,31
Adelaide,Lachlan Murphy,2017,Rookie,3.0,38
Adelaide,Jackson Edwards,2017,Rookie,4.0,41
Adelaide,Darcy Fogarty,2017,National,1.0,12
Adelaide,Andrew McPherson,2017,National,3.0,40
Adelaide,Patrick Wilson,2017,Rookie,1.0,17
Adelaide,Cameron Ellis-Yolmen,2017,Rookie,2.0,31
Adelaide,Lachlan Murphy,2017,Rookie,3.0,38
Adelaide,Jackson Edwards,2017,Rookie,4.0,41
Adelaide,Darcy Fogarty,2017,National,1.0,12
Adelaide,Andrew McPherson,2017,National,3.0,40
Adelaide,Patrick Wilson,2017,Rookie,1.0,17
Adelaide,Cameron Ellis-Yolmen,2017,Rookie,2.0,31
Adelaide,Lachlan Murphy,2017,Rookie,3.0,38
Adelaide,Jackson Edwards,2017,Rookie,4.0,41
Adelaide,Darcy Fogarty,2017,National,1.0,12
Adelaide,Andrew McPherson,2017,National,3.0,40
Adelaide,Patrick Wilson,2017,Rookie,1.0,17
Adelaide,Cameron Ellis-Yolmen,2017,Rookie,2.0,31
Adelaide,Lachlan Murphy,2017,Rookie,3.0,38
Adelaide,Jackson Edwards,2017,Rookie,4.0,41
Adelaide,Jordan Gallucci,2016,National,1.0,15
Adelaide,Myles Poholke,2016,National,3.0,44
Adelaide,Elliott Himmelberg,2016,National,3.0,51
Adelaide,Matthew Signorello,2016,National,4.0,62
Adelaide,Ben Davis,2016,National,5.0,75
Adelaide,Sam Shaw,2016,Rookie,1.0,13
Adelaide,Ben Jarman,2016,Rookie,3.0,45
Adelaide,Jordan Gallucci,2016,National,1.0,15
Adelaide,Myles Poholke,2016,National,3.0,44
Adelaide,Elliott Himmelberg,2016,National,3.0,51
Adelaide,Matthew Signorello,2016,National,4.0,62
Adelaide,Ben Davis,2016,National,5.0,75
Adelaide,Sam Shaw,2016,Rookie,1.0,13
Adelaide,Ben Jarman,2016,Rookie,3.0,45
Adelaide,Jordan Gallucci,2016,National,1.0,15
Adelaide,Myles Poholke,2016,National,3.0,44
Adelaide,Elliott Himmelberg,2016,National,3.0,51
Adelaide,Matthew Signorello,2016,National,4.0,62
Adelaide,Ben Davis,2016,National,5.0,75
Adelaide,Sam Shaw,2016,Rookie,1.0,13
Adelaide,Ben Jarman,2016,Rookie,3.0,45
Adelaide,Jordan Gallucci,2016,National,1.0,15
Adelaide,Myles Poholke,2016,National,3.0,44
Adelaide,Elliott Himmelberg,2016,National,3.0,51
Adelaide,Matthew Signorello,2016,National,4.0,62
Adelaide,Ben Davis,2016,National,5.0,75
Adelaide,Sam Shaw,2016,Rookie,1.0,13
Adelaide,Ben Jarman,2016,Rookie,3.0,45
Adelaide,Jordan Gallucci,2016,National,1.0,15
Adelaide,Myles Poholke,2016,National,3.0,44
Adelaide,Elliott Himmelberg,2016,National,3.0,51
Adelaide,Matthew Signorello,2016,National,4.0,62
Adelaide,Ben Davis,2016,National,5.0,75
Adelaide,Sam Shaw,2016,Rookie,1.0,13
Adelaide,Ben Jarman,2016,Rookie,3.0,45
Adelaide,Jordan Gallucci,2016,National,1.0,15
Adelaide,Myles Poholke,2016,National,3.0,44
Adelaide,Elliott Himmelberg,2016,National,3.0,51
Adelaide,Matthew Signorello,2016,National,4.0,62
Adelaide,Ben Davis,2016,National,5.0,75
Adelaide,Sam Shaw,2016,Rookie,1.0,13
Adelaide,Ben Jarman,2016,Rookie,3.0,45
Adelaide,Jordan Gallucci,2016,National,1.0,15
Adelaide,Myles Poholke,2016,National,3.0,44
Adelaide,Elliott Himmelberg,2016,National,3.0,51
Adelaide,Matthew Signorello,2016,National,4.0,62
Adelaide,Ben Davis,2016,National,5.0,75
Adelaide,Sam Shaw,2016,Rookie,1.0,13
Adelaide,Ben Jarman,2016,Rookie,3.0,45
Adelaide,Wayne Milera,2015,National,1.0,11
Adelaide,Tom Doedee,2015,National,1.0,17
Adelaide,Paul Hunter,2015,Rookie,1.0,13
Adelaide,Jonathon Beech,2015,Rookie,2.0,31
Adelaide,Hugh Greenwood,2015,Rookie,3.0,48
Adelaide,Alex Keath,2015,Rookie,4.0,58
Adelaide,Wayne Milera,2015,National,1.0,11
Adelaide,Tom Doedee,2015,National,1.0,17
Adelaide,Paul Hunter,2015,Rookie,1.0,13
Adelaide,Jonathon Beech,2015,Rookie,2.0,31
Adelaide,Hugh Greenwood,2015,Rookie,3.0,48
Adelaide,Alex Keath,2015,Rookie,4.0,58
Adelaide,Wayne Milera,2015,National,1.0,11
Adelaide,Tom Doedee,2015,National,1.0,17
Adelaide,Paul Hunter,2015,Rookie,1.0,13
Adelaide,Jonathon Beech,2015,Rookie,2.0,31
Adelaide,Hugh Greenwood,2015,Rookie,3.0,48
Adelaide,Alex Keath,2015,Rookie,4.0,58
Adelaide,Wayne Milera,2015,National,1.0,11
Adelaide,Tom Doedee,2015,National,1.0,17
Adelaide,Paul Hunter,2015,Rookie,1.0,13
Adelaide,Jonathon Beech,2015,Rookie,2.0,31
Adelaide,Hugh Greenwood,2015,Rookie,3.0,48
Adelaide,Alex Keath,2015,Rookie,4.0,58
Adelaide,Wayne Milera,2015,National,1.0,11
Adelaide,Tom Doedee,2015,National,1.0,17
Adelaide,Paul Hunter,2015,Rookie,1.0,13
Adelaide,Jonathon Beech,2015,Rookie,2.0,31
Adelaide,Hugh Greenwood,2015,Rookie,3.0,48
Adelaide,Alex Keath,2015,Rookie,4.0,58
Adelaide,Wayne Milera,2015,National,1.0,11
Adelaide,Tom Doedee,2015,National,1.0,17
Adelaide,Paul Hunter,2015,Rookie,1.0,13
Adelaide,Jonathon Beech,2015,Rookie,2.0,31
Adelaide,Hugh Greenwood,2015,Rookie,3.0,48
Adelaide,Alex Keath,2015,Rookie,4.0,58
Adelaide,Wayne Milera,2015,National,1.0,11
Adelaide,Tom Doedee,2015,National,1.0,17
Adelaide,Paul Hunter,2015,Rookie,1.0,13
Adelaide,Jonathon Beech,2015,Rookie,2.0,31
Adelaide,Hugh Greenwood,2015,Rookie,3.0,48
Adelaide,Alex Keath,2015,Rookie,4.0,58
Adelaide,Jake Lever,2014,National,1.0,14
Adelaide,Harrison Wigg,2014,National,2.0,35
Adelaide,Mitch McGovern,2014,National,3.0,43
Adelaide,Harry Dear,2014,National,3.0,58
Adelaide,Reilly O'Brien,2014,Rookie,1.0,9
Adelaide,Keenan Ramsey,2014,Rookie,2.0,27
Adelaide,Anthony Wilson,2014,Rookie,3.0,44
Adelaide,Jake Lever,2014,National,1.0,14
Adelaide,Harrison Wigg,2014,National,2.0,35
Adelaide,Mitch McGovern,2014,National,3.0,43
Adelaide,Harry Dear,2014,National,3.0,58
Adelaide,Reilly O'Brien,2014,Rookie,1.0,9
Adelaide,Keenan Ramsey,2014,Rookie,2.0,27
Adelaide,Anthony Wilson,2014,Rookie,3.0,44
Adelaide,Jake Lever,2014,National,1.0,14
Adelaide,Harrison Wigg,2014,National,2.0,35
Adelaide,Mitch McGovern,2014,National,3.0,43
Adelaide,Harry Dear,2014,National,3.0,58
Adelaide,Reilly O'Brien,2014,Rookie,1.0,9
Adelaide,Keenan Ramsey,2014,Rookie,2.0,27
Adelaide,Anthony Wilson,2014,Rookie,3.0,44
Adelaide,Jake Lever,2014,National,1.0,14
Adelaide,Harrison Wigg,2014,National,2.0,35
Adelaide,Mitch McGovern,2014,National,3.0,43
Adelaide,Harry Dear,2014,National,3.0,58
Adelaide,Reilly O'Brien,2014,Rookie,1.0,9
Adelaide,Keenan Ramsey,2014,Rookie,2.0,27
Adelaide,Anthony Wilson,2014,Rookie,3.0,44
Adelaide,Jake Lever,2014,National,1.0,14
Adelaide,Harrison Wigg,2014,National,2.0,35
Adelaide,Mitch McGovern,2014,National,3.0,43
Adelaide,Harry Dear,2014,National,3.0,58
Adelaide,Reilly O'Brien,2014,Rookie,1.0,9
Adelaide,Keenan Ramsey,2014,Rookie,2.0,27
Adelaide,Anthony Wilson,2014,Rookie,3.0,44
Adelaide,Jake Lever,2014,National,1.0,14
Adelaide,Harrison Wigg,2014,National,2.0,35
Adelaide,Mitch McGovern,2014,National,3.0,43
Adelaide,Harry Dear,2014,National,3.0,58
Adelaide,Reilly O'Brien,2014,Rookie,1.0,9
Adelaide,Keenan Ramsey,2014,Rookie,2.0,27
Adelaide,Anthony Wilson,2014,Rookie,3.0,44
Adelaide,Jake Lever,2014,National,1.0,14
Adelaide,Harrison Wigg,2014,National,2.0,35
Adelaide,Mitch McGovern,2014,National,3.0,43
Adelaide,Harry Dear,2014,National,3.0,58
Adelaide,Reilly O'Brien,2014,Rookie,1.0,9
Adelaide,Keenan Ramsey,2014,Rookie,2.0,27
Adelaide,Anthony Wilson,2014,Rookie,3.0,44
Adelaide,Matt Crouch,2013,National,2.0,23
