Season,Round,Team,Player,PlayerUrl,Position,SelectionType,ScrapedAt
2026,7,Fremantle,J Sharp,pp-fremantle-dockers--jeremy-sharp,,emergency,2026-04-29 08:44
2026,7,Fremantle,B Walker,pp-fremantle-dockers--brandon-walker,,emergency,2026-04-29 08:44
2026,7,Fremantle,C Scerri,pp-fremantle-dockers--chris-scerri,,emergency,2026-04-29 08:44
2026,7,Fremantle,B Cox,pp-fremantle-dockers--brennan-cox,Key Defender,selected,2026-04-29 08:44
2026,7,Fremantle,A Pearce,pp-fremantle-dockers--alex-pearce,Key Defender,selected,2026-04-29 08:44
2026,7,Fremantle,H Chapman,pp-fremantle-dockers--heath-chapman,Key Defender,selected,2026-04-29 08:44
2026,7,Carlton,Z Williams,pp-carlton-blues--zachary-williams,Key Forward,selected,2026-04-29 08:44
2026,7,Carlton,W Hayward,pp-carlton-blues--will-hayward,Key Forward,selected,2026-04-29 08:44
2026,7,Carlton,B Kemp,pp-carlton-blues--brodie-kemp,Key Forward,selected,2026-04-29 08:44
2026,7,Fremantle,J Clark,pp-fremantle-dockers--jordan-clark,Gen. Defender,selected,2026-04-29 08:44
2026,7,Fremantle,L Ryan,pp-fremantle-dockers--luke-ryan,Gen. Defender,selected,2026-04-29 08:44
2026,7,Fremantle,J McVee,pp-fremantle-dockers--judd-mcvee,Gen. Defender,selected,2026-04-29 08:44
2026,7,Carlton,B Ainsworth,pp-carlton-blues--ben-ainsworth,Gen. Forward,selected,2026-04-29 08:44
2026,7,Carlton,J Smith,pp-carlton-blues--jagga-smith,Gen. Forward,selected,2026-04-29 08:44
2026,7,Carlton,F Evans,pp-carlton-blues--francis-evans,Gen. Forward,selected,2026-04-29 08:44
2026,7,Fremantle,N Erasmus,pp-fremantle-dockers--neil-erasmus,Midfielder,selected,2026-04-29 08:44
2026,7,Fremantle,A Brayshaw,pp-fremantle-dockers--andrew-brayshaw,Midfielder,selected,2026-04-29 08:44
2026,7,Fremantle,M Johnson,pp-fremantle-dockers--matt-johnson-1,Midfielder,selected,2026-04-29 08:44
2026,7,Carlton,O Florent,pp-carlton-blues--oliver-florent,Midfielder,selected,2026-04-29 08:44
2026,7,Carlton,P Cripps,pp-carlton-blues--patrick-cripps,Midfielder,selected,2026-04-29 08:44
2026,7,Carlton,M Carroll,pp-carlton-blues--matt-carroll,Midfielder,selected,2026-04-29 08:44
2026,7,Fremantle,S Bolton,pp-fremantle-dockers--shai-bolton,Gen. Forward,selected,2026-04-29 08:44
2026,7,Fremantle,J Amiss,pp-fremantle-dockers--jye-amiss,Gen. Forward,selected,2026-04-29 08:44
2026,7,Fremantle,S Switkowski,pp-fremantle-dockers--sam-switkowski,Gen. Forward,selected,2026-04-29 08:44
2026,7,Carlton,N Haynes,pp-carlton-blues--nick-haynes,Gen. Defender,selected,2026-04-29 08:44
2026,7,Carlton,M McGovern,pp-carlton-blues--mitch-mcgovern,Gen. Defender,selected,2026-04-29 08:44
2026,7,Carlton,N Newman,pp-carlton-blues--nic-newman,Gen. Defender,selected,2026-04-29 08:44
2026,7,Fremantle,M Reid,pp-fremantle-dockers--murphy-reid,Key Forward,selected,2026-04-29 08:44
2026,7,Fremantle,J Treacy,pp-fremantle-dockers--josh-treacy,Key Forward,selected,2026-04-29 08:44
2026,7,Fremantle,P Voss,pp-fremantle-dockers--patrick-voss,Key Forward,selected,2026-04-29 08:44
2026,7,Carlton,H Dean,pp-carlton-blues--harry-dean,Key Defender,selected,2026-04-29 08:44
2026,7,Carlton,J Weitering,pp-carlton-blues--jacob-weitering,Key Defender,selected,2026-04-29 08:44
2026,7,Carlton,L Cowan,pp-carlton-blues--lachlan-cowan,Key Defender,selected,2026-04-29 08:44
2026,7,Fremantle,L Jackson,pp-fremantle-dockers--luke-jackson,Ruck,selected,2026-04-29 08:44
2026,7,Fremantle,H Young,pp-fremantle-dockers--hayden-young,Ruck,selected,2026-04-29 08:44
2026,7,Fremantle,C Serong,pp-fremantle-dockers--caleb-serong,Ruck,selected,2026-04-29 08:44
2026,7,Carlton,L Reidy,pp-carlton-blues--liam-reidy,Ruck,selected,2026-04-29 08:44
2026,7,Carlton,C Lord,pp-carlton-blues--cooper-lord,Ruck,selected,2026-04-29 08:44
2026,7,Carlton,S Walsh,pp-carlton-blues--sam-walsh,Ruck,selected,2026-04-29 08:44
2026,7,Carlton,A Cerra,pp-carlton-blues--adam-cerra,Interchange,interchange,2026-04-29 08:44
2026,7,Carlton,L Young,pp-carlton-blues--lewis-young,Interchange,interchange,2026-04-29 08:44
2026,7,Carlton,O Hollands,pp-carlton-blues--oliver-hollands,Interchange,interchange,2026-04-29 08:44
2026,7,Carlton,T Byrne,pp-carlton-blues--talor-byrne,Interchange,interchange,2026-04-29 08:44
2026,7,Carlton,A Moir,pp-carlton-blues--ashton-moir,Interchange,interchange,2026-04-29 08:44
2026,7,Carlton,F Young,pp-carlton-blues--flynn-young,,emergency,2026-04-29 08:44
2026,7,Carlton,M Cottrell,pp-carlton-blues--matt-cottrell,,emergency,2026-04-29 08:44
2026,7,Carlton,H O'Keeffe,pp-carlton-blues--hudson-o-keeffe,,emergency,2026-04-29 08:44
2026,7,Western Bulldogs,J Busslinger,pp-western-bulldogs--jedd-busslinger,Interchange,interchange,2026-04-29 08:44
2026,7,Western Bulldogs,L Emmett,pp-western-bulldogs--louis-emmett,Interchange,interchange,2026-04-29 08:44
2026,7,Western Bulldogs,M Kennedy,pp-western-bulldogs--matthew-kennedy-1,Interchange,interchange,2026-04-29 08:44
2026,7,Western Bulldogs,S Davidson,pp-western-bulldogs--sam-davidson,Interchange,interchange,2026-04-29 08:44
2026,7,Western Bulldogs,C Hynes,pp-western-bulldogs--cooper-hynes,Interchange,interchange,2026-04-29 08:44
2026,7,Western Bulldogs,L Vandermeer,pp-western-bulldogs--laitham-vandermeer,,emergency,2026-04-29 08:44
2026,7,Western Bulldogs,L McNeil,pp-western-bulldogs--lachlan-mcneil,,emergency,2026-04-29 08:44
2026,7,Western Bulldogs,J Croft,pp-western-bulldogs--jordan-croft,,emergency,2026-04-29 08:44
2026,7,Western Bulldogs,M Sellwood,pp-western-bulldogs--michael-sellwood,Key Defender,selected,2026-04-29 08:44
2026,7,Western Bulldogs,B Khamis,pp-western-bulldogs--buku-khamis,Key Defender,selected,2026-04-29 08:44
2026,7,Western Bulldogs,R Gardner,pp-western-bulldogs--ryan-gardner,Key Defender,selected,2026-04-29 08:44
2026,7,Sydney,J Amartey,pp-sydney-swans--joel-amartey,Key Forward,selected,2026-04-29 08:44
2026,7,Sydney,C Curnow,pp-sydney-swans--charlie-curnow,Key Forward,selected,2026-04-29 08:44
2026,7,Sydney,M Rosas,pp-sydney-swans--malcolm-rosas,Key Forward,selected,2026-04-29 08:44
2026,7,Western Bulldogs,L Jaques,pp-western-bulldogs--lachie-jaques,Gen. Defender,selected,2026-04-29 08:44
2026,7,Western Bulldogs,L Smith,pp-western-bulldogs--lachlan-smith-1,Gen. Defender,selected,2026-04-29 08:44
2026,7,Western Bulldogs,B Dale,pp-western-bulldogs--bailey-dale,Gen. Defender,selected,2026-04-29 08:44
2026,7,Sydney,B Cootee,pp-sydney-swans--billy-cootee,Gen. Forward,selected,2026-04-29 08:44
2026,7,Sydney,T Papley,pp-sydney-swans--tom-papley,Gen. Forward,selected,2026-04-29 08:44
2026,7,Sydney,J Lloyd,pp-sydney-swans--jake-lloyd,Gen. Forward,selected,2026-04-29 08:44
2026,7,Western Bulldogs,O Baker,pp-western-bulldogs--oskar-baker,Midfielder,selected,2026-04-29 08:44
2026,7,Western Bulldogs,M Bontempelli,pp-western-bulldogs--marcus-bontempelli,Midfielder,selected,2026-04-29 08:44
2026,7,Western Bulldogs,B Williams,pp-western-bulldogs--bailey-williams,Midfielder,selected,2026-04-29 08:44
2026,7,Sydney,J Serong,pp-sydney-swans--jai-serong,Midfielder,selected,2026-04-29 08:44
2026,7,Sydney,C Warner,pp-sydney-swans--chad-warner,Midfielder,selected,2026-04-29 08:44
2026,7,Sydney,M Roberts,pp-sydney-swans--matthew-roberts,Midfielder,selected,2026-04-29 08:44
2026,7,Western Bulldogs,R Sanders,pp-western-bulldogs--ryley-sanders,Gen. Forward,selected,2026-04-29 08:44
2026,7,Western Bulldogs,W Lewis,pp-western-bulldogs--will-lewis,Gen. Forward,selected,2026-04-29 08:44
2026,7,Western Bulldogs,A Treloar,pp-western-bulldogs--adam-treloar,Gen. Forward,selected,2026-04-29 08:44
2026,7,Sydney,N Blakey,pp-sydney-swans--nick-blakey,Gen. Defender,selected,2026-04-29 08:44
2026,7,Sydney,C Mills,pp-sydney-swans--callum-mills,Gen. Defender,selected,2026-04-29 08:44
2026,7,Sydney,R Bice,pp-sydney-swans--riley-bice,Gen. Defender,selected,2026-04-29 08:44
2026,7,Western Bulldogs,J Freijah,pp-western-bulldogs--joel-freijah,Key Forward,selected,2026-04-29 08:44
2026,7,Western Bulldogs,A Naughton,pp-western-bulldogs--aaron-naughton,Key Forward,selected,2026-04-29 08:44
2026,7,Western Bulldogs,R West,pp-western-bulldogs--rhylee-west,Key Forward,selected,2026-04-29 08:44
2026,7,Sydney,W Edwards,pp-sydney-swans--will-edwards,Key Defender,selected,2026-04-29 08:44
2026,7,Sydney,T McCartin,pp-sydney-swans--tom-mccartin,Key Defender,selected,2026-04-29 08:44
2026,7,Sydney,D Rampe,pp-sydney-swans--dane-rampe,Key Defender,selected,2026-04-29 08:44
2026,7,Western Bulldogs,J Dolan,pp-western-bulldogs--josh-dolan,Ruck,selected,2026-04-29 08:44
2026,7,Western Bulldogs,L Bramble,pp-western-bulldogs--lachlan-bramble,Ruck,selected,2026-04-29 08:44
2026,7,Western Bulldogs,E Richards,pp-western-bulldogs--ed-richards,Ruck,selected,2026-04-29 08:44
2026,7,Sydney,B Grundy,pp-sydney-swans--brodie-grundy,Ruck,selected,2026-04-29 08:44
2026,7,Sydney,J Jordon,pp-sydney-swans--james-jordon,Ruck,selected,2026-04-29 08:44
2026,7,Sydney,J McInerney,pp-sydney-swans--justin-mcinerney,Ruck,selected,2026-04-29 08:44
2026,7,Sydney,S Wicks,pp-sydney-swans--sam-wicks,Interchange,interchange,2026-04-29 08:44
2026,7,Sydney,A Sheldrick,pp-sydney-swans--angus-sheldrick,Interchange,interchange,2026-04-29 08:44
2026,7,Sydney,J Rowbottom,pp-sydney-swans--james-rowbottom,Interchange,interchange,2026-04-29 08:44
2026,7,Sydney,L McDonald,pp-sydney-swans--logan-mcdonald,Interchange,interchange,2026-04-29 08:44
2026,7,Sydney,H Cunningham,pp-sydney-swans--harry-cunningham,Interchange,interchange,2026-04-29 08:44
2026,7,Sydney,H McLean,pp-sydney-swans--hayden-mclean,,emergency,2026-04-29 08:44
2026,7,Sydney,C Warner,pp-sydney-swans--corey-warner,,emergency,2026-04-29 08:44
2026,7,Sydney,P Ladhams,pp-sydney-swans--peter-ladhams,,emergency,2026-04-29 08:44
2026,7,Richmond,T Brown,pp-richmond-tigers--tom-brown,Interchange,interchange,2026-04-29 08:44
2026,7,Richmond,S Ryan,pp-richmond-tigers--samson-ryan,Interchange,interchange,2026-04-29 08:44
2026,7,Richmond,J Hopper,pp-richmond-tigers--jacob-hopper,Interchange,interchange,2026-04-29 08:44
2026,7,Richmond,K McAuliffe,pp-richmond-tigers--kane-mcauliffe,Interchange,interchange,2026-04-29 08:44
2026,7,Richmond,T Burton,pp-richmond-tigers--thomas-burton,Interchange,interchange,2026-04-29 08:44
2026,7,Richmond,J Short,pp-richmond-tigers--jayden-short,,emergency,2026-04-29 08:44
2026,7,Richmond,O H-Brown,pp-richmond-tigers--oliver-hayes-brown,,emergency,2026-04-29 08:44
2026,7,Richmond,T Sonsie,pp-richmond-tigers--tyler-sonsie,,emergency,2026-04-29 08:44
2026,7,Richmond,B Miller,pp-richmond-tigers--ben-miller,Key Defender,selected,2026-04-29 08:44
2026,7,Richmond,N Vlastuin,pp-richmond-tigers--nick-vlastuin,Key Defender,selected,2026-04-29 08:44
2026,7,Richmond,N Balta,pp-richmond-tigers--noah-balta,Key Defender,selected,2026-04-29 08:44
2026,7,Melbourne,J Van Rooyen,pp-melbourne-demons--jacob-van-rooyen,Key Forward,selected,2026-04-29 08:44
2026,7,Melbourne,B Fritsch,pp-melbourne-demons--bayley-fritsch,Key Forward,selected,2026-04-29 08:44
2026,7,Melbourne,K Pickett,pp-melbourne-demons--kysaiah-pickett,Key Forward,selected,2026-04-29 08:44
2026,7,Richmond,J Trezise,pp-richmond-tigers--james-trezise,Gen. Defender,selected,2026-04-29 08:44
2026,7,Richmond,S Grlj,pp-richmond-tigers--samuel-grlj,Gen. Defender,selected,2026-04-29 08:44
2026,7,Richmond,N Broad,pp-richmond-tigers--nathan-broad,Gen. Defender,selected,2026-04-29 08:44
2026,7,Melbourne,L Pickett,pp-melbourne-demons--latrelle-pickett,Gen. Forward,selected,2026-04-29 08:44
2026,7,Melbourne,B Mihocek,pp-melbourne-demons--brody-mihocek,Gen. Forward,selected,2026-04-29 08:44
2026,7,Melbourne,M Jefferson,pp-melbourne-demons--matthew-jefferson,Gen. Forward,selected,2026-04-29 08:44
2026,7,Richmond,H Ralphsmith,pp-richmond-tigers--hugo-ralphsmith,Midfielder,selected,2026-04-29 08:44
2026,7,Richmond,D Prestia,pp-richmond-tigers--dion-prestia,Midfielder,selected,2026-04-29 08:44
2026,7,Richmond,P Retschko,pp-richmond-tigers--patrick-retschko,Midfielder,selected,2026-04-29 08:44
