Player,Team,Round,Overall_Rating
Jack Crisp,Collingwood,4,3.43
Josh Daicos,Collingwood,4,3.1
Nick Daicos,Collingwood,4,2.99
Jordan De Goey,Collingwood,4,2.14
Jamie Elliott,Collingwood,4,2.3
Billy Frampton,Collingwood,4,2.54
Harvey Harrison,Collingwood,4,2.17
Will Hayes,Collingwood,4,2.08
Bobby Hill,Collingwood,4,2.54
Dan Houston,Collingwood,4,2.56
Jeremy Howe,Collingwood,4,2.31
Patrick Lipinski,Collingwood,4,2.15
Ned Long,Collingwood,4,2.29
Brayden Maynard,Collingwood,4,2.87
Beau McCreery,Collingwood,4,2.6
Reef McInnes,Collingwood,4,1.39
Daniel McStay,Collingwood,4,2.32
Tim Membrey,Collingwood,4,2.2
Darcy Moore,Collingwood,4,3.08
Wil Parker,Collingwood,4,1.84
Scott Pendlebury,Collingwood,4,2.23
Harry Perryman,Collingwood,4,2.45
Isaac Quaynor,Collingwood,4,2.57
Lachlan Schultz,Collingwood,4,3.25
Steele Sidebottom,Collingwood,4,2.56
Roan Steele,Collingwood,4,1.67
Oscar Steene,Collingwood,4,2.39
Lachie Sullivan,Collingwood,4,2.41
Lachlan Blakiston,Essendon,4,2.09
Nick Bryan,Essendon,4,2.1
Nate Caddy,Essendon,4,2.36
Jye Caldwell,Essendon,4,2.42
Archer Day-Wicks,Essendon,4,1.87
Sam Durham,Essendon,4,2.42
Xavier Duursma,Essendon,4,2.19
Tom Edwards,Essendon,4,1.86
Saad El-Hawli,Essendon,4,1.93
Brayden Fiorini,Essendon,4,2.21
Jade Gresham,Essendon,4,2.66
Matt Guelfi,Essendon,4,2.24
Zak Johnson,Essendon,4,1.86
Harrison Jones,Essendon,4,1.91
Isaac Kako,Essendon,4,2.41
Kyle Langford,Essendon,4,2.12
Andrew McGrath,Essendon,4,2.79
Ben McKay,Essendon,4,2.46
Liam McMahon,Essendon,4,2.11
Zachary Merrett,Essendon,4,2.77
Jayden Nguyen,Essendon,4,1.94
Darcy Parish,Essendon,4,2.46
Archie Perkins,Essendon,4,2.36
Jaxon Prior,Essendon,4,2.66
Mason Redman,Essendon,4,2.27
Zach Reid,Essendon,4,1.69
Jordan Ridley,Essendon,4,2.5
Archie Roberts,Essendon,4,2.31
Will Setterfield,Essendon,4,2.68
Elijah Tsatas,Essendon,4,2.09
Rhys Unwin,Essendon,4,1.9
Vigo Visentini,Essendon,4,2.32
Peter Wright,Essendon,4,2.63
Jye Amiss,Fremantle,4,2.2
Bailey Banfield,Fremantle,4,2.23
Shai Bolton,Fremantle,4,2.81
Andrew Brayshaw,Fremantle,4,3.07
Heath Chapman,Fremantle,4,2.4
Jordan Clark,Fremantle,4,3.21
Brennan Cox,Fremantle,4,2.68
Mason Cox,Fremantle,4,2.47
Sean Darcy,Fremantle,4,2.13
Josh Draper,Fremantle,4,1.79
Isaiah Dudley,Fremantle,4,2.62
Neil Erasmus,Fremantle,4,2.45
Michael Frederick,Fremantle,4,2.58
Luke Jackson,Fremantle,4,3.0
Matt Johnson,Fremantle,4,2.6
Oscar McDonald,Fremantle,4,2.33
Judd McVee,Fremantle,4,2.29
Nathan O'Driscoll,Fremantle,4,2.66
Jaeger O'Meara,Fremantle,4,2.68
Alex Pearce,Fremantle,4,2.96
Murphy Reid,Fremantle,4,2.71
Luke Ryan,Fremantle,4,2.43
Caleb Serong,Fremantle,4,3.04
Jeremy Sharp,Fremantle,4,1.88
Cooper Simpson,Fremantle,4,1.88
Sam Switkowski,Fremantle,4,2.03
Josh Treacy,Fremantle,4,2.99
Patrick Voss,Fremantle,4,2.62
Corey Wagner,Fremantle,4,2.61
Brandon Walker,Fremantle,4,2.23
Karl Worner,Fremantle,4,2.37
Hayden Young,Fremantle,4,2.27
Tom Atkins,Geelong,4,2.79
Jed Bews,Geelong,4,2.42
Mark Blicavs,Geelong,4,2.49
Jack Bowes,Geelong,4,2.77
Tanner Bruhn,Geelong,4,2.9
Jeremy Cameron,Geelong,4,2.68
Jhye Clark,Geelong,4,1.78
Patrick Dangerfield,Geelong,4,3.31
Sam De Koning,Geelong,4,2.98
Ollie Dempsey,Geelong,4,2.73
Mitchell Edwards,Geelong,4,1.77
Zach Guthrie,Geelong,4,2.44
Jack Henry,Geelong,4,2.4
Oliver Henry,Geelong,4,2.24
Max Holmes,Geelong,4,3.12
Lawson Humphries,Geelong,4,2.33
Mitchell Knevitt,Geelong,4,2.43
Shaun Mannagh,Geelong,4,3.01
Jack Martin,Geelong,4,2.63
Gryan Miers,Geelong,4,3.15
Oisin Mullin,Geelong,4,2.02
Shannon Neale,Geelong,4,2.89
Mark O'Connor,Geelong,4,2.28
Connor O'Sullivan,Geelong,4,2.78
Bailey Smith,Geelong,4,2.74
Rhys Stanley,Geelong,4,2.12
Tyson Stengle,Geelong,4,2.82
George Stevens,Geelong,4,2.24
Thomas Stewart,Geelong,4,2.97
James Worpel,Geelong,4,2.46
Oscar Adams,Gold Coast,4,1.86
Noah Anderson,Gold Coast,4,2.8
Mac Andrew,Gold Coast,4,2.87
Charlie Ballard,Gold Coast,4,2.61
Sam Clohesy,Gold Coast,4,2.55
Alex Davies,Gold Coast,4,2.41
Jy Farrar,Gold Coast,4,1.91
Will Graham,Gold Coast,4,2.5
Nicholas Holman,Gold Coast,4,1.93
Bailey Humphrey,Gold Coast,4,2.96
Joel Jeffrey,Gold Coast,4,2.84
Ben King,Gold Coast,4,2.67
Ben Long,Gold Coast,4,2.48
Touk Miller,Gold Coast,4,2.76
Ned Moyle,Gold Coast,4,2.2
John Noble,Gold Coast,4,2.64
Christian Petracca,Gold Coast,4,3.03
Wil Powell,Gold Coast,4,2.51
Ethan Read,Gold Coast,4,2.62
Daniel Rioli,Gold Coast,4,2.52
Jake Rogers,Gold Coast,4,2.57
Matt Rowell,Gold Coast,4,3.3
Bodhi Uwland,Gold Coast,4,3.05
Jed Walter,Gold Coast,4,2.17
Lachlan Weller,Gold Coast,4,2.22
Jarrod Witts,Gold Coast,4,2.75
Leek Aleer,GWS Giants,4,2.4
Cody Angove,GWS Giants,4,1.99
Ryan Angwin,GWS Giants,4,2.84
Lachlan Ash,GWS Giants,4,2.96
Toby Bedford,GWS Giants,4,2.01
Kieren Briggs,GWS Giants,4,2.35
Callum Brown,GWS Giants,4,1.97
Jack Buckley,GWS Giants,4,2.72
Aaron Cadman,GWS Giants,4,2.62
Finn Callaghan,GWS Giants,4,2.97
Stephen Coniglio,GWS Giants,4,2.22
Brent Daniels,GWS Giants,4,2.45
Josaia Delana,GWS Giants,4,1.88
Joseph Fonti,GWS Giants,4,3.07
Phoenix Gothard,GWS Giants,4,2.72
Tom Green,GWS Giants,4,3.14
Toby Greene,GWS Giants,4,2.42
Max Gruzewski,GWS Giants,4,2.19
Harrison Himmelberg,GWS Giants,4,2.45
Jesse Hogan,GWS Giants,4,2.18
Connor Idun,GWS Giants,4,2.9
Darcy Jones,GWS Giants,4,2.77
Joshua Kelly,GWS Giants,4,3.02
Jayden Laverde,GWS Giants,4,2.63
James Leake,GWS Giants,4,1.57
Nick Madden,GWS Giants,4,2.3
Toby McMullin,GWS Giants,4,2.01
Xavier O'Halloran,GWS Giants,4,1.83
Clayton Oliver,GWS Giants,4,3.09
Jake Riccardi,GWS Giants,4,2.38
Harry Rowston,GWS Giants,4,1.97
Conor Stone,GWS Giants,4,1.97
Jake Stringer,GWS Giants,4,2.53
Sam Taylor,GWS Giants,4,3.6
Harvey Thomas,GWS Giants,4,2.81
Lachie Whitfield,GWS Giants,4,2.86
Karl Amon,Hawthorn,4,2.3
Tom Barrass,Hawthorn,4,2.78
Josh Battle,Hawthorn,4,2.43
Sam Butler,Hawthorn,4,2.03
Mabior Chol,Hawthorn,4,2.98
Massimo D'Ambrosio,Hawthorn,4,2.39
Will Day,Hawthorn,4,3.15
Calsher Dear,Hawthorn,4,2.15
Jack Ginnivan,Hawthorn,4,2.84
Jack Gunston,Hawthorn,4,2.83
Blake Hardwick,Hawthorn,4,2.63
Henry Hustwaite,Hawthorn,4,1.82
Jarman Impey,Hawthorn,4,2.72
Mitchell Lewis,Hawthorn,4,2.66
Connor MacDonald,Hawthorn,4,3.04
Cameron Mackenzie,Hawthorn,4,2.45
Finn Maginness,Hawthorn,4,2.5
Lloyd Meek,Hawthorn,4,2.57
Dylan Moore,Hawthorn,4,2.93
Harry Morrison,Hawthorn,4,2.7
Conor Nash,Hawthorn,4,2.63
Jai Newcombe,Hawthorn,4,2.64
Max Ramsden,Hawthorn,4,2.71
Ned Reeves,Hawthorn,4,2.32
Jack Scrimshaw,Hawthorn,4,2.47
James Sicily,Hawthorn,4,3.36
Josh Ward,Hawthorn,4,2.36
Nick Watson,Hawthorn,4,3.16
Joshua Weddle,Hawthorn,4,2.67
Jake Bowey,Melbourne,4,2.94
Kade Chandler,Melbourne,4,2.97
Jai Culley,Melbourne,4,2.25
Bayley Fritsch,Melbourne,4,2.84
Max Gawn,Melbourne,4,3.71
Max Heath,Melbourne,4,2.42
Jack Henderson,Melbourne,4,2.22
Blake Howes,Melbourne,4,2.16
Matthew Jefferson,Melbourne,4,1.63
Changkuoth Jiath,Melbourne,4,2.05
Aidan Johnson,Melbourne,4,1.97
Ed Langdon,Melbourne,4,2.29
Harvey Langford,Melbourne,4,2.25
Jake Lever,Melbourne,4,2.99
Xavier Lindsay,Melbourne,4,2.28
Steven May,Melbourne,4,2.78
Tom McDonald,Melbourne,4,2.86
Jake Melksham,Melbourne,4,2.68
Brody Mihocek,Melbourne,4,2.32
Harrison Petty,Melbourne,4,2.39
Kysaiah Pickett,Melbourne,4,2.67
Latrelle Pickett,Melbourne,4,1.99
Trent Rivers,Melbourne,4,2.92
Christian Salem,Melbourne,4,2.38
Harry Sharp,Melbourne,4,2.06
Tom Sparrow,Melbourne,4,2.25
Jack Steele,Melbourne,4,3.02
Koltyn Tholstrup,Melbourne,4,2.13
Daniel Turner,Melbourne,4,2.81
Jacob Van Rooyen,Melbourne,4,2.65
Jack Viney,Melbourne,4,2.65
Caleb Windsor,Melbourne,4,2.0
Jackson Archer,North Melbourne,4,1.72
Zac Banch,North Melbourne,4,1.99
Tom Blamires,North Melbourne,4,2.42
Callum Coleman-Jones,North Melbourne,4,1.75
Charlie Comben,North Melbourne,4,3.04
Aidan Corr,North Melbourne,4,1.98
Paul Curtis,North Melbourne,4,2.62
Caleb Daniel,North Melbourne,4,2.86
Jack Darling,North Melbourne,4,2.65
Luke Davies-Uniacke,North Melbourne,4,3.14
Wil Dawson,North Melbourne,4,2.19
Zane Duursma,North Melbourne,4,2.28
Zac Fisher,North Melbourne,4,2.29
Riley Hardeman,North Melbourne,4,2.08
Cooper Harvey,North Melbourne,4,2.33
Jacob Konstanty,North Melbourne,4,2.09
Nick Larkey,North Melbourne,4,2.84
Griffin Logue,North Melbourne,4,1.55
Luke McDonald,North Melbourne,4,2.43
Colby McKercher,North Melbourne,4,2.52
Finn O'Sullivan,North Melbourne,4,2.39
Luke Parker,North Melbourne,4,3.15
Toby Pink,North Melbourne,4,2.08
Tom Powell,North Melbourne,4,2.3
Bailey Scott,North Melbourne,4,2.3
Harry Sheezel,North Melbourne,4,3.09
Jy Simpkin,North Melbourne,4,2.63
Charlie Spargo,North Melbourne,4,2.34
Dylan Stephens,North Melbourne,4,2.69
Cooper Trembath,North Melbourne,4,2.51
George Wardlaw,North Melbourne,4,2.25
Tristan Xerri,North Melbourne,4,3.18
Cameron Zurhaar,North Melbourne,4,2.39
Aliir Aliir,Port Adelaide,4,2.83
Miles Bergman,Port Adelaide,4,2.89
Joe Berry,Port Adelaide,4,2.28
Jase Burgoyne,Port Adelaide,4,2.65
Zak Butters,Port Adelaide,4,3.1
Darcy Byrne-Jones,Port Adelaide,4,2.37
Tom Cochrane,Port Adelaide,4,2.01
Willem Drew,Port Adelaide,4,2.41
Corey Durdin,Port Adelaide,4,2.25
Logan Evans,Port Adelaide,4,2.46
Kane Farrell,Port Adelaide,4,2.48
Mitch Georgiades,Port Adelaide,4,2.96
Jason Horne-Francis,Port Adelaide,4,2.47
Lachlan Jones,Port Adelaide,4,2.11
Josh Lai,Port Adelaide,4,2.21
Mani Liddy,Port Adelaide,4,2.15
Ollie Lord,Port Adelaide,4,1.96
Will Lorenz,Port Adelaide,4,2.34
Jack Lukosius,Port Adelaide,4,2.85
Ewan Mackinlay,Port Adelaide,4,2.26
Todd Marshall,Port Adelaide,4,2.4
Jackson Mead,Port Adelaide,4,2.14
Christian Moraes,Port Adelaide,4,1.92
Sam Powell-Pepper,Port Adelaide,4,2.91
Esava Ratugolea,Port Adelaide,4,2.49
Joe Richards,Port Adelaide,4,2.7
Connor Rozee,Port Adelaide,4,3.34
Josh Sinn,Port Adelaide,4,1.77
Jordon Sweet,Port Adelaide,4,2.63
Dante Visentini,Port Adelaide,4,1.97
Jacob Wehr,Port Adelaide,4,2.25
Jack Whitlock,Port Adelaide,4,2.32
Oliver Wines,Port Adelaide,4,2.7
Brandon Zerk-Thatcher,Port Adelaide,4,2.41
Jasper Alger,Richmond,4,1.84
Harry Armstrong,Richmond,4,1.77
Noah Balta,Richmond,4,2.25
Sam Banks,Richmond,4,2.32
Nathan Broad,Richmond,4,2.28
Tom Brown,Richmond,4,1.83
Seth Campbell,Richmond,4,2.43
Jonty Faull,Richmond,4,2.24
Steely Green,Richmond,4,2.4
Jacob Hopper,Richmond,4,2.08
Taj Hotton,Richmond,4,2.69
Sam Lalor,Richmond,4,2.47
Mykelti Lefau,Richmond,4,2.18
Tom Lynch,Richmond,4,2.32
Rhyan Mansell,Richmond,4,2.6
Kane McAuliffe,Richmond,4,2.56
Ben Miller,Richmond,4,2.47
Toby Nankervis,Richmond,4,2.67
Dion Prestia,Richmond,4,2.22
Hugo Ralphsmith,Richmond,4,2.18
Maurice Rioli,Richmond,4,2.19
Jack Ross,Richmond,4,2.57
Samson Ryan,Richmond,4,1.61
Jayden Short,Richmond,4,2.56
Thomas Sims,Richmond,4,2.12
Kaleb Smith,Richmond,4,2.19
Tyler Sonsie,Richmond,4,2.04
Tim Taranto,Richmond,4,3.05
Luke Trainor,Richmond,4,2.21
James Trezise,Richmond,4,1.97
Nick Vlastuin,Richmond,4,2.27
Hugh Boxshall,St Kilda,4,1.94
Daniel Butler,St Kilda,4,1.98
Ryan Byrnes,St Kilda,4,2.34
Anthony Caminiti,St Kilda,4,1.99
Jack Carroll,St Kilda,4,2.16
Hunter Clark,St Kilda,4,2.44
Lance Collard,St Kilda,4,1.87
Tom De Koning,St Kilda,4,2.64
Sam Flanders,St Kilda,4,2.6
Hugo Garcia,St Kilda,4,2.28
Max Hall,St Kilda,4,3.31
Angus Hastie,St Kilda,4,1.98
Liam Henry,St Kilda,4,1.87
Jack Higgins,St Kilda,4,2.4
Bradley Hill,St Kilda,4,2.63
Dougal Howard,St Kilda,4,2.24
Isaac Keeler,St Kilda,4,2.07
Jackson Macrae,St Kilda,4,2.19
Rowan Marshall,St Kilda,4,2.07
Liam O'Connell,St Kilda,4,2.06
Mattaes Phillipou,St Kilda,4,1.92
Liam Ryan,St Kilda,4,2.19
Cooper Sharman,St Kilda,4,2.31
Jack Silvagni,St Kilda,4,2.52
Jack Sinclair,St Kilda,4,3.13
Liam Stocker,St Kilda,4,2.21
Alix Tauru,St Kilda,4,1.61
Tobie Travaglia,St Kilda,4,2.06
Nasiah Wanganeen-Milera,St Kilda,4,2.27
Callum Wilkie,St Kilda,4,3.43
Darcy Wilson,St Kilda,4,2.8
Marcus Windhager,St Kilda,4,2.87
Mason Wood,St Kilda,4,2.74
Taylor Adams,Sydney,4,2.35
Joel Amartey,Sydney,4,2.6
Riley Bice,Sydney,4,2.86
Nick Blakey,Sydney,4,2.91
Braeden Campbell,Sydney,4,2.6
Caiden Cleary,Sydney,4,2.66
Harry Cunningham,Sydney,4,2.21
Charlie Curnow,Sydney,4,2.42
Brodie Grundy,Sydney,4,3.01
Errol Gulden,Sydney,4,3.38
Joel Hamling,Sydney,4,1.91
Tom Hanily,Sydney,4,2.04
Isaac Heeney,Sydney,4,2.61
James Jordon,Sydney,4,2.29
Peter Ladhams,Sydney,4,1.92
Jake Lloyd,Sydney,4,2.03
Tom McCartin,Sydney,4,2.73
Logan McDonald,Sydney,4,2.73
Justin McInerney,Sydney,4,2.63
Hayden McLean,Sydney,4,2.55
Lewis Melican,Sydney,4,1.93
Callum Mills,Sydney,4,2.92
Tom Papley,Sydney,4,2.42
Dane Rampe,Sydney,4,2.6
Matthew Roberts,Sydney,4,2.97
Malcolm Rosas,Sydney,4,2.16
James Rowbottom,Sydney,4,2.62
Jai Serong,Sydney,4,2.48
Angus Sheldrick,Sydney,4,2.31
Chad Warner,Sydney,4,2.36
Corey Warner,Sydney,4,1.89
Sam Wicks,Sydney,4,2.17
Bo Allan,West Coast,4,2.64
Liam Baker,West Coast,4,2.82
Rhett Bazzo,West Coast,4,2.06
Sandy Brock,West Coast,4,2.42
Tyler Brockman,West Coast,4,2.53
Tom Cole,West Coast,4,2.8
Jamie Cripps,West Coast,4,2.41
Hamish Davis,West Coast,4,2.22
Tyrell Dewar,West Coast,4,2.09
Liam Duggan,West Coast,4,2.55
Harry Edwards,West Coast,4,2.69
Matthew Flynn,West Coast,4,2.39
Reuben Ginbey,West Coast,4,2.53
Jack Graham,West Coast,4,2.51
Tom Gross,West Coast,4,1.61
Clay Hall,West Coast,4,2.14
Elijah Hewett,West Coast,4,2.11
Brady Hough,West Coast,4,2.17
Jack Hutchinson,West Coast,4,2.23
Tim Kelly,West Coast,4,2.66
Noah Long,West Coast,4,1.89
Ryan Maric,West Coast,4,2.46
Tom McCarthy,West Coast,4,2.83
Milan Murdock,West Coast,4,3.34
Jacob Newton,West Coast,4,1.92
Matt Owies,West Coast,4,2.24
Archer Reid,West Coast,4,2.37
Harley Reid,West Coast,4,2.64
Deven Robertson,West Coast,4,2.43
Harry Schoenberg,West Coast,4,2.24
Jobe Shanahan,West Coast,4,2.71
Brandon Starcevich,West Coast,4,2.09
Jake Waterman,West Coast,4,2.81
Jack Williams,West Coast,4,2.37
Elliot Yeo,West Coast,4,2.19
Tylar Young,West Coast,4,2.61
Oskar Baker,Western Bulldogs,4,2.54
Marcus Bontempelli,Western Bulldogs,4,3.09
Lachlan Bramble,Western Bulldogs,4,1.93
Connor Budarick,Western Bulldogs,4,2.51
Jedd Busslinger,Western Bulldogs,4,1.96
Luke Cleary,Western Bulldogs,4,2.45
Nicholas Coffield,Western Bulldogs,4,2.23
Jordan Croft,Western Bulldogs,4,1.99
Bailey Dale,Western Bulldogs,4,2.99
Sam Darcy,Western Bulldogs,4,3.01
Sam Davidson,Western Bulldogs,4,1.67
Josh Dolan,Western Bulldogs,4,1.72
Timothy English,Western Bulldogs,4,3.13
Joel Freijah,Western Bulldogs,4,2.23
Harvey Gallagher,Western Bulldogs,4,1.72
Riley Garcia,Western Bulldogs,4,2.16
James Harmes,Western Bulldogs,4,2.75
Cooper Hynes,Western Bulldogs,4,2.04
Lachie Jaques,Western Bulldogs,4,2.71
Arthur Jones,Western Bulldogs,4,1.16
Matthew Kennedy,Western Bulldogs,4,2.89
Buku Khamis,Western Bulldogs,4,2.36
Thomas Liberatore,Western Bulldogs,4,2.86
Rory Lobb,Western Bulldogs,4,2.89
Lachlan McNeil,Western Bulldogs,4,2.2
Aaron Naughton,Western Bulldogs,4,2.98
James O'Donnell,Western Bulldogs,4,2.42
Ed Richards,Western Bulldogs,4,2.81
Ryley Sanders,Western Bulldogs,4,2.15
Michael Sellwood,Western Bulldogs,4,2.34
Adam Treloar,Western Bulldogs,4,2.25
Laitham Vandermeer,Western Bulldogs,4,2.37
Rhylee West,Western Bulldogs,4,2.39
Bailey Williams,Western Bulldogs,4,2.69
