Team,Jumper_No,Player,DOB,Height,Position,Games,Age,Origin,Contract_Expiry,FA_Status,Draft_Year,Draft_Type,Draft_Round,Draft_Pick,Overall_Rating,data_provider_id,Team_API,Position_API,Athleticism_Rating,Kicking_Rating,Marking_Rating,Handballing_Rating,Tackling & Pressure_Rating,Hit-Ups & Groundball_Rating,Ruck_Rating
Brisbane,25,Henry Smith,2002-09-24,202.0,Forward,6,23yr 5mth,Woodville-west Torrens,2026.0,Non-Free Agent,2020.0,National,3.0,48.0,2.24,H.Smith 24/9/2002,BFC,KF,,,,,,,
Brisbane,36,Reece Torrent,2005-08-03,184.0,Midfield,0,20yr 7mth,Peel Thunder,2026.0,Non-Free Agent,2023.0,National,5.0,64.0,,,,,,,,,,,
Brisbane,29,James Tunstill,2003-07-18,187.0,Midfield,13,22yr 8mth,East Perth,2026.0,Non-Free Agent,2021.0,National,3.0,41.0,,,,,,,,,,,
Brisbane,44,Darcy Wilmot,2003-12-31,183.0,Defender,85,22yr 2mth,Northern Knights,2029.0,Restricted Free Agent,2021.0,National,1.0,16.0,2.9,D.Wilmot 31/12/2003,BFC,GD,,,,,,,
Brisbane,21,Zane Zakostelsky,2005-12-14,196.0,DefenderRuck,2,20yr 3mth,Claremont,2026.0,Non-Free Agent,2023.0,National,3.0,51.0,,,,,,,,,,,
Brisbane,15,Dayne Zorko,1989-02-09,175.0,Defender,306,37yr 1mth,Broadbeach,2026.0,Unrestricted Free Agent,,,,,2.93,D.Zorko 9/2/1989,BFC,GD,,,,,,,
Carlton,13,Blake Acres,1995-10-07,193.0,Midfield,187,30yr 5mth,West Perth,2027.0,Non-Free Agent,2013.0,National,1.0,19.0,2.65,B.Acres 7/10/1995,CFC,W,,,,,,,
Carlton,12,Ben Ainsworth,1998-02-10,178.0,Forward,160,28yr 1mth,Gippsland Power,2029.0,Unrestricted Free Agent,2016.0,National,1.0,4.0,2.57,B.Ainsworth 10/2/1998,GCFC,GF,,,,,,,
Carlton,37,Jordan Boyd,1998-09-22,182.0,Defender,38,27yr 6mth,Footscray,2026.0,Non-Free Agent,2021.0,Mid-Season,2.0,19.0,,,,,,,,,,,
Carlton,39,Talor Byrne,2007-11-14,174.0,MidfieldForward,0,18yr 4mth,GWV Rebels,2027.0,Unknown,2025.0,National,3.0,45.0,,,,,,,,,,,
Carlton,16,Ben Camporeale,2006-07-21,186.0,Midfield,0,19yr 8mth,Glenelg,2026.0,Non-Free Agent,2024.0,National,3.0,43.0,,,,,,,,,,,
Carlton,21,Lucas Camporeale,2006-07-21,184.0,Midfield,3,19yr 8mth,Glenelg,2026.0,Non-Free Agent,2024.0,National,3.0,54.0,2.13,L.Camporeale 21/7/2006,CFC,W,,,,,,,
Carlton,32,Matt Carroll,2005-11-28,188.0,Defender,18,20yr 3mth,Sandringham Dragons,2027.0,Unrestricted Free Agent,2023.0,Rookie,1.0,15.0,,,,,,,,,,,
Carlton,5,Adam Cerra,1999-10-07,188.0,Midfield,148,26yr 5mth,Eastern Ranges,2030.0,Restricted Free Agent,2017.0,National,1.0,5.0,2.78,A.Cerra 7/10/1999,CFC,M,,,,,,,
Carlton,28,Harry Charleson,2006-06-26,183.0,DefenderMidfield,0,19yr 8mth,Greater Western Victoria Rebels,2026.0,Non-Free Agent,2024.0,Rookie,1.0,9.0,,,,,,,,,,,
Carlton,31,Campbell Chesser,2003-04-27,186.0,Midfield,38,22yr 10mth,Sandringham Dragons,2027.0,Non-Free Agent,2021.0,National,1.0,14.0,2.59,C.Chesser 27/4/2003,WCFC,W,,,,,,,
Carlton,46,Matt Cottrell,2000-02-29,184.0,MidfieldForward,74,26yr,Dandenong Stingrays,2027.0,Unrestricted Free Agent,2021.0,Rookie,2.0,24.0,,,,,,,,,,,
Carlton,2,Lachlan Cowan,2004-12-01,188.0,Defender,39,21yr 3mth,Tasmania Devils,2028.0,Non-Free Agent,2022.0,National,2.0,30.0,2.64,L.Cowan 1/12/2004,CFC,GD,,,,,,,
Carlton,9,Patrick Cripps,1995-03-18,195.0,Midfield,232,31yr,East Fremantle,2027.0,Unrestricted Free Agent,2013.0,National,1.0,13.0,2.95,P.Cripps 18/3/1995,CFC,M,,,,,,,
Carlton,35,Harry Dean,2007-11-13,194.0,Defender,2,18yr 4mth,Murray Bushrangers,2028.0,Unknown,2025.0,National,1.0,3.0,,,,,,,,,,,
Carlton,47,Wade Derksen,2001-06-18,194.0,Defender,0,24yr 9mth,Peel Thunder,2026.0,Unrestricted Free Agent,2022.0,Mid-Season,1.0,5.0,,,,,,,,,,,
Carlton,41,Matt Duffy,2004-01-02,194.0,Defender,0,22yr 2mth,Longford GAA,2026.0,Non-Free Agent,,,,,,,,,,,,,,,
Carlton,44,Francis Evans,2001-08-23,182.0,Forward,44,24yr 6mth,Calder Cannons,2026.0,Unrestricted Free Agent,2019.0,National,2.0,41.0,2.75,F.Evans 23/8/2001,CFC,GF,,,,,,,
Carlton,14,Oliver Florent,1998-07-22,184.0,Midfield,186,27yr 8mth,Sandringham Dragons,2030.0,Unrestricted Free Agent,2016.0,National,1.0,11.0,2.47,O.Florent 22/7/1998,SYFC,W,,,,,,,
Carlton,8,Lachlan Fogarty,1999-04-01,180.0,Forward,92,26yr 11mth,Western Jets,2026.0,Non-Free Agent,2017.0,National,2.0,22.0,,,,,,,,,,,
Carlton,26,Nick Haynes,1992-05-18,192.0,Defender,234,33yr 10mth,Dandenong Stingrays,2026.0,Unrestricted Free Agent,2011.0,National,1.0,7.0,2.92,N.Haynes 18/5/1992,CFC,GD,,,,,,,
Carlton,19,Will Hayward,1998-10-26,186.0,Forward,186,27yr 4mth,North Adelaide,2030.0,Unrestricted Free Agent,2016.0,National,1.0,21.0,2.73,W.Hayward 26/10/1998,SYFC,GF,,,,,,,
Carlton,29,George Hewett,1995-12-29,187.0,Midfield,204,30yr 2mth,North Adelaide,2027.0,Non-Free Agent,2013.0,National,2.0,32.0,3.12,G.Hewett 29/12/1995,CFC,M,,,,,,,
Carlton,20,Elijah Hollands,2002-04-25,189.0,Forward,43,23yr 10mth,Murray Bushrangers,2026.0,Unrestricted Free Agent,2020.0,National,1.0,7.0,2.66,E.Hollands 25/4/2002,CFC,GF,,,,,,,
Carlton,4,Oliver Hollands,2004-01-16,184.0,Defender,67,22yr 2mth,Murray Bushrangers,2026.0,Non-Free Agent,2022.0,National,1.0,11.0,2.76,O.Hollands 16/1/2004,CFC,GD,,,,,,,
Carlton,30,Jack Ison,2007-03-26,192.0,Midfield,0,18yr 11mth,Oakleigh Chargers,2027.0,Unknown,2025.0,National,3.0,47.0,,,,,,,,,,,
Carlton,17,Brodie Kemp,2001-05-01,192.0,Forward,51,24yr 10mth,Bendigo Pioneers,2027.0,Restricted Free Agent,2019.0,National,1.0,17.0,2.14,B.Kemp 1/5/2001,CFC,KF,,,,,,,
Carlton,36,Cooper Lord,2005-03-20,184.0,Midfield,25,21yr,North Melbourne,2029.0,Non-Free Agent,2024.0,Mid-Season,1.0,9.0,2.52,C.Lord 20/3/2005,CFC,W,,,,,,,
Carlton,11,Mitch McGovern,1994-10-11,190.0,Defender,147,31yr 5mth,Claremont,2026.0,Restricted Free Agent,2014.0,National,3.0,43.0,2.34,M.McGovern 11/10/1994,CFC,GD,,,,,,,
Carlton,10,Harry McKay,1997-12-24,200.0,Forward,142,28yr 2mth,Gippsland Power,2030.0,Unrestricted Free Agent,2015.0,National,1.0,10.0,3.45,H.McKay 24/12/1997,CFC,KF,,,,,,,
Carlton,43,Ashton Moir,2005-04-15,188.0,Forward,12,20yr 11mth,Glenelg,2027.0,Non-Free Agent,2023.0,National,1.0,29.0,2.49,A.Moir 15/4/2005,CFC,GF,,,,,,,
Carlton,34,Rob Monahan,2004-06-29,194.0,Forward,0,21yr 8mth,Kerry,2026.0,Non-Free Agent,,,,,,,,,,,,,,,
Carlton,3,Jesse Motlop,2003-11-23,180.0,Forward,63,22yr 3mth,South Fremantle,2027.0,Non-Free Agent,2021.0,National,2.0,27.0,2.56,J.Motlop 23/11/2003,CFC,GF,,,,,,,
Carlton,24,Nic Newman,1993-01-15,186.0,Defender,134,33yr 2mth,Frankston,2026.0,Restricted Free Agent,2014.0,Rookie,2.0,35.0,,,,,,,,,,,
Carlton,22,Harry O'Farrell,2006-05-03,196.0,Defender,6,19yr 10mth,Calder Cannons,2027.0,Non-Free Agent,2024.0,National,2.0,40.0,2.34,H.O'Farrell 3/5/2006,CFC,KD,,,,,,,
Carlton,40,Hudson O'Keeffe,2004-12-16,202.0,Forward,6,21yr 3mth,Oakleigh Chargers,2026.0,Non-Free Agent,,,,,2.39,H.O'Keeffe 16/12/2004,CFC,KF,,,,,,,
Carlton,27,Marc Pittonet,1996-06-03,202.0,Ruck,82,29yr 9mth,Oakleigh Chargers,2027.0,Restricted Free Agent,2014.0,National,3.0,50.0,2.42,M.Pittonet 3/6/1996,CFC,R,,,,,,,
Carlton,25,Liam Reidy,2000-06-14,204.0,ForwardRuck,4,25yr 9mth,Frankston Dolphins,2028.0,Non-Free Agent,2022.0,Rookie,1.0,13.0,,,,,,,,,,,
Carlton,42,Adam Saad,1994-07-23,178.0,Defender,217,31yr 7mth,Coburg,2026.0,Non-Free Agent,2014.0,Rookie,2.0,25.0,2.56,A.Saad 23/7/1994,CFC,GD,,,,,,,
Carlton,7,Jagga Smith,2006-01-28,182.0,Midfield,2,20yr 1mth,Oakleigh Chargers,2027.0,Non-Free Agent,2024.0,National,1.0,3.0,,,,,,,,,,,
Carlton,18,Sam Walsh,2000-07-02,184.0,Midfield,135,25yr 8mth,Geelong Falcons,2034.0,Unrestricted Free Agent,2018.0,National,1.0,1.0,2.74,S.Walsh 2/7/2000,CFC,M,,,,,,,
Carlton,23,Jacob Weitering,1997-11-23,195.0,Defender,206,28yr 3mth,Mount Eliza Football Club,2031.0,Unrestricted Free Agent,2015.0,National,1.0,1.0,3.1,J.Weitering 23/11/1997,CFC,KD,,,,,,,
Carlton,6,Zachary Williams,1994-09-20,186.0,Forward,176,31yr 6mth,Narrandera,2026.0,Non-Free Agent,2013.0,National,8.0,95.0,,,,,,,,,,,
Carlton,15,Billy Wilson,2005-06-16,183.0,Defender,4,20yr 9mth,Dandenong Stringrays,2026.0,Non-Free Agent,2023.0,National,2.0,34.0,1.97,B.Wilson 16/6/2005,CFC,GD,,,,,,,
Carlton,45,Flynn Young,2002-02-03,181.0,Forward,8,24yr 1mth,Werribee,2026.0,Non-Free Agent,2025.0,Mid-Season,1.0,4.0,2.26,F.Young 3/2/2002,CFC,GF,,,,,,,
Carlton,33,Lewis Young,1998-12-20,202.0,Defender,82,27yr 3mth,Sturt,2026.0,Non-Free Agent,2016.0,National,3.0,49.0,2.21,L.Young 20/12/1998,CFC,KD,,,,,,,
