Player,Team,Jumper,Position,Height,DOB,Age,Matches
Eric Hipwood,Brisbane,30,Forward,204.0,1997-09-13,28.0,0
Darragh Joyce,Brisbane,41,Defender,195.0,1997-04-23,29.0,0
Ryan Lester,Brisbane,35,Defender,190.0,1992-08-26,33.0,0
Luke Lloyd,Brisbane,19,Forward,193.0,2005-08-08,20.0,0
Kai Lohmann,Brisbane,1,Forward,185.0,2003-05-06,22.0,0
Sam Marshall,Brisbane,20,Midfield,185.0,2006-01-19,20.0,0
Lincoln McCarthy,Brisbane,11,Forward,176.0,1993-10-22,32.0,0
Hugh McCluggage,Brisbane,6,Midfield,187.0,1998-03-03,28.0,0
Conor McKenna,Brisbane,26,Forward,184.0,1996-03-28,30.0,0
Will McLachlan,Brisbane,28,Forward,185.0,2005-04-13,21.0,0
Logan Morris,Brisbane,13,Forward,191.0,2005-05-10,20.0,0
Ben Murphy,Brisbane,39,Defender,191.0,,,0
Lachie Neale,Brisbane,9,Midfield,177.0,1993-05-24,32.0,0
Jack Payne,Brisbane,40,Defender,196.0,1999-10-15,26.0,0
Cameron Rayner,Brisbane,16,Forward,187.0,1999-10-21,26.0,0
Bruce Reville,Brisbane,38,Midfield,185.0,2001-02-22,25.0,0
Henry Smith,Brisbane,25,Forward,202.0,2002-09-24,23.0,0
Reece Torrent,Brisbane,36,Midfield,184.0,2005-08-03,20.0,0
James Tunstill,Brisbane,29,Midfield,187.0,2003-07-18,22.0,0
Darcy Wilmot,Brisbane,44,Defender,183.0,2003-12-31,22.0,0
Zane Zakostelsky,Brisbane,21,DefenderRuck,196.0,2005-12-14,20.0,0
Dayne Zorko,Brisbane,15,Defender,175.0,1989-02-09,37.0,0
Blake Acres,Carlton,13,Midfield,193.0,1995-10-07,30.0,0
Ben Ainsworth,Carlton,12,Forward,178.0,1998-02-10,28.0,0
Jordan Boyd,Carlton,37,Defender,182.0,1998-09-22,27.0,0
Talor Byrne,Carlton,39,MidfieldForward,174.0,2007-11-14,18.0,0
Ben Camporeale,Carlton,16,Midfield,186.0,2006-07-21,19.0,0
Lucas Camporeale,Carlton,21,Midfield,184.0,2006-07-21,19.0,0
Matt Carroll,Carlton,32,DefenderMidfield,188.0,2005-11-28,20.0,0
Adam Cerra,Carlton,5,Midfield,188.0,1999-10-07,26.0,0
Harry Charleson,Carlton,28,DefenderMidfield,183.0,2006-06-26,19.0,0
Campbell Chesser,Carlton,31,Midfield,186.0,2003-04-27,23.0,0
Matt Cottrell,Carlton,46,MidfieldForward,184.0,2000-02-29,26.0,0
Lachlan Cowan,Carlton,2,Defender,188.0,2004-12-01,21.0,0
Patrick Cripps,Carlton,9,Midfield,195.0,1995-03-18,31.0,0
Harry Dean,Carlton,35,Defender,194.0,2007-11-13,18.0,0
Wade Derksen,Carlton,47,Defender,194.0,2001-06-18,24.0,0
Matt Duffy,Carlton,41,Defender,194.0,2004-01-02,22.0,0
Francis Evans,Carlton,44,Forward,182.0,2001-08-23,24.0,0
Oliver Florent,Carlton,14,DefenderMidfield,184.0,1998-07-22,27.0,0
Lachlan Fogarty,Carlton,8,Forward,180.0,1999-04-01,27.0,0
Nick Haynes,Carlton,26,Defender,192.0,1992-05-18,33.0,0
Will Hayward,Carlton,19,Forward,186.0,1998-10-26,27.0,0
George Hewett,Carlton,29,Midfield,187.0,1995-12-29,30.0,0
Elijah Hollands,Carlton,20,MidfieldForward,189.0,2002-04-25,24.0,0
Oliver Hollands,Carlton,4,Defender,184.0,2004-01-16,22.0,0
Jack Ison,Carlton,30,Midfield,192.0,2007-03-26,19.0,0
Brodie Kemp,Carlton,17,Forward,192.0,2001-05-01,25.0,0
Cooper Lord,Carlton,36,Midfield,184.0,2005-03-20,21.0,0
Mitch McGovern,Carlton,11,DefenderForward,190.0,1994-10-11,31.0,0
Harry McKay,Carlton,10,Forward,200.0,1997-12-24,28.0,0
Ashton Moir,Carlton,43,Forward,188.0,2005-04-15,21.0,0
Rob Monahan,Carlton,34,Forward,194.0,2004-06-29,21.0,0
Jesse Motlop,Carlton,3,Forward,180.0,2003-11-23,22.0,0
Nic Newman,Carlton,24,Defender,186.0,1993-01-15,33.0,0
Harry O'Farrell,Carlton,22,Defender,196.0,2006-05-03,20.0,0
Hudson O'Keeffe,Carlton,40,ForwardRuck,202.0,2004-12-16,21.0,0
Marc Pittonet,Carlton,27,Ruck,202.0,1996-06-03,29.0,0
Liam Reidy,Carlton,25,ForwardRuck,204.0,2000-06-14,25.0,0
Adam Saad,Carlton,42,Defender,178.0,1994-07-23,31.0,0
Jagga Smith,Carlton,7,Midfield,182.0,2006-01-28,20.0,0
Sam Walsh,Carlton,18,Midfield,184.0,2000-07-02,25.0,0
Jacob Weitering,Carlton,23,Defender,195.0,1997-11-23,28.0,0
Zachary Williams,Carlton,6,DefenderForward,186.0,1994-09-20,31.0,0
Billy Wilson,Carlton,15,Defender,183.0,2005-06-16,20.0,0
Flynn Young,Carlton,45,Forward,181.0,2002-02-03,24.0,0
Lewis Young,Carlton,33,Defender,202.0,1998-12-20,27.0,0
Edward Allan,Collingwood,16,Midfield,194.0,2004-05-26,21.0,0
Angus Anderson,Collingwood,41,Midfield,193.0,2003-05-25,22.0,0
Jack Buller,Collingwood,34,Forward,199.0,2001-05-16,24.0,0
Darcy Cameron,Collingwood,14,Ruck,204.0,1995-07-18,30.0,0
Joel Cochran,Collingwood,27,Defender,195.0,2006-03-28,20.0,0
Jack Crisp,Collingwood,25,Midfield,190.0,1993-10-02,32.0,0
Josh Daicos,Collingwood,7,Defender,178.0,1998-11-26,27.0,0
Nick Daicos,Collingwood,35,Midfield,184.0,2003-01-03,23.0,0
Jordan De Goey,Collingwood,2,MidfieldForward,188.0,1996-03-15,30.0,0
Harry Demattia,Collingwood,13,Midfield,186.0,2005-09-11,20.0,0
Jamie Elliott,Collingwood,5,Forward,178.0,1992-08-21,33.0,0
Billy Frampton,Collingwood,17,Defender,201.0,1996-11-20,29.0,0
Harvey Harrison,Collingwood,36,Forward,181.0,2003-11-10,22.0,0
Will Hayes,Collingwood,39,Forward,180.0,2006-05-16,19.0,0
Bobby Hill,Collingwood,23,Forward,175.0,2000-02-09,26.0,0
Dan Houston,Collingwood,9,Defender,186.0,1997-05-12,28.0,0
Jeremy Howe,Collingwood,38,Defender,190.0,1990-06-29,35.0,0
Noah Howes,Collingwood,40,Forward,196.0,2005-10-28,20.0,0
Tew Jiath,Collingwood,19,Defender,188.0,2005-03-02,21.0,0
Patrick Lipinski,Collingwood,1,MidfieldForward,190.0,1998-07-17,27.0,0
Ned Long,Collingwood,44,Midfield,194.0,2003-02-05,23.0,0
Brayden Maynard,Collingwood,4,Defender,189.0,1996-09-20,29.0,0
Zac McCarthy,Collingwood,37,ForwardRuck,199.0,2007-10-27,18.0,0
Beau McCreery,Collingwood,31,Forward,186.0,2001-04-19,25.0,0
Reef McInnes,Collingwood,26,Defender,194.0,2002-12-12,23.0,0
Daniel McStay,Collingwood,11,Forward,195.0,1995-06-24,30.0,0
Tim Membrey,Collingwood,28,Forward,188.0,1994-05-26,31.0,0
Darcy Moore,Collingwood,30,Defender,203.0,1996-01-25,30.0,0
Wil Parker,Collingwood,15,Defender,183.0,2002-05-29,23.0,0
Scott Pendlebury,Collingwood,10,Midfield,191.0,1988-01-07,38.0,0
Harry Perryman,Collingwood,12,Defender,187.0,1998-12-19,27.0,0
Tyan Prindable,Collingwood,18,Midfield,182.0,2007-01-25,19.0,0
Isaac Quaynor,Collingwood,3,Defender,180.0,2000-01-15,26.0,0
Jakob Ryan,Collingwood,24,Defender,189.0,2004-09-20,21.0,0
Jai Saxena,Collingwood,43,Forward,179.0,2007-07-27,18.0,0
Lachlan Schultz,Collingwood,8,Forward,178.0,1997-11-30,28.0,0
Steele Sidebottom,Collingwood,22,Midfield,184.0,1991-01-02,35.0,0
Iliro Smit,Collingwood,20,Ruck,200.0,2005-08-09,20.0,0
Roan Steele,Collingwood,45,Midfield,183.0,2001-10-22,24.0,0
Oscar Steene,Collingwood,21,ForwardRuck,201.0,2003-08-23,22.0,0
Lachie Sullivan,Collingwood,33,Forward,180.0,1997-09-25,28.0,0
Samuel Swadling,Collingwood,32,Midfield,189.0,2007-01-16,19.0,0
Charlie West,Collingwood,29,Forward,194.0,2006-02-01,20.0,0
Lachlan Blakiston,Essendon,46,DefenderRuck,203.0,1998-09-09,27.0,0
Cillian Bourke,Essendon,39,Defender,190.0,2006-06-07,19.0,0
Nick Bryan,Essendon,24,Ruck,203.0,2001-10-22,24.0,0
Nate Caddy,Essendon,30,Forward,193.0,2005-07-14,20.0,0
Jye Caldwell,Essendon,6,Midfield,183.0,2000-09-28,25.0,0
Angus Clarke,Essendon,36,DefenderMidfield,188.0,2006-05-08,19.0,0
Nikolas Cox,Essendon,13,Midfield,200.0,2002-01-15,24.0,0
Archer Day-Wicks,Essendon,44,MidfieldForward,186.0,2006-05-13,19.0,0
Sam Durham,Essendon,22,MidfieldForward,185.0,2001-07-09,24.0,0
Xavier Duursma,Essendon,28,Midfield,186.0,2000-07-07,25.0,0
Tom Edwards,Essendon,45,Forward,191.0,2000-05-20,25.0,0
Hussien El Achkar,Essendon,33,Forward,171.0,2007-04-02,19.0,0
Saad El-Hawli,Essendon,41,Midfield,184.0,2001-05-15,24.0,0
Jacob Farrow,Essendon,2,DefenderMidfield,188.0,2007-09-21,18.0,0
Brayden Fiorini,Essendon,8,Midfield,187.0,1997-08-22,28.0,0
Kayle Gerreyn,Essendon,19,Ruck,199.0,2006-05-10,19.0,0
Jade Gresham,Essendon,11,Forward,177.0,1997-08-24,28.0,0
Matt Guelfi,Essendon,35,Forward,184.0,1997-08-14,28.0,0
Lewis Hayes,Essendon,18,Defender,199.0,2004-12-17,21.0,0
Zak Johnson,Essendon,40,Defender,185.0,2006-12-24,19.0,0
Harrison Jones,Essendon,23,MidfieldForward,196.0,2001-02-25,25.0,0
Isaac Kako,Essendon,10,Forward,175.0,2006-03-07,20.0,0
Max Kondogiannis,Essendon,29,Defender,191.0,2007-11-14,18.0,0
Kyle Langford,Essendon,4,MidfieldForward,192.0,1996-12-01,29.0,0
Nicholas Martin,Essendon,37,MidfieldForward,192.0,2001-04-03,25.0,0
Archie May,Essendon,26,Forward,198.0,2004-08-27,21.0,0
Andrew McGrath,Essendon,1,Defender,180.0,1998-06-02,27.0,0
Ben McKay,Essendon,32,Defender,202.0,1997-12-24,28.0,0
Liam McMahon,Essendon,48,Forward,197.0,2002-05-02,24.0,0
Zachary Merrett,Essendon,7,Midfield,179.0,1995-10-03,30.0,0
Jayden Nguyen,Essendon,42,Defender,178.0,2006-07-27,19.0,0
Darcy Parish,Essendon,3,Midfield,180.0,1997-07-25,28.0,0
Archie Perkins,Essendon,16,Forward,188.0,2002-03-26,24.0,0
Jaxon Prior,Essendon,25,Defender,189.0,2001-06-04,24.0,0
Mason Redman,Essendon,27,Defender,187.0,1997-08-26,28.0,0
Zach Reid,Essendon,31,Defender,202.0,2002-03-02,24.0,0
Jordan Ridley,Essendon,14,Defender,195.0,1998-10-20,27.0,0
Archie Roberts,Essendon,21,Defender,184.0,2005-11-18,20.0,0
Sullivan Robey,Essendon,9,MidfieldForward,192.0,2007-10-04,18.0,0
Will Setterfield,Essendon,12,Midfield,192.0,1998-02-05,28.0,0
Dyson Sharp,Essendon,15,Midfield,187.0,2007-05-23,18.0,0
Elijah Tsatas,Essendon,5,Midfield,187.0,2004-10-18,21.0,0
Rhys Unwin,Essendon,38,Forward,179.0,2006-10-11,19.0,0
Vigo Visentini,Essendon,17,Ruck,203.0,2005-09-05,20.0,0
Peter Wright,Essendon,20,ForwardRuck,203.0,1996-09-08,29.0,0
Jye Amiss,Fremantle,24,Forward,196.0,2003-07-31,22.0,0
Bailey Banfield,Fremantle,41,Defender,190.0,1998-02-26,28.0,0
Shai Bolton,Fremantle,10,MidfieldForward,176.0,1998-12-08,27.0,0
Andrew Brayshaw,Fremantle,8,Midfield,185.0,1999-11-08,26.0,0
Jaren Carr,Fremantle,38,Forward,191.0,2004-01-27,22.0,0
Heath Chapman,Fremantle,5,Defender,193.0,2002-01-31,24.0,0
Jordan Clark,Fremantle,6,Defender,185.0,2000-10-16,25.0,0
Brennan Cox,Fremantle,36,Defender,195.0,1998-08-13,27.0,0
Mason Cox,Fremantle,18,ForwardRuck,211.0,1991-03-14,35.0,0
Sean Darcy,Fremantle,4,Ruck,203.0,1998-06-12,27.0,0
Hugh Davies,Fremantle,12,Defender,196.0,2004-09-28,21.0,0
Josh Draper,Fremantle,37,Defender,197.0,2004-02-08,22.0,0
Isaiah Dudley,Fremantle,43,Forward,171.0,2003-04-30,23.0,0
Neil Erasmus,Fremantle,28,Midfield,190.0,2003-12-02,22.0,0
Michael Frederick,Fremantle,32,Forward,183.0,2000-05-17,25.0,0
Luke Jackson,Fremantle,9,Ruck,199.0,2001-09-29,24.0,0
Matt Johnson,Fremantle,44,Midfield,193.0,2003-03-16,23.0,0
Leon Kickett,Fremantle,19,MidfieldForward,,2000-01-01,26.0,0
Ryda Luke,Fremantle,40,Forward,185.0,2007-09-19,18.0,0
Oscar McDonald,Fremantle,21,Defender,196.0,1996-03-18,30.0,0
Judd McVee,Fremantle,17,Defender,185.0,2003-08-07,22.0,0
Ollie Murphy,Fremantle,33,Defender,200.0,2005-09-16,20.0,0
Tobyn Murray,Fremantle,11,Forward,180.0,2005-05-05,20.0,0
Charlie Nicholls,Fremantle,22,Forward,197.0,2006-06-08,19.0,0
Nathan O'Driscoll,Fremantle,30,Midfield,188.0,2002-05-17,23.0,0
Jaeger O'Meara,Fremantle,2,Midfield,184.0,1994-02-23,32.0,0
Alex Pearce,Fremantle,25,Defender,201.0,1995-06-09,30.0,0
Murphy Reid,Fremantle,16,Forward,181.0,2006-07-30,19.0,0
Aiden Riddle,Fremantle,42,Ruck,200.0,2005-12-27,20.0,0
Luke Ryan,Fremantle,13,Defender,186.0,1996-02-06,30.0,0
Chris Scerri,Fremantle,45,MidfieldForward,177.0,2006-07-06,19.0,0
Caleb Serong,Fremantle,3,Midfield,180.0,2001-02-09,25.0,0
Jeremy Sharp,Fremantle,14,Midfield,189.0,2001-08-13,24.0,0
Cooper Simpson,Fremantle,29,Defender,182.0,2005-02-13,21.0,0
Sam Sturt,Fremantle,1,Forward,190.0,2000-05-12,25.0,0
Adam Sweid,Fremantle,15,Midfield,176.0,2007-09-14,18.0,0
Sam Switkowski,Fremantle,39,Forward,179.0,1996-11-20,29.0,0
Josh Treacy,Fremantle,35,Forward,195.0,2002-08-04,23.0,0
Patrick Voss,Fremantle,20,Forward,195.0,2003-06-29,22.0,0
Corey Wagner,Fremantle,34,Midfield,181.0,1997-03-23,29.0,0
Brandon Walker,Fremantle,31,Defender,186.0,2002-10-17,23.0,0
Toby Whan,Fremantle,27,Midfield,184.0,2007-05-09,18.0,0
Karl Worner,Fremantle,23,Defender,188.0,2002-06-16,23.0,0
Hayden Young,Fremantle,26,Midfield,189.0,2001-04-11,25.0,0
Tom Atkins,Geelong,30,Midfield,180.0,1995-09-18,30.0,0
Harley Barker,Geelong,26,Midfield,188.0,2007-05-02,19.0,0
Jed Bews,Geelong,24,Defender,186.0,1993-12-14,32.0,0
Mark Blicavs,Geelong,46,Ruck,198.0,1991-03-28,35.0,0
Jack Bowes,Geelong,12,Midfield,189.0,1998-01-26,28.0,0
Tanner Bruhn,Geelong,4,Midfield,184.0,2002-05-27,23.0,0
Cillian Burke,Geelong,41,Defender,192.0,2003-03-29,23.0,0
Jeremy Cameron,Geelong,5,Forward,196.0,1993-04-01,33.0,0
Jhye Clark,Geelong,13,MidfieldForward,181.0,2004-07-23,21.0,0
Bradley Close,Geelong,45,Forward,183.0,1998-07-30,27.0,0
Toby Conway,Geelong,6,Ruck,206.0,2003-04-24,23.0,0
Patrick Dangerfield,Geelong,35,Forward,189.0,1990-04-05,36.0,0
Sam De Koning,Geelong,16,Defender,204.0,2001-02-26,25.0,0
Ollie Dempsey,Geelong,28,Midfield,187.0,2003-01-07,23.0,0
Nick Driscoll,Geelong,27,Midfield,,2000-01-01,26.0,0
Mitchell Edwards,Geelong,11,Ruck,206.0,2005-06-02,20.0,0
Zach Guthrie,Geelong,39,Defender,188.0,1998-06-30,27.0,0
Jack Henry,Geelong,38,Defender,192.0,1998-08-29,27.0,0
Oliver Henry,Geelong,36,Forward,189.0,2002-07-29,23.0,0
Lennox Hoffman,Geelong,23,Defender,191.0,2006-08-08,19.0,0
Hunter Holmes,Geelong,22,Midfield,188.0,2007-02-19,19.0,0
Max Holmes,Geelong,9,Midfield,190.0,2002-08-29,23.0,0
Lawson Humphries,Geelong,17,Defender,182.0,2003-04-24,23.0,0
Mitchell Knevitt,Geelong,10,Midfield,193.0,2003-01-08,23.0,0
Jake Kolodjashnij,Geelong,8,Defender,193.0,1995-08-09,30.0,0
Shaun Mannagh,Geelong,7,Forward,178.0,1997-08-06,28.0,0
Jack Martin,Geelong,19,Forward,186.0,1995-01-29,31.0,0
Keighton Matofai-Forbes,Geelong,31,DefenderForward,188.0,2006-02-02,20.0,0
Jesse Mellor,Geelong,25,Forward,185.0,2007-01-04,19.0,0
Gryan Miers,Geelong,32,Forward,179.0,1999-03-30,27.0,0
Jacob Molier,Geelong,20,Ruck,201.0,2006-10-11,19.0,0
Oisin Mullin,Geelong,34,DefenderMidfield,182.0,2000-02-11,26.0,0
Shannon Neale,Geelong,33,Forward,203.0,2002-07-25,23.0,0
Mark O'Connor,Geelong,42,DefenderMidfield,189.0,1997-01-17,29.0,0
Connor O'Sullivan,Geelong,14,Defender,198.0,2005-05-19,20.0,0
Joe Pike,Geelong,37,Ruck,203.0,2005-05-17,20.0,0
Jay Polkinghorne,Geelong,2,Forward,191.0,2006-06-02,19.0,0
Bailey Smith,Geelong,3,Midfield,185.0,2000-12-07,25.0,0
Rhys Stanley,Geelong,1,Ruck,200.0,1990-12-01,35.0,0
Tyson Stengle,Geelong,18,Forward,175.0,1998-10-19,27.0,0
George Stevens,Geelong,15,Midfield,189.0,2005-04-14,21.0,0
Thomas Stewart,Geelong,44,Defender,190.0,1993-03-15,33.0,0
Oliver Wiltshire,Geelong,21,Forward,180.0,2002-09-15,23.0,0
James Worpel,Geelong,29,Midfield,186.0,1999-01-24,27.0,0
Oscar Adams,Gold Coast,48,Defender,197.0,2003-07-23,22.0,0
Beau Addinsall,Gold Coast,38,Midfield,182.0,2007-03-09,19.0,0
Noah Anderson,Gold Coast,15,Midfield,192.0,2001-02-17,25.0,0
Mac Andrew,Gold Coast,1,Defender,202.0,2003-12-04,22.0,0
Charlie Ballard,Gold Coast,10,Defender,196.0,1999-07-23,26.0,0
Cooper Bell,Gold Coast,31,DefenderForward,199.0,2006-11-30,19.0,0
Sam Clohesy,Gold Coast,33,Midfield,189.0,2002-12-12,23.0,0
Samuel Collins,Gold Coast,25,Defender,194.0,1994-06-15,31.0,0
Koby Coulson,Gold Coast,43,Midfield,180.0,2007-07-31,18.0,0
Alex Davies,Gold Coast,5,Midfield,193.0,2002-03-18,24.0,0
Asher Eastham,Gold Coast,42,Forward,190.0,2006-05-13,19.0,0
Zak Evans,Gold Coast,36,Midfield,190.0,2000-03-26,26.0,0
Jy Farrar,Gold Coast,50,Forward,190.0,1996-12-07,29.0,0
Caleb Graham,Gold Coast,46,Defender,194.0,2000-09-12,25.0,0
Will Graham,Gold Coast,26,MidfieldForward,186.0,2005-07-27,20.0,0
Lachlan Gulbin,Gold Coast,39,Forward,187.0,2006-11-24,19.0,0
Elliott Himmelberg,Gold Coast,12,Forward,196.0,1998-06-04,27.0,0
Nicholas Holman,Gold Coast,7,MidfieldForward,188.0,1995-05-29,30.0,0
Bailey Humphrey,Gold Coast,19,MidfieldForward,186.0,2004-09-11,21.0,0
Joel Jeffrey,Gold Coast,16,Defender,192.0,2002-03-12,24.0,0
Ben Jepson,Gold Coast,44,Midfield,184.0,2001-10-10,24.0,0
Ben King,Gold Coast,34,Forward,202.0,2000-07-07,25.0,0
Max Knobel,Gold Coast,37,Ruck,206.0,2004-06-27,21.0,0
Caleb Lewis,Gold Coast,45,Forward,198.0,2003-09-29,22.0,0
Leo Lombard,Gold Coast,8,Forward,179.0,2006-10-05,19.0,0
Ben Long,Gold Coast,22,Forward,186.0,1997-08-21,28.0,0
Touk Miller,Gold Coast,11,MidfieldForward,178.0,1996-02-22,30.0,0
Ned Moyle,Gold Coast,23,Ruck,206.0,2002-02-15,24.0,0
Jai Murray,Gold Coast,35,Midfield,185.0,2007-03-09,19.0,0
John Noble,Gold Coast,2,Defender,180.0,1997-03-25,29.0,0
Dylan Patterson,Gold Coast,30,Defender,184.0,2007-09-01,18.0,0
Christian Petracca,Gold Coast,3,MidfieldForward,187.0,1996-01-04,30.0,0
Wil Powell,Gold Coast,27,DefenderMidfield,188.0,1999-08-26,26.0,0
Ethan Read,Gold Coast,20,Forward,202.0,2005-07-07,20.0,0
Daniel Rioli,Gold Coast,17,Defender,179.0,1997-04-16,29.0,0
Jake Rogers,Gold Coast,29,Forward,172.0,2005-03-02,21.0,0
Matt Rowell,Gold Coast,18,Midfield,180.0,2001-07-01,24.0,0
Avery Thomas,Gold Coast,41,Defender,185.0,2007-09-20,18.0,0
Jamarra Ugle-Hagan,Gold Coast,9,Forward,197.0,2002-04-04,24.0,0
Bodhi Uwland,Gold Coast,6,Defender,188.0,2003-07-25,22.0,0
Zeke Uwland,Gold Coast,32,DefenderMidfield,179.0,2007-04-24,19.0,0
Jed Walter,Gold Coast,4,Forward,195.0,2005-06-08,20.0,0
Lachlan Weller,Gold Coast,14,Midfield,182.0,1996-02-23,30.0,0
Jarrod Witts,Gold Coast,28,Ruck,209.0,1992-09-13,33.0,0
Leek Aleer,GWS Giants,21,Defender,194.0,2001-08-21,24.0,0
Cody Angove,GWS Giants,29,Forward,182.0,2006-05-28,19.0,0
Ryan Angwin,GWS Giants,9,Midfield,185.0,2002-12-12,23.0,0
Lachlan Ash,GWS Giants,7,Defender,188.0,2001-06-21,24.0,0
Toby Bedford,GWS Giants,14,MidfieldForward,179.0,2000-05-27,25.0,0
Kieren Briggs,GWS Giants,32,Ruck,201.0,1999-10-06,26.0,0
Callum Brown,GWS Giants,46,Forward,188.0,2000-08-15,25.0,0
Jack Buckley,GWS Giants,44,Defender,195.0,1997-12-17,28.0,0
Aaron Cadman,GWS Giants,5,Forward,195.0,2004-03-03,22.0,0
Finn Callaghan,GWS Giants,17,Midfield,192.0,2003-04-26,23.0,0
Stephen Coniglio,GWS Giants,3,MidfieldForward,182.0,1993-12-15,32.0,0
Brent Daniels,GWS Giants,16,Forward,172.0,1999-03-09,27.0,0
Finnegan Davis,GWS Giants,45,Defender,188.0,2007-01-21,19.0,0
Josaia Delana,GWS Giants,38,Forward,176.0,2006-07-01,19.0,0
