Player,Team,Jumper,Position,Height,DOB,Age,Matches,RatingPoints_Avg,CoachesVotes_Avg,CoachesVotes_Total,TimeOnGround,Supercoach_Avg,DreamTeamPoints_Avg
Josh Daicos,Collingwood,7,Defender,178.0,1998-11-26,27.0,4,10.55,2.0,8,80.5,109.75,110.25
Nick Daicos,Collingwood,35,Midfield,184.0,2003-01-03,23.0,3,17.4,8.0,24,86.333,131.0,134.333
Jordan De Goey,Collingwood,2,MidfieldForward,188.0,1996-03-15,30.0,4,8.35,1.0,4,80.75,68.25,63.75
Harry Demattia,Collingwood,13,Midfield,186.0,2005-09-11,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Jamie Elliott,Collingwood,5,Forward,178.0,1992-08-21,33.0,4,6.825,0.0,0,80.75,44.75,43.0
Billy Frampton,Collingwood,17,Defender,201.0,1996-11-20,29.0,4,10.15,0.75,3,96.0,67.0,49.5
Harvey Harrison,Collingwood,36,Forward,181.0,2003-11-10,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Will Hayes,Collingwood,39,Forward,180.0,2006-05-16,19.0,1,4.7,0.0,0,59.0,32.0,21.0
Bobby Hill,Collingwood,23,Forward,175.0,2000-02-09,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Dan Houston,Collingwood,9,Defender,186.0,1997-05-12,28.0,4,10.9,1.25,5,83.0,97.0,105.75
Jeremy Howe,Collingwood,38,Defender,190.0,1990-06-29,35.0,2,6.25,0.0,0,80.0,52.5,51.5
Noah Howes,Collingwood,40,Forward,196.0,2005-10-28,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Tew Jiath,Collingwood,19,Defender,188.0,2005-03-02,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Patrick Lipinski,Collingwood,1,MidfieldForward,190.0,1998-07-17,27.0,4,5.75,0.0,0,80.25,59.5,65.5
Ned Long,Collingwood,44,Midfield,194.0,2003-02-05,23.0,4,7.6,0.0,0,74.25,73.0,70.5
Brayden Maynard,Collingwood,4,Defender,189.0,1996-09-20,29.0,4,10.7,0.0,0,85.25,96.25,84.5
Zac McCarthy,Collingwood,37,ForwardRuck,199.0,2007-10-27,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Beau McCreery,Collingwood,31,Forward,186.0,2001-04-19,24.0,4,10.125,0.0,0,78.0,65.0,58.5
Reef McInnes,Collingwood,26,Defender,194.0,2002-12-12,23.0,0,0.0,0.0,0,0.0,0.0,0.0
Daniel McStay,Collingwood,11,Forward,195.0,1995-06-24,30.0,4,6.525,0.0,0,76.75,49.5,51.25
Tim Membrey,Collingwood,28,Forward,188.0,1994-05-26,31.0,4,5.3,0.25,1,82.75,52.0,44.25
Darcy Moore,Collingwood,30,Defender,203.0,1996-01-25,30.0,1,1.3,0.0,0,61.0,29.0,34.0
Wil Parker,Collingwood,15,Defender,183.0,2002-05-29,23.0,2,6.9,0.0,0,78.0,39.0,26.0
Scott Pendlebury,Collingwood,10,Midfield,191.0,1988-01-07,38.0,3,10.7,0.667,2,53.0,75.667,66.667
Harry Perryman,Collingwood,12,Defender,187.0,1998-12-19,27.0,4,5.625,0.0,0,81.25,58.5,64.0
Tyan Prindable,Collingwood,18,Midfield,182.0,2007-01-25,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Isaac Quaynor,Collingwood,3,Defender,180.0,2000-01-15,26.0,4,8.125,0.5,2,85.5,71.5,67.75
Jakob Ryan,Collingwood,24,Defender,189.0,2004-09-20,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Jai Saxena,Collingwood,43,Forward,179.0,2007-07-27,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Schultz,Collingwood,8,Forward,178.0,1997-11-30,28.0,4,12.6,0.0,0,82.0,81.5,80.0
Steele Sidebottom,Collingwood,22,Midfield,184.0,1991-01-02,35.0,4,7.05,0.5,2,77.25,62.0,66.25
Iliro Smit,Collingwood,20,Ruck,200.0,2005-08-09,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Roan Steele,Collingwood,45,Midfield,183.0,2001-10-22,24.0,4,6.45,0.0,0,75.5,50.25,47.0
Oscar Steene,Collingwood,21,ForwardRuck,201.0,2003-08-23,22.0,2,10.4,0.0,0,56.5,62.0,49.0
Lachie Sullivan,Collingwood,33,Forward,180.0,1997-09-25,28.0,1,3.7,0.0,0,73.0,41.0,37.0
Samuel Swadling,Collingwood,32,Midfield,189.0,2007-01-16,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Charlie West,Collingwood,29,Forward,194.0,2006-02-01,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Blakiston,Essendon,46,Defender,203.0,1998-09-09,27.0,4,6.575,0.0,0,76.5,55.0,48.5
Cillian Bourke,Essendon,39,Defender,190.0,2006-06-07,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Nick Bryan,Essendon,24,Ruck,203.0,2001-10-22,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Nate Caddy,Essendon,30,Forward,193.0,2005-07-14,20.0,3,5.733,0.333,1,92.667,50.667,59.0
Jye Caldwell,Essendon,6,Midfield,183.0,2000-09-28,25.0,4,8.425,0.0,0,74.5,87.75,88.5
Angus Clarke,Essendon,36,DefenderMidfield,188.0,2006-05-08,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Nikolas Cox,Essendon,13,Midfield,200.0,2002-01-15,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Archer Day-Wicks,Essendon,44,Forward,186.0,2006-05-13,19.0,2,-0.15,0.0,0,82.0,39.0,55.0
Sam Durham,Essendon,22,Midfield,185.0,2001-07-09,24.0,4,11.8,0.0,0,79.75,73.25,67.0
Xavier Duursma,Essendon,28,Midfield,186.0,2000-07-07,25.0,4,6.0,0.0,0,77.75,53.25,56.5
Tom Edwards,Essendon,45,Forward,191.0,2000-05-20,25.0,1,9.0,0.0,0,81.0,58.0,52.0
Hussien El Achkar,Essendon,33,Forward,171.0,2007-04-02,19.0,2,6.4,0.0,0,74.0,32.0,25.5
Saad El-Hawli,Essendon,41,Midfield,184.0,2001-05-15,24.0,2,6.8,0.0,0,66.5,51.5,48.0
Jacob Farrow,Essendon,2,DefenderMidfield,188.0,2007-09-21,18.0,2,4.3,0.0,0,78.0,69.5,83.5
Brayden Fiorini,Essendon,8,Midfield,187.0,1997-08-22,28.0,2,7.1,0.0,0,81.5,57.5,54.0
Kayle Gerreyn,Essendon,19,Ruck,199.0,2006-05-10,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Jade Gresham,Essendon,11,Forward,177.0,1997-08-24,28.0,2,10.15,0.0,0,72.0,56.0,51.5
Matt Guelfi,Essendon,35,Forward,184.0,1997-08-14,28.0,2,3.05,0.0,0,69.0,36.0,23.0
Lewis Hayes,Essendon,18,Defender,199.0,2004-12-17,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Zak Johnson,Essendon,40,Defender,185.0,2006-12-24,19.0,4,4.2,0.0,0,77.5,53.25,65.0
Harrison Jones,Essendon,23,MidfieldForward,196.0,2001-02-25,25.0,0,0.0,0.0,0,0.0,0.0,0.0
Isaac Kako,Essendon,10,Forward,175.0,2006-03-07,20.0,3,5.767,0.667,2,80.667,38.667,38.0
Max Kondogiannis,Essendon,29,Defender,191.0,2007-11-14,18.0,2,6.7,0.0,0,75.5,50.0,40.5
Kyle Langford,Essendon,4,Forward,192.0,1996-12-01,29.0,4,4.075,0.0,0,86.0,51.5,51.5
Nicholas Martin,Essendon,37,MidfieldForward,192.0,2001-04-03,25.0,0,0.0,0.0,0,0.0,0.0,0.0
Archie May,Essendon,26,Forward,198.0,2004-08-27,21.0,3,5.467,0.0,0,62.333,42.667,37.0
Andrew McGrath,Essendon,1,Defender,180.0,1998-06-02,27.0,4,8.3,0.0,0,83.5,83.5,78.0
Ben McKay,Essendon,32,Defender,202.0,1997-12-24,28.0,4,7.35,0.0,0,98.25,43.25,30.25
Liam McMahon,Essendon,48,Forward,197.0,2002-05-02,23.0,0,0.0,0.0,0,0.0,0.0,0.0
Zachary Merrett,Essendon,7,Midfield,179.0,1995-10-03,30.0,4,15.375,1.0,4,82.5,112.25,101.25
Jayden Nguyen,Essendon,42,Defender,178.0,2006-07-27,19.0,2,5.3,0.0,0,81.0,37.0,34.0
Darcy Parish,Essendon,3,Midfield,180.0,1997-07-25,28.0,4,10.725,0.0,0,70.25,75.0,68.0
Archie Perkins,Essendon,16,Forward,188.0,2002-03-26,24.0,4,5.5,0.0,0,71.25,46.0,52.0
Jaxon Prior,Essendon,25,Defender,189.0,2001-06-04,24.0,4,10.05,0.0,0,83.0,80.5,70.25
Mason Redman,Essendon,27,Defender,187.0,1997-08-26,28.0,2,7.85,0.0,0,53.0,74.0,60.0
Zach Reid,Essendon,31,Defender,202.0,2002-03-02,24.0,4,5.075,0.0,0,88.5,58.5,57.0
Jordan Ridley,Essendon,14,Defender,195.0,1998-10-20,27.0,0,0.0,0.0,0,0.0,0.0,0.0
Archie Roberts,Essendon,21,Defender,184.0,2005-11-18,20.0,4,10.7,0.0,0,79.5,97.75,90.75
Sullivan Robey,Essendon,9,MidfieldForward,192.0,2007-10-04,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Will Setterfield,Essendon,12,Midfield,192.0,1998-02-05,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Dyson Sharp,Essendon,15,Midfield,187.0,2007-05-23,18.0,2,5.1,0.0,0,51.0,35.5,33.0
Elijah Tsatas,Essendon,5,Midfield,187.0,2004-10-18,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Rhys Unwin,Essendon,38,Forward,179.0,2006-10-11,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Vigo Visentini,Essendon,17,Ruck,203.0,2005-09-05,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Peter Wright,Essendon,20,Forward,203.0,1996-09-08,29.0,4,10.225,0.25,1,82.25,82.75,59.0
Jye Amiss,Fremantle,24,Forward,196.0,2003-07-31,22.0,4,6.525,1.0,4,87.5,58.25,46.75
Bailey Banfield,Fremantle,41,Defender,190.0,1998-02-26,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Shai Bolton,Fremantle,10,MidfieldForward,176.0,1998-12-08,27.0,4,16.825,4.0,16,80.75,106.25,87.5
Andrew Brayshaw,Fremantle,8,Midfield,185.0,1999-11-08,26.0,4,9.95,2.5,10,79.0,96.0,95.25
Jaren Carr,Fremantle,38,Forward,191.0,2004-01-27,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Heath Chapman,Fremantle,5,Defender,193.0,2002-01-31,24.0,4,7.625,0.0,0,87.0,75.0,68.5
Jordan Clark,Fremantle,6,Defender,185.0,2000-10-16,25.0,4,10.05,0.75,3,82.0,93.75,81.25
Brennan Cox,Fremantle,36,Defender,195.0,1998-08-13,27.0,0,0.0,0.0,0,0.0,0.0,0.0
Mason Cox,Fremantle,18,ForwardRuck,211.0,1991-03-14,35.0,0,0.0,0.0,0,0.0,0.0,0.0
Sean Darcy,Fremantle,4,Ruck,203.0,1998-06-12,27.0,4,6.8,0.0,0,49.0,59.25,52.0
Hugh Davies,Fremantle,12,Defender,196.0,2004-09-28,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Josh Draper,Fremantle,37,Defender,197.0,2004-02-08,22.0,0,0.0,0.0,0,0.0,0.0,0.0
