Player,Team,Jumper,Position,Height,DOB,Age,Matches,RatingPoints_Avg,CoachesVotes_Avg,CoachesVotes_Total,TimeOnGround,Supercoach_Avg,DreamTeamPoints_Avg
Finnbar Maley,Adelaide,36,Forward,197.0,2003-07-18,22.0,5,5.1,0.0,0,62.2,45.6,42.4
Mitchell Marsh,Adelaide,26,Forward,192.0,2007-02-15,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan McAndrew,Adelaide,42,Ruck,209.0,2000-05-26,25.0,8,12.037,0.75,6,72.0,84.875,84.25
Max Michalanney,Adelaide,16,Defender,190.0,2004-02-26,22.0,8,5.662,0.0,0,82.0,63.5,62.25
Wayne Milera,Adelaide,30,Defender,185.0,1997-09-14,28.0,8,12.2,3.375,27,81.125,100.625,91.5
Nick Murray,Adelaide,9,Defender,195.0,2000-12-18,25.0,7,9.071,0.0,0,92.857,70.143,51.429
Toby Murray,Adelaide,39,Forward,200.0,2003-11-03,22.0,3,2.367,0.0,0,52.667,41.333,50.0
Luke Nankervis,Adelaide,27,Midfield,189.0,2003-05-25,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Alex Neal-Bullen,Adelaide,28,Forward,182.0,1996-01-09,30.0,7,9.5,0.571,4,83.143,70.571,74.143
Reilly O'Brien,Adelaide,43,Ruck,201.0,1995-08-20,30.0,1,-1.6,0.0,0,35.0,8.0,31.0
James Peatling,Adelaide,25,Midfield,186.0,2000-08-21,25.0,8,12.238,0.125,1,73.25,89.25,81.5
Luke Pedlar,Adelaide,10,Forward,183.0,2002-05-17,23.0,7,4.114,0.0,0,70.714,39.571,45.429
Josh Rachele,Adelaide,8,MidfieldForward,180.0,2003-04-11,23.0,8,12.012,2.25,18,81.5,84.875,85.75
Izak Rankine,Adelaide,23,MidfieldForward,179.0,2000-04-23,26.0,7,11.343,0.0,0,81.143,76.429,73.0
Oscar Ryan,Adelaide,22,Defender,187.0,2005-05-15,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Sholl,Adelaide,38,Midfield,186.0,2000-03-07,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Jake Soligo,Adelaide,14,Midfield,179.0,2003-01-25,23.0,6,8.783,0.0,0,71.333,74.667,64.833
Zac Taylor,Adelaide,19,Forward,180.0,2003-01-31,23.0,6,6.617,0.0,0,72.833,51.0,52.5
Riley Thilthorpe,Adelaide,7,Forward,201.0,2002-07-07,23.0,8,8.713,0.625,5,86.375,73.25,71.625
Taylor Walker,Adelaide,13,Forward,192.0,1990-04-25,36.0,7,9.157,1.429,10,69.286,62.571,53.857
Tyler Welsh,Adelaide,17,Forward,191.0,2006-08-15,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Josh Worrell,Adelaide,24,Defender,195.0,2001-04-11,25.0,8,11.275,0.875,7,86.875,99.0,86.75
Oscar Allen,Brisbane,4,Forward,196.0,1999-03-19,27.0,7,5.429,0.0,0,77.143,54.429,51.857
Harris Andrews,Brisbane,31,Defender,200.0,1996-12-11,29.0,5,13.04,2.0,10,94.4,95.0,73.2
Daniel Annable,Brisbane,14,Midfield,184.0,2007-04-05,19.0,1,4.6,0.0,0,60.0,40.0,53.0
Noah Answerth,Brisbane,43,Defender,182.0,1999-08-06,26.0,3,2.067,0.0,0,71.0,40.0,45.0
Levi Ashcroft,Brisbane,10,Midfield,179.0,2006-12-18,19.0,8,7.875,0.0,0,78.625,75.25,77.875
Will Ashcroft,Brisbane,8,Midfield,182.0,2004-05-06,21.0,8,8.037,2.625,21,83.875,92.5,105.375
Zac Bailey,Brisbane,33,MidfieldForward,181.0,1999-09-23,26.0,7,15.629,3.571,25,86.143,103.571,92.429
Luke Beecken,Brisbane,17,Midfield,185.0,2001-04-18,25.0,0,0.0,0.0,0,0.0,0.0,0.0
Jarrod Berry,Brisbane,7,Midfield,193.0,1998-02-05,28.0,6,9.0,2.333,14,68.5,77.667,78.167
Shadeau Brain,Brisbane,34,Defender,183.0,2004-02-13,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Charlie Cameron,Brisbane,23,Forward,180.0,1994-07-05,31.0,8,12.65,2.0,16,79.75,77.625,73.125
Keidean Coleman,Brisbane,18,Defender,182.0,2000-03-31,26.0,8,9.912,0.0,0,79.5,78.875,77.375
Cody Curtin,Brisbane,37,Forward,200.0,2007-05-18,18.0,1,1.0,0.0,0,69.0,29.0,28.0
Tom Doedee,Brisbane,12,Defender,190.0,1997-03-01,29.0,0,0.0,0.0,0,0.0,0.0,0.0
Sam Draper,Brisbane,2,ForwardRuck,205.0,1998-09-28,27.0,7,8.5,0.714,5,68.429,68.714,55.571
Josh Dunkley,Brisbane,5,Midfield,191.0,1997-01-09,29.0,8,9.0,0.0,0,79.25,85.625,85.75
Koby Evans,Brisbane,24,Midfield,187.0,2007-09-08,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Jaspa Fletcher,Brisbane,3,Defender,184.0,2004-02-24,22.0,8,8.137,0.0,0,83.0,79.0,77.0
Darcy Fort,Brisbane,32,Ruck,204.0,1993-08-06,32.0,7,11.429,0.0,0,64.571,69.714,63.714
Ty Gallop,Brisbane,22,DefenderForward,194.0,2006-02-09,20.0,8,4.487,0.125,1,81.625,45.75,40.5
Darcy Gardiner,Brisbane,27,Defender,192.0,1995-09-22,30.0,2,5.15,0.0,0,78.0,43.5,43.5
Tai Hayes,Brisbane,42,MidfieldForward,190.0,2004-11-18,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Eric Hipwood,Brisbane,30,Forward,204.0,1997-09-13,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Darragh Joyce,Brisbane,41,Defender,195.0,1997-04-23,29.0,1,2.6,0.0,0,85.0,57.0,50.0
Ryan Lester,Brisbane,35,Defender,190.0,1992-08-26,33.0,8,11.938,0.375,3,90.625,79.0,76.25
Luke Lloyd,Brisbane,19,Forward,193.0,2005-08-08,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Kai Lohmann,Brisbane,1,Forward,185.0,2003-05-06,22.0,8,9.8,0.625,5,80.875,63.5,60.25
Sam Marshall,Brisbane,20,Midfield,185.0,2006-01-19,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Lincoln McCarthy,Brisbane,11,Forward,176.0,1993-10-22,32.0,7,7.2,0.0,0,77.857,63.429,63.714
Hugh McCluggage,Brisbane,6,Midfield,187.0,1998-03-03,28.0,5,8.3,1.8,9,56.0,67.2,73.2
Conor McKenna,Brisbane,26,Forward,184.0,1996-03-28,30.0,2,13.85,0.0,0,70.5,62.5,53.0
Will McLachlan,Brisbane,28,Forward,185.0,2005-04-13,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Logan Morris,Brisbane,13,Forward,191.0,2005-05-10,20.0,7,9.271,0.571,4,80.857,78.571,72.714
Ben Murphy,Brisbane,39,Defender,191.0,,,0,0.0,0.0,0,0.0,0.0,0.0
Lachie Neale,Brisbane,9,Midfield,177.0,1993-05-24,32.0,8,14.5,3.625,29,85.125,108.75,105.5
Jack Payne,Brisbane,40,Defender,196.0,1999-10-15,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Cameron Rayner,Brisbane,16,Forward,187.0,1999-10-21,26.0,8,8.7,0.375,3,83.25,71.0,67.125
Bruce Reville,Brisbane,38,Midfield,185.0,2001-02-22,25.0,8,9.225,0.0,0,72.0,65.25,63.375
Henry Smith,Brisbane,25,Forward,202.0,2002-09-24,23.0,0,0.0,0.0,0,0.0,0.0,0.0
Reece Torrent,Brisbane,36,Midfield,184.0,2005-08-03,20.0,0,0.0,0.0,0,0.0,0.0,0.0
James Tunstill,Brisbane,29,Midfield,187.0,2003-07-18,22.0,3,5.133,0.0,0,73.0,44.667,52.667
Darcy Wilmot,Brisbane,44,Defender,183.0,2003-12-31,22.0,8,10.537,1.375,11,85.875,87.0,86.75
Zane Zakostelsky,Brisbane,21,DefenderRuck,196.0,2005-12-14,20.0,3,5.233,0.0,0,55.0,49.0,46.333
Dayne Zorko,Brisbane,15,Defender,175.0,1989-02-09,37.0,6,12.05,0.167,1,73.333,97.333,104.333
Blake Acres,Carlton,13,Midfield,193.0,1995-10-07,30.0,0,0.0,0.0,0,0.0,0.0,0.0
Ben Ainsworth,Carlton,12,Forward,178.0,1998-02-10,28.0,8,9.562,0.375,3,79.0,65.375,67.5
Jordan Boyd,Carlton,37,Defender,182.0,1998-09-22,27.0,2,7.8,0.0,0,73.0,66.0,69.0
Talor Byrne,Carlton,39,MidfieldForward,174.0,2007-11-14,18.0,5,4.18,0.0,0,66.6,35.6,32.8
Ben Camporeale,Carlton,16,Midfield,186.0,2006-07-21,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Lucas Camporeale,Carlton,21,Midfield,184.0,2006-07-21,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Matt Carroll,Carlton,32,DefenderMidfield,188.0,2005-11-28,20.0,7,10.4,0.0,0,78.714,65.0,62.143
Adam Cerra,Carlton,5,Midfield,188.0,1999-10-07,26.0,5,7.5,0.0,0,72.6,80.8,81.6
Harry Charleson,Carlton,28,DefenderMidfield,183.0,2006-06-26,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Campbell Chesser,Carlton,31,Midfield,186.0,2003-04-27,23.0,3,4.833,0.0,0,77.667,62.667,62.333
Matt Cottrell,Carlton,46,MidfieldForward,184.0,2000-02-29,26.0,2,6.1,0.0,0,79.0,50.0,45.5
Lachlan Cowan,Carlton,2,Defender,188.0,2004-12-01,21.0,7,5.671,0.0,0,76.857,53.0,52.857
Patrick Cripps,Carlton,9,Midfield,195.0,1995-03-18,31.0,8,11.175,1.0,8,80.5,86.5,82.0
Harry Dean,Carlton,35,Defender,194.0,2007-11-13,18.0,6,6.883,0.0,0,75.5,47.667,38.333
Wade Derksen,Carlton,47,Defender,194.0,2001-06-18,24.0,2,6.3,0.0,0,86.5,46.5,40.0
Matt Duffy,Carlton,41,Defender,194.0,2004-01-02,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Francis Evans,Carlton,44,Forward,182.0,2001-08-23,24.0,6,5.95,0.0,0,74.833,59.667,56.167
Oliver Florent,Carlton,14,DefenderMidfield,184.0,1998-07-22,27.0,8,11.812,0.75,6,85.0,88.375,84.0
Lachlan Fogarty,Carlton,8,Forward,180.0,1999-04-01,27.0,2,4.2,0.0,0,68.5,47.0,30.0
Nick Haynes,Carlton,26,Defender,192.0,1992-05-18,33.0,4,8.85,0.0,0,89.25,77.25,77.25
Will Hayward,Carlton,19,Forward,186.0,1998-10-26,27.0,7,6.5,0.0,0,76.571,57.0,62.429
George Hewett,Carlton,29,Midfield,187.0,1995-12-29,30.0,4,8.2,0.0,0,73.5,91.5,84.25
Elijah Hollands,Carlton,20,MidfieldForward,189.0,2002-04-25,24.0,6,9.55,0.5,3,74.5,65.0,56.833
Oliver Hollands,Carlton,4,Defender,184.0,2004-01-16,22.0,7,4.671,0.143,1,87.0,72.429,74.714
Jack Ison,Carlton,30,Midfield,192.0,2007-03-26,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Brodie Kemp,Carlton,17,Forward,192.0,2001-05-01,25.0,8,5.237,0.125,1,86.625,61.125,64.25
Cooper Lord,Carlton,36,Midfield,184.0,2005-03-20,21.0,3,8.9,0.0,0,72.333,76.667,74.333
Mitch McGovern,Carlton,11,DefenderForward,190.0,1994-10-11,31.0,8,11.35,0.0,0,77.125,73.0,62.0
Harry McKay,Carlton,10,Forward,200.0,1997-12-24,28.0,7,4.929,0.0,0,92.286,59.857,61.429
Ashton Moir,Carlton,43,Forward,188.0,2005-04-15,21.0,2,5.65,0.0,0,73.5,46.0,45.5
Rob Monahan,Carlton,34,Forward,194.0,2004-06-29,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Jesse Motlop,Carlton,3,Forward,180.0,2003-11-23,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Nic Newman,Carlton,24,Defender,186.0,1993-01-15,33.0,5,9.92,0.0,0,81.0,91.4,94.6
Harry O'Farrell,Carlton,22,Defender,196.0,2006-05-03,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Hudson O'Keeffe,Carlton,40,ForwardRuck,202.0,2004-12-16,21.0,3,2.5,0.0,0,47.333,29.667,28.333
Marc Pittonet,Carlton,27,Ruck,202.0,1996-06-03,29.0,7,14.314,0.286,2,69.857,85.0,73.857
Liam Reidy,Carlton,25,ForwardRuck,204.0,2000-06-14,25.0,3,8.033,0.0,0,63.333,54.667,48.0
Adam Saad,Carlton,42,Defender,178.0,1994-07-23,31.0,2,14.65,0.0,0,71.5,86.5,48.0
Jagga Smith,Carlton,7,Midfield,182.0,2006-01-28,20.0,8,8.113,0.625,5,74.375,74.0,76.25
Sam Walsh,Carlton,18,Midfield,184.0,2000-07-02,25.0,8,13.963,3.125,25,79.125,101.75,100.625
Jacob Weitering,Carlton,23,Defender,195.0,1997-11-23,28.0,7,10.571,0.143,1,90.429,79.286,59.0
Zachary Williams,Carlton,6,DefenderForward,186.0,1994-09-20,31.0,7,12.743,0.0,0,72.0,84.143,69.286
Billy Wilson,Carlton,15,Defender,183.0,2005-06-16,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Flynn Young,Carlton,45,Forward,181.0,2002-02-03,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Lewis Young,Carlton,33,Defender,202.0,1998-12-20,27.0,7,6.186,0.0,0,87.143,55.571,40.0
Edward Allan,Collingwood,16,Midfield,194.0,2004-05-26,21.0,4,5.825,0.0,0,65.25,44.25,43.5
Angus Anderson,Collingwood,41,Midfield,193.0,2003-05-25,22.0,4,7.725,0.0,0,66.75,59.0,66.75
Jack Buller,Collingwood,34,Forward,199.0,2001-05-16,24.0,3,1.467,0.0,0,76.667,26.0,30.667
Darcy Cameron,Collingwood,14,Ruck,204.0,1995-07-18,30.0,8,9.613,0.25,2,76.25,80.0,81.0
Joel Cochran,Collingwood,27,Defender,195.0,2006-03-28,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Jack Crisp,Collingwood,25,Midfield,190.0,1993-10-02,32.0,8,12.738,0.75,6,79.5,91.875,97.75
Josh Daicos,Collingwood,7,Defender,178.0,1998-11-26,27.0,8,10.238,1.375,11,82.25,99.875,102.125
Nick Daicos,Collingwood,35,Midfield,184.0,2003-01-03,23.0,7,16.329,7.143,50,87.571,119.286,126.571
Jordan De Goey,Collingwood,2,MidfieldForward,188.0,1996-03-15,30.0,7,10.071,1.143,8,73.286,67.429,62.714
Harry Demattia,Collingwood,13,Midfield,186.0,2005-09-11,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Jamie Elliott,Collingwood,5,Forward,178.0,1992-08-21,33.0,8,7.963,0.5,4,82.25,55.5,51.25
Billy Frampton,Collingwood,17,Defender,201.0,1996-11-20,29.0,8,10.15,0.5,4,95.25,66.875,55.75
Harvey Harrison,Collingwood,36,Forward,181.0,2003-11-10,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Will Hayes,Collingwood,39,Forward,180.0,2006-05-16,19.0,4,7.025,0.0,0,65.75,36.5,30.25
Bobby Hill,Collingwood,23,Forward,175.0,2000-02-09,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Dan Houston,Collingwood,9,Defender,186.0,1997-05-12,28.0,8,10.55,1.875,15,80.125,97.625,101.625
Jeremy Howe,Collingwood,38,Defender,190.0,1990-06-29,35.0,5,8.9,0.0,0,88.6,75.6,70.2
Noah Howes,Collingwood,40,Forward,196.0,2005-10-28,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Tew Jiath,Collingwood,19,Defender,188.0,2005-03-02,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Patrick Lipinski,Collingwood,1,MidfieldForward,190.0,1998-07-17,27.0,8,7.237,0.375,3,80.875,68.125,72.5
Ned Long,Collingwood,44,Midfield,194.0,2003-02-05,23.0,7,7.5,0.0,0,72.571,71.714,74.429
Brayden Maynard,Collingwood,4,Defender,189.0,1996-09-20,29.0,8,10.463,0.25,2,82.875,92.5,85.25
Zac McCarthy,Collingwood,37,ForwardRuck,199.0,2007-10-27,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Beau McCreery,Collingwood,31,Forward,186.0,2001-04-19,25.0,7,10.857,0.0,0,76.143,68.857,64.571
Reef McInnes,Collingwood,26,Defender,194.0,2002-12-12,23.0,0,0.0,0.0,0,0.0,0.0,0.0
Daniel McStay,Collingwood,11,Forward,195.0,1995-06-24,30.0,8,7.375,0.0,0,79.625,51.25,54.25
Tim Membrey,Collingwood,28,Forward,188.0,1994-05-26,31.0,7,6.014,0.143,1,82.0,54.286,47.857
Darcy Moore,Collingwood,30,Defender,203.0,1996-01-25,30.0,2,3.25,0.0,0,72.0,29.0,26.5
Wil Parker,Collingwood,15,Defender,183.0,2002-05-29,23.0,3,6.067,0.0,0,77.667,36.0,27.0
Scott Pendlebury,Collingwood,10,Midfield,191.0,1988-01-07,38.0,6,14.383,2.0,12,66.833,95.833,87.0
Harry Perryman,Collingwood,12,Defender,187.0,1998-12-19,27.0,8,6.875,0.375,3,75.75,64.875,70.5
Tyan Prindable,Collingwood,18,Midfield,182.0,2007-01-25,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Isaac Quaynor,Collingwood,3,Defender,180.0,2000-01-15,26.0,8,8.762,0.25,2,83.5,78.25,76.375
Jakob Ryan,Collingwood,24,Defender,189.0,2004-09-20,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Jai Saxena,Collingwood,43,Forward,179.0,2007-07-27,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Schultz,Collingwood,8,Forward,178.0,1997-11-30,28.0,8,10.262,0.125,1,79.625,82.875,80.375
Steele Sidebottom,Collingwood,22,Midfield,184.0,1991-01-02,35.0,7,7.186,0.286,2,75.571,61.286,63.0
Iliro Smit,Collingwood,20,Ruck,200.0,2005-08-09,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Roan Steele,Collingwood,45,Midfield,183.0,2001-10-22,24.0,8,7.487,0.125,1,77.75,54.5,54.0
Oscar Steene,Collingwood,21,ForwardRuck,201.0,2003-08-23,22.0,6,8.217,0.0,0,62.333,53.833,46.5
Lachie Sullivan,Collingwood,33,Forward,180.0,1997-09-25,28.0,1,3.7,0.0,0,73.0,41.0,37.0
Samuel Swadling,Collingwood,32,Midfield,189.0,2007-01-16,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Charlie West,Collingwood,29,Forward,194.0,2006-02-01,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Blakiston,Essendon,46,DefenderRuck,203.0,1998-09-09,27.0,8,6.263,0.0,0,79.375,47.875,43.25
Cillian Bourke,Essendon,39,Defender,190.0,2006-06-07,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Nick Bryan,Essendon,24,Ruck,203.0,2001-10-22,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Nate Caddy,Essendon,30,Forward,193.0,2005-07-14,20.0,7,6.029,0.143,1,89.714,59.714,64.429
Jye Caldwell,Essendon,6,Midfield,183.0,2000-09-28,25.0,8,9.45,0.0,0,71.0,82.375,79.25
Angus Clarke,Essendon,36,DefenderMidfield,188.0,2006-05-08,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Nikolas Cox,Essendon,13,Midfield,200.0,2002-01-15,24.0,1,8.9,0.0,0,97.0,42.0,39.0
Archer Day-Wicks,Essendon,44,MidfieldForward,186.0,2006-05-13,19.0,6,6.533,0.0,0,79.833,52.0,56.0
Sam Durham,Essendon,22,MidfieldForward,185.0,2001-07-09,24.0,8,11.375,0.125,1,78.5,74.625,69.875
Xavier Duursma,Essendon,28,Midfield,186.0,2000-07-07,25.0,8,8.25,0.0,0,76.75,63.5,65.0
Tom Edwards,Essendon,45,Forward,191.0,2000-05-20,25.0,5,6.8,0.0,0,73.6,48.0,48.0
Hussien El Achkar,Essendon,33,Forward,171.0,2007-04-02,19.0,2,6.4,0.0,0,74.0,32.0,25.5
Saad El-Hawli,Essendon,41,Midfield,184.0,2001-05-15,24.0,5,8.26,0.0,0,70.2,63.0,62.8
Jacob Farrow,Essendon,2,DefenderMidfield,188.0,2007-09-21,18.0,6,5.65,0.0,0,78.333,70.5,75.0
Brayden Fiorini,Essendon,8,Midfield,187.0,1997-08-22,28.0,2,7.1,0.0,0,81.5,57.5,54.0
Kayle Gerreyn,Essendon,19,Ruck,199.0,2006-05-10,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Jade Gresham,Essendon,11,Forward,177.0,1997-08-24,28.0,5,7.4,0.0,0,76.2,48.4,50.0
Matt Guelfi,Essendon,35,Forward,184.0,1997-08-14,28.0,2,3.05,0.0,0,69.0,36.0,23.0
Lewis Hayes,Essendon,18,Defender,199.0,2004-12-17,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Zak Johnson,Essendon,40,Defender,185.0,2006-12-24,19.0,4,4.2,0.0,0,77.5,53.25,65.0
Harrison Jones,Essendon,23,MidfieldForward,196.0,2001-02-25,25.0,0,0.0,0.0,0,0.0,0.0,0.0
Isaac Kako,Essendon,10,Forward,175.0,2006-03-07,20.0,6,8.6,1.167,7,80.667,55.0,45.833
Max Kondogiannis,Essendon,29,Defender,191.0,2007-11-14,18.0,3,6.333,0.0,0,74.0,46.333,41.667
Kyle Langford,Essendon,4,MidfieldForward,192.0,1996-12-01,29.0,8,8.537,0.0,0,84.375,64.375,66.0
Nicholas Martin,Essendon,37,MidfieldForward,192.0,2001-04-03,25.0,0,0.0,0.0,0,0.0,0.0,0.0
Archie May,Essendon,26,Forward,198.0,2004-08-27,21.0,6,5.717,0.0,0,66.833,42.667,41.333
Andrew McGrath,Essendon,1,Defender,180.0,1998-06-02,27.0,8,11.137,0.0,0,80.75,80.375,69.875
Ben McKay,Essendon,32,Defender,202.0,1997-12-24,28.0,8,6.487,0.0,0,95.0,47.0,40.125
Liam McMahon,Essendon,48,Forward,197.0,2002-05-02,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Zachary Merrett,Essendon,7,Midfield,179.0,1995-10-03,30.0,8,14.6,1.5,12,82.625,116.0,104.75
Jayden Nguyen,Essendon,42,Defender,178.0,2006-07-27,19.0,3,5.033,0.0,0,79.0,40.667,38.667
Darcy Parish,Essendon,3,Midfield,180.0,1997-07-25,28.0,7,12.029,1.714,12,74.714,87.143,79.429
Archie Perkins,Essendon,16,Forward,188.0,2002-03-26,24.0,4,5.5,0.0,0,71.25,46.0,52.0
Jaxon Prior,Essendon,25,Defender,189.0,2001-06-04,24.0,7,9.857,0.0,0,82.143,75.429,69.286
Mason Redman,Essendon,27,Defender,187.0,1997-08-26,28.0,2,7.85,0.0,0,53.0,74.0,60.0
Zach Reid,Essendon,31,Defender,202.0,2002-03-02,24.0,8,4.787,0.0,0,83.125,58.0,58.875
Jordan Ridley,Essendon,14,Defender,195.0,1998-10-20,27.0,2,6.65,0.0,0,59.0,64.5,79.0
Archie Roberts,Essendon,21,Defender,184.0,2005-11-18,20.0,8,10.412,1.25,10,82.625,110.25,107.875
Sullivan Robey,Essendon,9,MidfieldForward,192.0,2007-10-04,18.0,4,6.65,0.0,0,76.0,43.0,47.25
Will Setterfield,Essendon,12,Midfield,192.0,1998-02-05,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Dyson Sharp,Essendon,15,Midfield,187.0,2007-05-23,18.0,4,4.0,0.0,0,60.0,41.75,44.75
Elijah Tsatas,Essendon,5,Midfield,187.0,2004-10-18,21.0,3,8.433,0.0,0,70.333,81.333,78.0
Rhys Unwin,Essendon,38,Forward,179.0,2006-10-11,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Vigo Visentini,Essendon,17,Ruck,203.0,2005-09-05,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Peter Wright,Essendon,20,ForwardRuck,203.0,1996-09-08,29.0,8,10.7,0.5,4,81.0,86.875,70.875
Jye Amiss,Fremantle,24,Forward,196.0,2003-07-31,22.0,8,7.375,1.75,14,88.75,68.375,61.625
Bailey Banfield,Fremantle,41,Defender,190.0,1998-02-26,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Shai Bolton,Fremantle,10,MidfieldForward,176.0,1998-12-08,27.0,8,17.35,4.375,35,82.0,104.5,88.25
Andrew Brayshaw,Fremantle,8,Midfield,185.0,1999-11-08,26.0,8,10.25,1.75,14,77.875,88.625,92.375
Jaren Carr,Fremantle,38,Forward,191.0,2004-01-27,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Heath Chapman,Fremantle,5,Defender,193.0,2002-01-31,24.0,8,8.65,0.125,1,85.0,75.625,67.625
Jordan Clark,Fremantle,6,Defender,185.0,2000-10-16,25.0,8,9.688,1.375,11,83.0,98.75,86.625
Brennan Cox,Fremantle,36,Defender,195.0,1998-08-13,27.0,0,0.0,0.0,0,0.0,0.0,0.0
Mason Cox,Fremantle,18,ForwardRuck,211.0,1991-03-14,35.0,3,6.267,0.0,0,62.667,58.667,55.0
Sean Darcy,Fremantle,4,Ruck,203.0,1998-06-12,27.0,5,6.18,0.0,0,44.4,51.6,45.0
Hugh Davies,Fremantle,12,Defender,196.0,2004-09-28,21.0,0,0.0,0.0,0,0.0,0.0,0.0
