Player,Team,Round,Overall_Rating
James Sicily,Hawthorn,4,3.36
James Trezise,Richmond,4,1.97
James Tunstill,Brisbane,4,2.18
James Worpel,Geelong,4,2.46
Jamie Cripps,West Coast,4,2.31
Jamie Elliott,Collingwood,4,2.3
Jaren Carr,Fremantle,4,2.49
Jarman Impey,Hawthorn,4,2.72
Jarrod Berry,Brisbane,4,2.88
Jarrod Witts,Gold Coast,4,2.75
Jase Burgoyne,Port Adelaide,4,2.71
Jason Horne-Francis,Port Adelaide,4,2.48
Jaspa Fletcher,Brisbane,4,2.59
Jasper Alger,Richmond,4,1.84
Jaxon Prior,Essendon,4,2.66
Jay Polkinghorne,Geelong,4,2.45
Jayden Laverde,GWS Giants,4,2.63
Jayden Nguyen,Essendon,4,1.94
Jayden Short,Richmond,4,2.56
Jed Adams,Melbourne,4,2.72
Jed Bews,Geelong,4,2.42
Jed Walter,Gold Coast,4,2.17
Jedd Busslinger,Western Bulldogs,4,1.96
Jeremy Cameron,Geelong,4,2.68
Jeremy Howe,Collingwood,4,2.31
Jesse Hogan,GWS Giants,4,2.18
Jesse Motlop,Carlton,4,2.56
Jhye Clark,Geelong,4,1.78
Jobe Shanahan,West Coast,4,2.71
Joe Berry,Port Adelaide,4,2.27
Joe Pike,Geelong,4,2.48
Joe Richards,Port Adelaide,4,2.9
Joel Amartey,Sydney,4,2.6
Joel Cochran,Collingwood,4,2.2
Joel Freijah,Western Bulldogs,4,2.23
Joel Hamling,Sydney,4,1.91
Joel Jeffrey,Gold Coast,4,2.84
John Noble,Gold Coast,4,2.64
Jonty Faull,Richmond,4,2.24
Jordan Boyd,Carlton,4,2.44
Jordan Clark,Fremantle,4,3.21
Jordan Croft,Western Bulldogs,4,1.99
Jordan Dawson,Adelaide,4,2.75
Jordan De Goey,Collingwood,4,2.1
Jordan Ridley,Essendon,4,2.5
Jordon Butts,Adelaide,4,2.74
Jordon Sweet,Port Adelaide,4,2.63
Josaia Delana,GWS Giants,4,1.88
Joseph Fonti,GWS Giants,4,3.11
Josh Battle,Hawthorn,4,2.43
Josh Daicos,Collingwood,4,3.1
Josh Dolan,Western Bulldogs,4,1.72
Josh Draper,Fremantle,4,1.79
Josh Dunkley,Brisbane,4,2.58
Josh Gibcus,Richmond,4,2.84
Josh Goater,North Melbourne,4,1.79
Josh Lai,Port Adelaide,4,2.21
Josh Rachele,Adelaide,4,2.53
Josh Sinn,Port Adelaide,4,1.77
Josh Smillie,Richmond,4,2.29
Josh Treacy,Fremantle,4,3.51
Josh Ward,Hawthorn,4,2.36
Josh Worrell,Adelaide,4,2.89
Joshua Kelly,GWS Giants,4,3.02
Joshua Weddle,Hawthorn,4,2.55
Judd McVee,Fremantle,4,2.29
Judson Clarke,Richmond,4,2.4
Justin McInerney,Sydney,4,2.63
Jy Farrar,Gold Coast,4,1.91
Jy Simpkin,North Melbourne,4,2.63
Jye Amiss,Fremantle,4,2.34
Jye Caldwell,Essendon,4,2.42
Kade Chandler,Melbourne,4,2.97
Kai Lohmann,Brisbane,4,2.93
Kaleb Smith,Richmond,4,2.9
Kane Farrell,Port Adelaide,4,2.73
Kane McAuliffe,Richmond,4,2.56
Karl Amon,Hawthorn,4,2.3
Karl Worner,Fremantle,4,2.4
Kayle Gerreyn,Essendon,4,2.46
Keidean Coleman,Brisbane,4,2.35
Keighton Matofai-Forbes,Geelong,4,2.03
Kieren Briggs,GWS Giants,4,2.39
Koltyn Tholstrup,Melbourne,4,2.13
Kyle Langford,Essendon,4,2.12
Kysaiah Pickett,Melbourne,4,2.67
Lachie Jaques,Western Bulldogs,4,2.71
Lachie Neale,Brisbane,4,2.85
Lachie Sullivan,Collingwood,4,2.41
Lachie Whitfield,GWS Giants,4,2.89
Lachlan Ash,GWS Giants,4,2.99
Lachlan Blakiston,Essendon,4,2.09
Lachlan Bramble,Western Bulldogs,4,1.93
Lachlan Cowan,Carlton,4,2.14
Lachlan Fogarty,Carlton,4,2.01
Lachlan Gulbin,Gold Coast,4,2.56
Lachlan Jones,Port Adelaide,4,1.96
Lachlan McAndrew,Adelaide,4,2.67
Lachlan McNeil,Western Bulldogs,4,2.2
Lachlan Schultz,Collingwood,4,3.13
Lachlan Sholl,Adelaide,4,2.14
Lachlan Smith,Western Bulldogs,4,2.77
Lachlan Weller,Gold Coast,4,2.19
Laitham Vandermeer,Western Bulldogs,4,2.37
Lance Collard,St Kilda,4,1.87
Latrelle Pickett,Melbourne,4,1.99
Lawson Humphries,Geelong,4,2.33
Leek Aleer,GWS Giants,4,2.33
Leo Lombard,Gold Coast,4,2.56
Levi Ashcroft,Brisbane,4,2.6
Lewis Hayes,Essendon,4,3.31
Lewis Melican,Sydney,4,1.93
Lewis Young,Carlton,4,2.21
Liam Baker,West Coast,4,2.82
Liam Duggan,West Coast,4,2.48
Liam Fawcett,Richmond,4,2.53
Liam Henry,St Kilda,4,1.87
Liam McMahon,Essendon,4,2.11
Liam O'Connell,St Kilda,4,2.06
Liam Reidy,Carlton,4,2.94
Liam Ryan,St Kilda,4,2.19
Liam Stocker,St Kilda,4,2.21
Lincoln McCarthy,Brisbane,4,2.63
Lloyd Meek,Hawthorn,4,2.57
Logan Evans,Port Adelaide,4,2.46
Logan McDonald,Sydney,4,2.73
Logan Morris,Brisbane,4,2.54
Logan Smith,GWS Giants,4,2.06
Lucas Camporeale,Carlton,4,2.13
Luke Beecken,Brisbane,4,2.7
Luke Cleary,Western Bulldogs,4,2.45
Luke Davies-Uniacke,North Melbourne,4,3.14
Luke Jackson,Fremantle,4,2.86
Luke Kennedy,Western Bulldogs,4,2.12
Luke Lloyd,Brisbane,4,2.5
Luke McDonald,North Melbourne,4,2.43
Luke Nankervis,Adelaide,4,2.1
Luke Parker,North Melbourne,4,3.15
Luke Pedlar,Adelaide,4,1.81
Luke Ryan,Fremantle,4,2.43
Luke Trainor,Richmond,4,2.21
Luke Urquhart,North Melbourne,4,2.38
Luker Kentfield,Melbourne,4,2.05
Mabior Chol,Hawthorn,4,2.98
Mac Andrew,Gold Coast,4,2.87
Malakai Champion,West Coast,4,2.27
Malcolm Rosas,Sydney,4,2.16
Mani Liddy,Port Adelaide,4,2.15
Marc Pittonet,Carlton,4,2.42
Marcus Bontempelli,Western Bulldogs,4,3.09
Marcus Windhager,St Kilda,4,2.87
Mark Blicavs,Geelong,4,2.49
Mark Keane,Adelaide,4,2.67
Mark O'Connor,Geelong,4,2.3
Mason Cox,Fremantle,4,2.47
Mason Redman,Essendon,4,2.27
Mason Wood,St Kilda,4,2.74
Massimo D'Ambrosio,Hawthorn,4,2.39
Matt Carroll,Carlton,4,2.56
Matt Cottrell,Carlton,4,2.27
Matt Duffy,Carlton,4,1.66
Matt Guelfi,Essendon,4,2.24
Matt Hill,Hawthorn,4,2.26
Matt Johnson,Fremantle,4,2.51
Matt Owies,West Coast,4,2.24
Matt Rowell,Gold Coast,4,3.3
Matt Whitlock,North Melbourne,4,2.14
Mattaes Phillipou,St Kilda,4,1.92
Matthew Flynn,West Coast,4,2.26
Matthew Jefferson,Melbourne,4,1.63
Matthew Kennedy,Western Bulldogs,4,2.89
Matthew Roberts,Sydney,4,2.82
Maurice Rioli,Richmond,4,2.19
Max Gawn,Melbourne,4,3.71
Max Gruzewski,GWS Giants,4,1.98
Max Hall,St Kilda,4,3.31
Max Heath,Melbourne,4,2.42
Max Holmes,Geelong,4,3.12
Max King,St Kilda,4,2.55
Max King,Sydney,4,2.55
Max Knobel,Gold Coast,4,2.46
Max Michalanney,Adelaide,4,2.41
Max Ramsden,Hawthorn,4,2.71
Michael Frederick,Fremantle,4,2.58
Michael Sellwood,Western Bulldogs,4,2.34
Milan Murdock,West Coast,4,3.34
Miles Bergman,Port Adelaide,4,2.13
Mitch Georgiades,Port Adelaide,4,2.68
Mitch McGovern,Carlton,4,3.0
Mitch Zadow,Port Adelaide,4,2.89
Mitchell Edwards,Geelong,4,1.77
Mitchell Hinge,Adelaide,4,2.43
Mitchell Knevitt,Geelong,4,2.43
Mitchell Lewis,Hawthorn,4,2.67
Mitchito Owens,St Kilda,4,2.72
Murphy Reid,Fremantle,4,3.1
Mykelti Lefau,Richmond,4,2.18
Nasiah Wanganeen-Milera,St Kilda,4,2.27
Nate Caddy,Essendon,4,2.36
Nathan Broad,Richmond,4,2.28
Nathan O'Driscoll,Fremantle,4,2.66
Nathan Wardius,GWS Giants,4,3.01
Ned Bowman,Sydney,4,2.42
Ned Long,Collingwood,4,2.29
Ned Moyle,Gold Coast,4,2.2
Ned Reeves,Hawthorn,4,2.32
Neil Erasmus,Fremantle,4,2.63
Nic Newman,Carlton,4,3.21
Nicholas Coffield,Western Bulldogs,4,2.23
Nicholas Holman,Gold Coast,4,1.93
Nicholas Martin,Essendon,4,2.84
Nick Blakey,Sydney,4,2.91
Nick Bryan,Essendon,4,2.1
Nick Daicos,Collingwood,4,2.99
Nick Haynes,Carlton,4,2.92
Nick Larkey,North Melbourne,4,2.84
Nick Madden,GWS Giants,4,3.12
Nick Murray,Adelaide,4,2.94
Nick Vlastuin,Richmond,4,2.27
Nick Watson,Hawthorn,4,3.16
Nikolas Cox,Essendon,4,2.07
Noah Anderson,Gold Coast,4,2.8
Noah Answerth,Brisbane,4,1.92
Noah Balta,Richmond,4,2.25
Noah Howes,Collingwood,4,1.98
Noah Long,West Coast,4,1.89
Noah Mraz,Hawthorn,4,2.86
Oisin Mullin,Geelong,4,2.14
Oliver Florent,Carlton,4,2.78
Oliver Hannaford,GWS Giants,4,2.45
Oliver Hayes-Brown,Richmond,4,2.7
Oliver Henry,Geelong,4,2.24
Oliver Hollands,Carlton,4,2.39
Oliver Wiltshire,Geelong,4,2.15
Oliver Wines,Port Adelaide,4,2.7
Ollie Dempsey,Geelong,4,2.55
Ollie Lord,Port Adelaide,4,1.96
Ollie Murphy,Fremantle,4,2.57
Oscar Adams,Gold Coast,4,1.86
Oscar Allen,Brisbane,4,2.25
Oscar McDonald,Fremantle,4,2.33
Oscar Ryan,Adelaide,4,2.43
Oscar Steene,Collingwood,4,2.39
Oskar Baker,Western Bulldogs,4,2.54
Paddy Cross,Melbourne,4,2.77
Paddy Dow,St Kilda,4,2.84
Patrick Cripps,Carlton,4,2.9
Patrick Dangerfield,Geelong,4,3.31
Patrick Lipinski,Collingwood,4,2.15
Patrick Retschko,Richmond,4,2.36
Patrick Said,St Kilda,4,2.09
Patrick Snell,Sydney,4,2.57
Patrick Voss,Fremantle,4,2.62
Paul Curtis,North Melbourne,4,2.7
Peter Ladhams,Sydney,4,1.92
Peter Wright,Essendon,4,2.63
Phoenix Gothard,GWS Giants,4,2.72
Reece Torrent,Brisbane,4,2.49
Reef McInnes,Collingwood,4,2.16
Reilly O'Brien,Adelaide,4,2.73
Reuben Ginbey,West Coast,4,2.48
Rhett Bazzo,West Coast,4,2.06
Rhyan Mansell,Richmond,4,2.6
Rhylee West,Western Bulldogs,4,2.39
Rhys Stanley,Geelong,4,2.12
Rhys Unwin,Essendon,4,1.9
Riak Andrew,Sydney,4,2.26
Ricky Mentha,Melbourne,4,2.42
Riley Bice,Sydney,4,2.86
Riley Garcia,Western Bulldogs,4,2.16
Riley Hamilton,GWS Giants,4,2.41
Riley Hardeman,North Melbourne,4,2.08
Riley Thilthorpe,Adelaide,4,3.06
River Stevens,North Melbourne,4,2.19
Roan Steele,Collingwood,4,1.67
Rob Monahan,Carlton,4,2.06
Rory Laird,Adelaide,4,2.57
Rory Lobb,Western Bulldogs,4,2.55
Rowan Marshall,St Kilda,4,2.07
Ryan Angwin,GWS Giants,4,2.84
Ryan Byrnes,St Kilda,4,2.34
Ryan Gardner,Western Bulldogs,4,3.34
Ryan Lester,Brisbane,4,2.92
Ryan Maric,West Coast,4,2.46
Ryley Sanders,Western Bulldogs,4,2.15
Saad El-Hawli,Essendon,4,1.93
Sam Banks,Richmond,4,2.32
Sam Berry,Adelaide,4,2.84
Sam Butler,Hawthorn,4,2.03
Sam Clohesy,Gold Coast,4,2.55
Sam Darcy,Western Bulldogs,4,3.01
Sam Davidson,Western Bulldogs,4,1.67
Sam De Koning,Geelong,4,2.98
Sam Draper,Brisbane,4,2.16
Sam Durham,Essendon,4,2.42
Sam Flanders,St Kilda,4,2.6
Sam Lalor,Richmond,4,2.47
Sam Marshall,Brisbane,4,1.77
Sam Powell-Pepper,Port Adelaide,4,2.91
Sam Sturt,Fremantle,4,2.09
Sam Switkowski,Fremantle,4,2.15
Sam Taylor,GWS Giants,4,3.6
Sam Walsh,Carlton,4,2.83
Sam Wicks,Sydney,4,2.17
Samson Ryan,Richmond,4,1.61
Samuel Collins,Gold Coast,4,3.05
Sandy Brock,West Coast,4,2.42
Scott Pendlebury,Collingwood,4,2.23
Sean Darcy,Fremantle,4,2.13
Seth Campbell,Richmond,4,2.43
Shadeau Brain,Brisbane,4,2.79
Shai Bolton,Fremantle,4,2.81
Shane McAdam,Melbourne,4,1.98
Shannon Neale,Geelong,4,2.89
Shaun Mannagh,Geelong,4,3.01
Sid Draper,Adelaide,4,1.38
Steele Sidebottom,Collingwood,4,2.56
Steely Green,Richmond,4,2.4
Stephen Coniglio,GWS Giants,4,2.24
Steven May,Melbourne,4,2.78
Tai Hayes,Brisbane,4,2.38
Taj Hotton,Richmond,4,2.69
Tanner Bruhn,Geelong,4,2.89
Taylor Adams,Sydney,4,2.35
Taylor Goad,North Melbourne,4,2.26
Taylor Walker,Adelaide,4,2.73
Tew Jiath,Collingwood,4,2.35
Thomas Liberatore,Western Bulldogs,4,2.89
Thomas Sims,Richmond,4,2.12
Thomas Stewart,Geelong,4,3.02
Tim Kelly,West Coast,4,2.66
Tim Membrey,Collingwood,4,2.2
Tim Taranto,Richmond,4,3.05
Timothy English,Western Bulldogs,4,2.97
Tobie Travaglia,St Kilda,4,2.06
Toby Bedford,GWS Giants,4,2.01
Toby Conway,Geelong,4,2.48
Toby Greene,GWS Giants,4,2.42
Toby McMullin,GWS Giants,4,2.54
Toby Murray,Adelaide,4,2.43
Toby Nankervis,Richmond,4,2.67
Toby Pink,North Melbourne,4,2.08
Tobyn Murray,Fremantle,4,2.76
Todd Marshall,Port Adelaide,4,2.4
Tom Anastasopoulos,Port Adelaide,4,2.16
Tom Atkins,Geelong,4,2.79
Tom Barrass,Hawthorn,4,2.78
Tom Blamires,North Melbourne,4,2.42
Tom Brown,Richmond,4,1.83
Tom Campbell,Melbourne,4,3.07
Tom Cochrane,Port Adelaide,4,2.01
Tom Cole,West Coast,4,2.8
Tom De Koning,St Kilda,4,2.64
Tom Doedee,Brisbane,4,2.43
Tom Edwards,Essendon,4,1.86
Tom Green,GWS Giants,4,3.14
Tom Gross,West Coast,4,1.61
Tom Hanily,Sydney,4,2.04
Tom Lynch,Richmond,4,2.27
Tom McCarthy,West Coast,4,2.83
Tom McCartin,Sydney,4,2.73
Tom McDonald,Melbourne,4,2.86
Tom Papley,Sydney,4,2.42
Tom Powell,North Melbourne,4,2.3
Tom Sparrow,Melbourne,4,2.25
Touk Miller,Gold Coast,4,2.76
Trent Rivers,Melbourne,4,2.92
Tristan Xerri,North Melbourne,4,3.18
Ty Gallop,Brisbane,4,1.96
Tylar Young,West Coast,4,2.61
Tyler Brockman,West Coast,4,2.53
Tyler Sonsie,Richmond,4,2.04
Tyler Welsh,Adelaide,4,1.84
Tyrell Dewar,West Coast,4,2.09
Tyson Stengle,Geelong,4,2.82
Vigo Visentini,Essendon,4,2.32
Wade Derksen,Carlton,4,3.59
Wayne Milera,Adelaide,4,2.59
Wil Dawson,North Melbourne,4,2.19
