Player,Team,JumperNumber,Age,Age_Decimal,Height,Position,DebutYear,Matches_Career,Goals_Total_Career,Matches_Finals,Goals_Total_Finals,Matches_Current,Goals_Total_Current,RatingPoints_Career,Supercoach_Career,Disposals_Career,ContestedPossessions_Career,Goals_Career,RatingPoints_Recent,Supercoach_Recent,Disposals_Recent,ContestedPossessions_Recent,Goals_Recent
Jordon Butts,Adelaide,41,27,27,195,Key Defender,2020,85,0,0,,0,,5.825,50.224,9.224,3.318,0,5.855,48.35,8.05,2.8,0
Josh Rachele,Adelaide,8,23,23.72,180,Gen. Forward,2022,70,97,1,2,0,,9.026,65.029,13.414,4.8,1.386,10.38,65.75,11.65,3.85,1.9
Josh Worrell,Adelaide,24,25,25.72,195,Gen. Defender,2021,55,0,2,0,0,,8.729,83.655,18.055,6.073,0,8.725,95.25,21.6,6.45,0
Lachlan McAndrew,Adelaide,42,26,26.6,210,Ruck,2023,2,0,0,,0,,4.6,38,6,4,0,4.6,38,6,4,0
Lachlan Sholl,Adelaide,38,26,26.81,186,Midfielder,2020,79,26,0,,0,,7.01,68.43,17.633,4.759,0.329,7.54,78.25,20.3,5.35,0.5
Luke Nankervis,Adelaide,27,23,23.6,189,Midfielder,2023,31,1,0,,0,,6.742,63.516,15.548,4.645,0.032,7.27,64.65,15.85,5.1,0.05
Luke Pedlar,Adelaide,10,24,24.62,183,Gen. Forward,2021,39,40,2,4,0,,5.587,45.923,9.205,4.205,1.026,4.89,43.5,8.4,3.85,1
Mark Keane,Adelaide,48,26,26.79,194,Key Defender,2020,56,0,2,0,0,,9.725,74.357,15.232,4.875,0,10.235,81.95,15.1,4.95,0
Max Michalanney,Adelaide,16,22,22.84,190,Gen. Defender,2023,66,4,2,0,0,,5.609,61.136,13.015,3.621,0.061,5.86,60.75,13.3,3.5,0.2
Mitchell Hinge,Adelaide,20,28,28.5,187,Gen. Defender,2019,89,8,2,0,0,,9.526,79.427,17.876,5.562,0.09,6.99,67.6,14.6,4.1,0
Mitchell Marsh,Adelaide,26,19,19.87,190,Key Forward,,0,,,,0,,,,,,,,,,,
Nick Murray,Adelaide,9,26,26.03,195,Key Defender,2021,67,1,2,0,0,,6.594,50.597,8.672,3.478,0.015,5.54,49.5,9.3,2.85,0
Oscar Ryan,Adelaide,22,21,21.63,187,Gen. Defender,,0,,,,0,,,,,,,,,,,
Reilly O'Brien,Adelaide,43,31,31.36,201,Ruck,2016,146,17,2,0,0,,12.135,96.705,13.171,7.966,0.116,10.58,99.1,12.6,6.9,0.15
Riley Thilthorpe,Adelaide,7,24,24.48,201,Key Forward,2021,78,119,2,5,0,,10.064,73.244,11.654,6.756,1.526,13.465,98.05,13.4,7.75,2.25
Rory Laird,Adelaide,29,33,33,178,Gen. Defender,2013,269,31,9,0,0,,11.161,101.152,26.874,9.71,0.115,9.63,106.4,23.95,8.05,0.05
Sam Berry,Adelaide,3,24,24.88,181,Midfielder,2021,76,18,2,0,0,,8.347,65.737,13.658,7.447,0.237,9.165,69.2,15.05,7.5,0.35
Sid Draper,Adelaide,5,20,20.49,182,Mid-Forward,2025,10,3,0,,0,,2.43,23.3,7.2,2.8,0.3,2.43,23.3,7.2,2.8,0.3
Taylor Walker,Adelaide,13,36,36.68,192,Key Forward,2009,301,680,12,25,0,,11.243,75.405,12.601,5.794,2.259,8.41,66.4,12.2,5.2,1.65
Toby Murray,Adelaide,39,23,23.15,200,Ruck,,0,,,,0,,,,,,,,,,,
Tyler Welsh,Adelaide,17,20,20.37,192,Key Forward,,0,,,,0,,,,,,,,,,,
Wayne Milera,Adelaide,30,29,29.29,185,Gen. Defender,2016,123,31,2,0,0,,8.536,71.789,17.114,4.919,0.252,8.895,83.75,18.4,5.1,0.05
Zac Taylor,Adelaide,19,23,23.91,180,Gen. Forward,2024,26,8,2,0,0,,5.515,46.192,9.731,4.538,0.308,5.585,45.5,9.25,4,0.35
Ben Murphy,Brisbane,39,19,19.91,191,Gen. Defender,,0,,,,0,,,,,,,,,,,
Bruce Reville,Brisbane,38,25,25.85,185,Midfielder,2024,26,7,3,0,1,0,6.285,47.538,10.269,2.731,0.269,5.925,42.85,9.55,2.55,0.3
Cam Rayner,Brisbane,16,27,27.19,187,Gen. Forward,2018,168,172,17,20,1,1,8.936,66.601,13.476,6.036,1.024,11.08,75.8,15.9,6.8,1.6
Charlie Cameron,Brisbane,23,32,32.49,180,Gen. Forward,2014,255,440,27,53,1,4,9.221,68.282,11.173,4.733,1.725,7.165,59.7,9.95,3.9,1.45
Cody Curtin,Brisbane,37,19,19.62,200,Key Forward,,0,,,,0,,,,,,,,,,,
Conor McKenna,Brisbane,26,30,30.76,184,Gen. Forward,2015,128,29,9,1,0,,8.503,63.32,16.18,3.828,0.227,4.315,40.85,10.15,2.2,0.1
Daniel Annable,Brisbane,14,19,19.73,184,Midfielder,,0,,,,0,,,,,,,,,,,
Darcy Fort,Brisbane,32,33,33.4,204,Ruck,2019,58,22,6,1,1,1,9.314,71.224,9.707,6.397,0.379,10.445,79.25,10.05,6.2,0.2
Darcy Gardiner,Brisbane,27,31,31.27,192,Key Defender,2014,184,14,14,0,1,0,6.78,59.603,11.929,4.424,0.076,6.07,54.4,9.85,3.2,0.4
Darcy Wilmot,Brisbane,44,23,23,183,Gen. Defender,2022,84,12,14,1,1,0,10.054,78.81,18.452,5.488,0.143,11.76,86.9,20.5,5,0.25
Darragh Joyce,Brisbane,41,29,29.69,195,Key Defender,2018,24,0,0,,0,,4.638,42.958,9.833,3.458,0,4.555,43.7,9.7,3.25,0
Dayne Zorko,Brisbane,15,37,37.89,175,Gen. Defender,2012,305,238,20,5,1,1,13.28,99.564,22.02,7.859,0.78,12.19,104.85,26.95,5.1,0.1
Eric Hipwood,Brisbane,30,29,29.29,204,Key Forward,2016,199,287,14,18,0,,5.803,57.332,10.101,4.025,1.442,5.3,55.65,10.55,4.15,1.1
Harris Andrews,Brisbane,31,30,30.05,200,Key Defender,2015,240,11,20,0,1,0,11.772,80.95,13.225,5.2,0.046,11.885,86,14.75,5.25,0
Henry Smith,Brisbane,25,24,24.26,202,Key Forward,2024,6,4,0,,0,,5.333,41.167,6.333,3.667,0.667,5.333,41.167,6.333,3.667,0.667
Hugh McCluggage,Brisbane,6,28,28.83,187,Midfielder,2017,210,134,20,16,1,0,11.445,95.2,22.51,8.552,0.638,15.245,111,26.7,11.35,0.75
Jack Payne,Brisbane,40,27,27.21,196,Key Defender,2020,81,2,10,0,0,,7.149,60.198,10.469,3.593,0.025,7.34,62.7,10.7,3,0
James Tunstill,Brisbane,29,23,23.45,187,Midfielder,2022,12,1,0,,0,,4.05,31.583,7.167,2.417,0.083,4.05,31.583,7.167,2.417,0.083
Jarrod Berry,Brisbane,7,28,28.9,193,Midfielder,2017,185,73,19,6,1,0,8.566,78.681,17.832,6.6,0.395,9.4,85.35,19.55,6.05,0.35
Jaspa Fletcher,Brisbane,3,22,22.84,184,Gen. Defender,2023,69,20,11,5,1,0,8.577,71.696,16.725,5.029,0.29,10.99,89.3,22.3,5.85,0.25
Josh Dunkley,Brisbane,5,29,29.97,191,Midfielder,2016,195,80,22,7,1,0,11.826,103.569,23.277,10.405,0.41,12.955,111.9,24.15,10.55,0.25
Kai Lohmann,Brisbane,1,23,23.65,185,Gen. Forward,2022,54,59,8,17,1,2,6.994,59.648,10.463,4.519,1.093,6.49,56.9,10.65,4.25,1.3
Keidean Coleman,Brisbane,18,26,26.75,182,Gen. Defender,2020,67,14,9,0,1,0,7.812,68.612,14.433,4.433,0.209,8.84,78.15,17.45,4.2,0.1
Koby Evans,Brisbane,24,19,19.31,187,Midfielder,,0,,,,0,,,,,,,,,,,
Lachie Neale,Brisbane,9,33,33.6,177,Midfielder,2012,295,136,25,8,1,0,14.053,107.234,27.393,13.088,0.461,14.625,107.4,28.2,12.8,0.35
Levi Ashcroft,Brisbane,10,20,20.03,181,Midfielder,2025,28,12,4,1,1,0,7.075,72.536,19.107,6.036,0.429,6.99,70.3,18.3,6.2,0.45
Lincoln McCarthy,Brisbane,11,33,33.19,176,Gen. Forward,2012,151,167,15,11,0,,8.26,64.623,11.854,5.576,1.106,8.825,66.65,12.3,5.15,1.25
Logan Morris,Brisbane,13,21,21.64,191,Key Forward,2024,46,80,8,11,1,3,7.685,59.457,9,3.957,1.739,8.77,63.75,9.7,4.05,2.15
Luke Beecken,Brisbane,17,25,25.7,185,Midfielder,2025,1,0,0,,0,,0.9,7,3,0,0,0.9,7,3,0,0
Luke Lloyd,Brisbane,19,21,21.39,193,Key Defender,,0,,,,0,,,,,,,,,,,
Noah Answerth,Brisbane,43,27,27.4,182,Gen. Defender,2019,88,3,8,0,0,,6.001,59.58,12.455,4,0.034,6.82,67.9,13.7,3.7,0.05
Oscar Allen,Brisbane,4,27,27.78,196,Key Forward,2018,106,152,1,2,1,1,8.142,65.566,9.792,4.528,1.434,7.48,57.9,9.2,3.85,1.35
Reece Torrent,Brisbane,36,21,21.41,184,Midfielder,,0,,,,0,,,,,,,,,,,
Ryan Lester,Brisbane,35,34,34.34,190,Gen. Defender,2011,234,48,14,2,1,0,8.686,68.026,14.205,5.192,0.205,9.09,66.35,13,3.9,0.05
Sam Draper,Brisbane,2,28,28.25,205,Ruck,2020,78,43,1,0,0,,11.108,75.385,10.397,6.795,0.551,12.055,80.9,11.7,7.25,0.85
Sam Marshall,Brisbane,20,20,20.94,185,Midfielder,2025,11,1,4,0,0,,4.609,37.818,11.182,2.818,0.091,4.609,37.818,11.182,2.818,0.091
Shadeau Brain,Brisbane,34,22,22.87,183,Gen. Defender,2024,9,0,0,,0,,5.678,46.444,9.889,4.556,0,5.678,46.444,9.889,4.556,0
Tai Hayes,Brisbane,42,22,22.11,183,Midfielder,,0,,,,0,,,,,,,,,,,
Tom Doedee,Brisbane,12,29,29.83,190,Gen. Defender,2018,83,3,0,,0,,10.222,79.41,16.181,5.94,0.036,8.58,66.4,14.55,4.45,0
Ty Gallop,Brisbane,22,20,20.89,194,Key Forward,2025,7,4,4,4,1,0,6.243,46.286,8.857,4.571,0.571,6.243,46.286,8.857,4.571,0.571
Will Ashcroft,Brisbane,8,22,22.65,182,Midfielder,2023,59,26,8,6,1,0,11.751,94.102,24.712,9.017,0.441,13.26,102.9,27.4,10.3,0.6
Will McLachlan,Brisbane,28,21,21.71,185,Gen. Forward,2025,6,3,0,,0,,2.217,23.333,4.5,1.5,0.5,2.217,23.333,4.5,1.5,0.5
Zac Bailey,Brisbane,33,27,27.27,181,Mid-Forward,2018,167,186,20,24,1,1,9.9,74.725,16.449,6.006,1.114,11.1,88.15,21.05,6.95,1.4
Zane Zakostelsky,Brisbane,21,21,21.04,196,Ruck,2026,1,1,0,,1,1,4.8,56,6,4,1,4.8,56,6,4,1
Adam Cerra,Carlton,5,27,27.23,188,Midfielder,2018,148,39,4,1,0,,10.094,85.216,20.311,7.824,0.264,11.705,97.05,24.25,10.35,0.25
Adam Saad,Carlton,42,32,32.44,178,Gen. Defender,2015,217,12,5,2,1,0,11.212,83.954,18.327,5.35,0.055,9.65,82.15,17.75,4.8,0.05
Ashton Moir,Carlton,43,21,21.71,188,Gen. Forward,2024,12,13,0,,1,1,5.1,43.583,7.75,3.25,1.083,5.1,43.583,7.75,3.25,1.083
Ben Ainsworth,Carlton,12,28,28.88,178,Gen. Forward,2017,160,139,2,1,2,2,7.436,66.506,15.069,4.9,0.869,7.225,55.25,12.2,3.05,1.15
Ben Camporeale,Carlton,16,20,20.44,186,Midfielder,,0,,,,0,,,,,,,,,,,
Billy Wilson,Carlton,15,21,21.54,183,Gen. Defender,2025,4,0,0,,0,,5.75,50.75,12,2.25,0,5.75,50.75,12,2.25,0
Blake Acres,Carlton,13,31,31.23,193,Midfielder,2014,187,65,6,4,0,,8.918,77.54,19.583,6.529,0.348,6.53,70.3,19,5.85,0.3
Brodie Kemp,Carlton,17,25,25.66,192,Key Forward,2021,51,16,3,0,2,2,6.937,64.098,13.608,3.961,0.314,6.06,61.1,11.65,3.5,0.75
Campbell Chesser,Carlton,31,23,23.67,186,Midfielder,2023,38,7,0,,2,0,4.955,43.921,12,3.632,0.184,6.175,51.95,12.6,4,0.3
Cooper Lord,Carlton,36,21,21.78,184,Midfielder,2024,25,6,0,,2,1,7.724,63,14.96,5.24,0.24,8.085,64,15.25,5.15,0.3
Elijah Hollands,Carlton,20,24,24.68,189,Midfielder,2022,43,27,1,1,2,1,8.558,67.581,16.465,5.767,0.628,8.96,76.5,18.4,5.95,0.6
Flynn Young,Carlton,45,24,24.9,181,Gen. Forward,2025,8,5,0,,0,,4.487,38.75,10.5,2.125,0.625,4.487,38.75,10.5,2.125,0.625
Francis Evans,Carlton,44,25,25.35,182,Gen. Forward,2021,44,35,3,0,0,,5.659,43.773,8.295,3.591,0.795,7.185,55.4,10.05,4.45,1
George Hewett,Carlton,29,31,31,187,Midfielder,2016,204,54,12,3,2,1,10.464,84.118,20.613,9.794,0.265,13.275,108.4,27.05,12.75,0.25
Harry Charleson,Carlton,28,20,20.51,182,Gen. Defender,,0,,,,0,,,,,,,,,,,
Harry Dean,Carlton,35,19,19.13,193,Key Defender,2026,2,0,0,,2,0,6.9,48.5,10.5,4,0,6.9,48.5,10.5,4,0
Harry McKay,Carlton,10,29,29.01,200,Key Forward,2017,142,277,3,5,2,3,8.289,73.085,11.106,5.859,1.951,9.225,80,13.35,7.15,2
Harry O'Farrell,Carlton,22,20,20.66,197,Key Defender,2025,6,1,0,,0,,6.1,55.833,10.167,3.167,0.167,6.1,55.833,10.167,3.167,0.167
Hudson O'Keeffe,Carlton,40,22,22.04,202,Key Forward,2025,6,3,0,,1,0,3.1,46,7,4.167,0.5,3.1,46,7,4.167,0.5
Jack Ison,Carlton,30,19,19.76,190,Midfielder,,0,,,,0,,,,,,,,,,,
Jacob Weitering,Carlton,23,29,29.1,195,Key Defender,2016,206,11,4,0,2,0,9.826,75.398,13.908,5.223,0.053,9.355,76.4,13.25,5.15,0
Jagga Smith,Carlton,7,20,20.92,182,Midfielder,2026,2,0,0,,2,0,8.35,89,29.5,8,0,8.35,89,29.5,8,0
Jesse Motlop,Carlton,3,23,23.1,180,Gen. Forward,2022,63,59,4,2,0,,7.117,48.254,9.651,4.111,0.937,7.355,49.45,10.35,4.25,0.75
Jordan Boyd,Carlton,37,28,28.27,182,Gen. Defender,2022,38,1,1,0,0,,5.842,55.789,12.605,3.263,0.026,6.05,57.05,12.95,3.1,0.05
Lachie Fogarty,Carlton,8,27,27.75,180,Gen. Forward,2018,92,36,3,0,2,0,7.52,60.946,12.5,5.054,0.391,7.48,63.7,11.85,5.35,0.55
Lachlan Cowan,Carlton,2,22,22.08,188,Gen. Defender,2023,39,2,1,0,1,0,6.077,58.564,12.744,3.667,0.051,6.54,63.9,14.55,4.05,0.05
Lewis Young,Carlton,33,28,28.03,202,Key Defender,2017,82,9,4,0,2,0,7.955,64.805,12.122,4.537,0.11,6.3,62.1,10.75,4,0.35
Liam Reidy,Carlton,25,26,26.54,204,Ruck,2024,4,0,0,,1,0,4.225,36.75,5.25,2.75,0,4.225,36.75,5.25,2.75,0
Lucas Camporeale,Carlton,21,20,20.44,184,Midfielder,2025,3,0,0,,0,,4.5,41,11.333,4.667,0,4.5,41,11.333,4.667,0
Marc Pittonet,Carlton,27,30,30.57,202,Ruck,2016,82,16,4,2,2,4,10.854,77.098,10.512,7.207,0.195,14.41,89.35,13.15,9.25,0.5
Matt Duffy,Carlton,41,22,22.99,194,Key Defender,,0,,,,0,,,,,,,,,,,
Matthew Carroll,Carlton,32,21,21.09,190,Gen. Defender,2025,18,1,0,,1,0,6.144,55.167,12.444,3.556,0.056,6.144,55.167,12.444,3.556,0.056
Matthew Cottrell,Carlton,46,26,26.83,184,Mid-Forward,2020,74,36,3,3,0,,7.197,56.608,13.162,4.473,0.486,8.835,60.3,12.55,4.6,0.55
Mitch McGovern,Carlton,11,32,32.22,190,Gen. Defender,2016,147,122,7,3,2,2,8.11,65.864,12.714,4.116,0.83,10.07,69.7,14.5,4.2,0.65
Nic Newman,Carlton,24,33,33.95,186,Gen. Defender,2017,134,18,7,0,0,,9.577,89.187,21.015,5.493,0.134,10.685,105.6,24.6,5.2,0.05
Nick Haynes,Carlton,26,34,34.62,192,Gen. Defender,2012,234,13,14,1,0,,8.577,75.453,16.316,4.786,0.056,10.595,82.9,17.45,5.15,0
Oliver Florent,Carlton,14,28,28.44,184,Gen. Defender,2017,186,51,9,0,2,0,8.915,70.145,17.704,5.731,0.274,7.485,64.95,16.8,4.65,0.1
Oliver Hollands,Carlton,4,22,22.95,184,Gen. Defender,2023,67,11,3,0,2,0,6.412,64.896,15.806,4.03,0.164,7.05,75.55,19.55,4.65,0.1
Patrick Cripps,Carlton,9,31,31.78,195,Midfielder,2014,232,127,4,4,2,0,13.887,102.616,25.595,14.517,0.547,12.195,96.8,24.3,13.05,0.5
Rob Monahan,Carlton,34,22,22.5,189,Gen. Defender,,0,,,,0,,,,,,,,,,,
Sam Walsh,Carlton,18,26,26.49,184,Midfielder,2019,135,47,4,2,2,0,12.001,104.452,27.496,10.511,0.348,12.59,101.5,26.85,10.2,0.25
Talor Byrne,Carlton,39,19,19.12,174,Gen. Forward,,0,,,,0,,,,,,,,,,,
Wade Derksen,Carlton,47,25,25.53,195,Key Defender,,0,,,,0,,,,,,,,,,,
Will Hayward,Carlton,19,28,28.18,186,Gen. Forward,2017,186,231,9,7,2,2,7.536,62.833,11.258,4.618,1.242,9.075,71.45,12.05,5.05,1.4
Zac Williams,Carlton,6,32,32.27,186,Gen. Defender,2013,176,70,12,2,2,1,11.386,80.682,18.239,6.432,0.398,10.93,72.15,15.2,6.8,1.1
Angus Anderson,Collingwood,41,23,23.6,190,Midfielder,,0,,,,0,,,,,,,,,,,
Beau McCreery,Collingwood,31,25,25.7,186,Mid-Forward,2021,97,60,8,3,1,2,7.349,52.536,9.722,3.577,0.619,9.24,59.5,11.5,4.3,0.4
Billy Frampton,Collingwood,17,30,30.11,201,Key Defender,2018,75,20,3,0,1,0,6.16,56.093,10.267,3.747,0.267,7.82,59.45,10.1,3.8,0
Bobby Hill,Collingwood,23,26,26.89,175,Gen. Forward,2019,102,117,5,9,0,,7.416,56.049,9.765,3.657,1.147,8.555,62.6,10.05,3.95,1.45
Brayden Maynard,Collingwood,4,30,30.27,189,Gen. Defender,2015,230,25,16,0,1,0,9.215,79.665,17.674,5.257,0.109,10.37,82.05,16.65,5,0.25
Charlie West,Collingwood,29,20,20.91,194,Key Forward,2025,1,1,0,,0,,4.3,27,4,2,1,4.3,27,4,2,1
Dan Houston,Collingwood,9,29,29.63,186,Gen. Defender,2017,190,48,9,2,1,0,10.287,90.511,20.153,6.242,0.253,9.015,75.95,17,4.35,0.3
Daniel McStay,Collingwood,11,31,31.52,196,Key Forward,2014,199,186,10,10,1,1,7.469,59.794,9.91,4.553,0.935,6.91,63.2,9.5,5.15,1.1
Darcy Cameron,Collingwood,14,31,31.45,204,Ruck,2018,121,70,10,3,1,1,11.107,91.149,13.868,8.446,0.579,13.155,109.95,17.45,9.4,0.4
Darcy Moore,Collingwood,30,30,30.93,203,Key Defender,2015,195,67,12,0,0,,10.171,73.451,12.687,5.251,0.344,11.09,65.7,10.55,4.9,0
Edward Allan,Collingwood,16,22,22.6,194,Midfielder,2024,16,2,0,,1,0,6.688,51.375,13.062,4.625,0.125,6.688,51.375,13.062,4.625,0.125
Harry DeMattia,Collingwood,13,21,21.3,185,Midfielder,,0,,,,0,,,,,,,,,,,
Harry Perryman,Collingwood,12,28,28.03,187,Midfielder,2017,155,32,14,0,1,0,9.114,78.116,18.019,6.142,0.206,8.255,68.85,15.35,5.3,0.15
Harvey Harrison,Collingwood,36,23,23.13,181,Gen. Forward,2023,16,14,0,,0,,6.569,45,8.688,2.75,0.875,6.569,45,8.688,2.75,0.875
Iliro Smit,Collingwood,20,21,21.39,200,Ruck,,0,,,,0,,,,,,,,,,,
Isaac Quaynor,Collingwood,3,26,26.95,180,Gen. Defender,2019,134,5,10,0,1,0,8.242,69.284,14.843,4.948,0.037,8.605,72.55,15.1,4.25,0
Jack Buller,Collingwood,34,25,25.62,199,Key Forward,2023,11,11,0,,1,0,4.473,46.545,8.182,4.091,1,4.473,46.545,8.182,4.091,1
Jack Crisp,Collingwood,25,33,33.24,190,Gen. Defender,2012,275,96,16,10,1,0,12.295,90.073,21.684,8.156,0.349,13.145,95.25,19.95,9.15,0.4
Jai Saxena,Collingwood,43,19,19.43,180,Gen. Forward,,0,,,,0,,,,,,,,,,,
Jakob Ryan,Collingwood,24,22,22.27,189,Gen. Defender,2023,1,0,0,,0,,0.1,12,5,2,0,0.1,12,5,2,0
Jamie Elliott,Collingwood,5,34,34.36,177,Gen. Forward,2012,220,348,15,19,1,1,8.967,72.25,12.977,4.768,1.582,10.21,76.65,12,3.9,2.55
Jeremy Howe,Collingwood,38,36,36.5,190,Gen. Defender,2011,271,103,13,1,0,,10.55,82.077,16.314,5.45,0.38,8.805,70.35,12.6,2.95,0
Joel Cochran,Collingwood,27,20,20.76,195,Gen. Defender,,0,,,,0,,,,,,,,,,,
Jordan De Goey,Collingwood,2,30,30.79,188,Gen. Forward,2015,183,213,15,21,1,3,11.125,81.005,18.481,7.678,1.164,10.01,74.05,17.6,7.3,1
Josh Daicos,Collingwood,7,28,28.09,178,Gen. Defender,2017,152,67,10,2,1,0,9.326,82.461,22.059,6.23,0.441,11.48,100.9,27.6,6.5,0.1
Lachie Schultz,Collingwood,8,29,29.08,178,Gen. Forward,2019,127,140,4,3,1,2,7.235,66.543,12.921,4.85,1.102,7.605,77.85,14.8,5.2,0.85
Lachlan Sullivan,Collingwood,33,29,29.26,180,Gen. Forward,2024,24,8,0,,0,,6.783,48.5,11.625,4.958,0.333,6.22,43.75,10.7,4.35,0.3
Ned Long,Collingwood,44,23,23.9,194,Midfielder,2022,38,10,2,0,1,0,7.995,66.974,14.816,6.237,0.263,9.215,80.3,17.85,7.75,0.25
Nick Daicos,Collingwood,35,23,23.99,184,Midfielder,2022,96,63,7,3,1,0,14.279,109.896,29.396,9.833,0.656,15.665,117,30.3,9.95,0.75
Noah Howes,Collingwood,40,21,21.17,196,Key Forward,,0,,,,0,,,,,,,,,,,
Oscar Steene,Collingwood,21,23,23.35,201,Ruck,,0,,,,0,,,,,,,,,,,
Patrick Lipinski,Collingwood,1,28,28.45,190,Midfielder,2017,142,72,10,3,1,0,9.059,73.254,18.014,6.127,0.507,8.575,71.25,16.65,5.8,0.45
Reef McInnes,Collingwood,26,24,24.05,194,Key Defender,2022,23,19,0,,0,,4,32.609,5.826,2.478,0.826,3.845,30,5.2,2.45,0.85
Roan Steele,Collingwood,45,25,25.19,183,Mid-Forward,2025,6,1,2,0,1,1,5.55,38.5,9.833,1.667,0.167,5.55,38.5,9.833,1.667,0.167
Sam Swadling,Collingwood,32,19,19.95,187,Midfielder,,0,,,,0,,,,,,,,,,,
Scott Pendlebury,Collingwood,10,38,38.98,191,Mid-Forward,2006,426,204,33,9,1,0,14.962,105.484,25.397,10.197,0.479,11.195,96.35,22.95,8.05,0.15
Steele Sidebottom,Collingwood,22,35,35.99,184,Mid-Forward,2009,355,209,28,15,1,0,11.837,93.099,23.144,7.544,0.589,10.325,88.55,20.55,7.15,0.6
Tew Jiath,Collingwood,19,21,21.83,188,Gen. Defender,2024,1,0,0,,0,,4.4,24,5,1,0,4.4,24,5,1,0
Tim Membrey,Collingwood,28,32,32.6,188,Key Forward,2014,203,325,4,4,1,0,8.282,70.581,12.251,4.852,1.601,5.23,54.95,9.4,3.75,1.3
Tyan Prindable,Collingwood,18,19,19.93,181,Midfielder,,0,,,,0,,,,,,,,,,,
Wil Parker,Collingwood,15,24,24.59,180,Gen. Defender,2024,10,1,1,0,1,0,5.13,39.7,8.7,3,0.1,5.13,39.7,8.7,3,0.1
William Hayes,Collingwood,39,20,20.62,180,Gen. Forward,2025,2,1,0,,0,,3.25,44,8,1.5,0.5,3.25,44,8,1.5,0.5
Zac McCarthy,Collingwood,37,19,19.17,199,Ruck,,0,,,,0,,,,,,,,,,,
Andrew McGrath,Essendon,1,28,28.58,180,Gen. Defender,2017,180,21,3,1,0,,9.768,82.806,21.678,6.628,0.117,10.425,87.75,23.4,7.9,0.05
Angus Clarke,Essendon,36,20,20.16,189,Gen. Defender,2025,14,5,0,,0,,5.321,59,15.071,3.929,0.357,5.321,59,15.071,3.929,0.357
