Player,Team,Jumper,Position,Height,DOB,Age,Matches,RatingPoints_Avg,CoachesVotes_Avg,CoachesVotes_Total,TimeOnGround,Supercoach_Avg,DreamTeamPoints_Avg
Lucas Camporeale,Carlton,21,Midfield,184.0,2006-07-21,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Matt Carroll,Carlton,32,Defender,188.0,2005-11-28,20.0,2,10.7,0.0,0,75.0,64.0,64.0
Adam Cerra,Carlton,5,Midfield,188.0,1999-10-07,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Harry Charleson,Carlton,28,DefenderMidfield,183.0,2006-06-26,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Campbell Chesser,Carlton,31,Midfield,186.0,2003-04-27,22.0,3,4.833,0.0,0,77.667,62.667,62.333
Matt Cottrell,Carlton,46,MidfieldForward,184.0,2000-02-29,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Cowan,Carlton,2,Defender,188.0,2004-12-01,21.0,2,4.85,0.0,0,77.5,45.0,51.0
Patrick Cripps,Carlton,9,Midfield,195.0,1995-03-18,31.0,3,10.8,2.0,6,81.333,88.667,80.667
Harry Dean,Carlton,35,Defender,194.0,2007-11-13,18.0,3,7.933,0.0,0,79.0,52.667,40.0
Wade Derksen,Carlton,47,Defender,194.0,2001-06-18,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Matt Duffy,Carlton,41,Defender,194.0,2004-01-02,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Francis Evans,Carlton,44,Forward,182.0,2001-08-23,24.0,1,2.6,0.0,0,68.0,49.0,41.0
Oliver Florent,Carlton,14,Midfield,184.0,1998-07-22,27.0,3,9.5,0.0,0,83.667,93.333,78.667
Lachlan Fogarty,Carlton,8,Forward,180.0,1999-04-01,26.0,2,4.2,0.0,0,68.5,47.0,30.0
Nick Haynes,Carlton,26,Defender,192.0,1992-05-18,33.0,0,0.0,0.0,0,0.0,0.0,0.0
Will Hayward,Carlton,19,Forward,186.0,1998-10-26,27.0,3,7.467,0.0,0,75.667,60.667,65.333
George Hewett,Carlton,29,Midfield,187.0,1995-12-29,30.0,3,8.533,0.0,0,72.333,87.333,81.333
Elijah Hollands,Carlton,20,Forward,189.0,2002-04-25,23.0,3,12.933,0.333,1,75.0,79.0,61.333
Oliver Hollands,Carlton,4,Defender,184.0,2004-01-16,22.0,3,5.433,0.0,0,86.667,76.667,71.667
Jack Ison,Carlton,30,Midfield,192.0,2007-03-26,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Brodie Kemp,Carlton,17,Forward,192.0,2001-05-01,24.0,3,1.867,0.0,0,89.333,49.333,50.0
Cooper Lord,Carlton,36,Midfield,184.0,2005-03-20,21.0,2,9.45,0.0,0,76.0,80.0,78.0
Mitch McGovern,Carlton,11,Defender,190.0,1994-10-11,31.0,3,14.2,0.0,0,78.0,82.667,67.667
Harry McKay,Carlton,10,Forward,200.0,1997-12-24,28.0,3,6.333,0.0,0,94.667,67.0,68.667
Ashton Moir,Carlton,43,Forward,188.0,2005-04-15,20.0,1,6.8,0.0,0,78.0,57.0,59.0
Rob Monahan,Carlton,34,Forward,194.0,2004-06-29,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Jesse Motlop,Carlton,3,Forward,180.0,2003-11-23,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Nic Newman,Carlton,24,Defender,186.0,1993-01-15,33.0,0,0.0,0.0,0,0.0,0.0,0.0
Harry O'Farrell,Carlton,22,Defender,196.0,2006-05-03,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Hudson O'Keeffe,Carlton,40,Forward,202.0,2004-12-16,21.0,2,0.05,0.0,0,55.0,22.0,28.0
Marc Pittonet,Carlton,27,Ruck,202.0,1996-06-03,29.0,3,16.467,0.0,0,70.333,89.0,69.667
Liam Reidy,Carlton,25,ForwardRuck,204.0,2000-06-14,25.0,1,1.8,0.0,0,61.0,31.0,40.0
Adam Saad,Carlton,42,Defender,178.0,1994-07-23,31.0,1,12.2,0.0,0,64.0,83.0,30.0
Jagga Smith,Carlton,7,Midfield,182.0,2006-01-28,20.0,3,7.633,1.667,5,75.667,88.667,88.667
Sam Walsh,Carlton,18,Midfield,184.0,2000-07-02,25.0,3,13.733,4.333,13,79.0,104.0,101.333
Jacob Weitering,Carlton,23,Defender,195.0,1997-11-23,28.0,3,11.167,0.333,1,94.333,80.0,56.333
Zachary Williams,Carlton,6,Forward,186.0,1994-09-20,31.0,3,13.667,0.0,0,67.0,78.667,60.0
Billy Wilson,Carlton,15,Defender,183.0,2005-06-16,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Flynn Young,Carlton,45,Forward,181.0,2002-02-03,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Lewis Young,Carlton,33,Defender,202.0,1998-12-20,27.0,3,4.6,0.0,0,97.333,61.667,47.333
Edward Allan,Collingwood,16,Midfield,194.0,2004-05-26,21.0,2,4.45,0.0,0,64.5,38.0,37.0
Angus Anderson,Collingwood,41,Midfield,193.0,2003-05-25,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Jack Buller,Collingwood,34,Forward,199.0,2001-05-16,24.0,2,-0.25,0.0,0,72.0,20.0,28.0
Darcy Cameron,Collingwood,14,Ruck,204.0,1995-07-18,30.0,3,10.133,0.0,0,79.0,84.0,86.0
Joel Cochran,Collingwood,27,Defender,195.0,2006-03-28,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Jack Crisp,Collingwood,25,Midfield,190.0,1993-10-02,32.0,3,16.8,0.667,2,78.333,101.333,97.667
Josh Daicos,Collingwood,7,Defender,178.0,1998-11-26,27.0,3,10.267,2.667,8,82.333,115.0,121.0
Nick Daicos,Collingwood,35,Midfield,184.0,2003-01-03,23.0,3,17.4,8.0,24,86.333,131.0,134.333
Jordan De Goey,Collingwood,2,MidfieldForward,188.0,1996-03-15,30.0,3,10.567,1.333,4,79.0,70.0,61.667
Harry Demattia,Collingwood,13,Midfield,186.0,2005-09-11,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Jamie Elliott,Collingwood,5,Forward,178.0,1992-08-21,33.0,3,7.167,0.0,0,80.333,43.333,41.0
Billy Frampton,Collingwood,17,Defender,201.0,1996-11-20,29.0,3,7.5,1.0,3,94.667,61.333,52.667
Harvey Harrison,Collingwood,36,Forward,181.0,2003-11-10,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Will Hayes,Collingwood,39,Forward,180.0,2006-05-16,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Bobby Hill,Collingwood,23,Forward,175.0,2000-02-09,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Dan Houston,Collingwood,9,Defender,186.0,1997-05-12,28.0,3,9.233,1.667,5,83.667,95.667,105.667
Jeremy Howe,Collingwood,38,Defender,190.0,1990-06-29,35.0,1,3.0,0.0,0,69.0,37.0,50.0
Noah Howes,Collingwood,40,Forward,196.0,2005-10-28,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Tew Jiath,Collingwood,19,Defender,188.0,2005-03-02,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Patrick Lipinski,Collingwood,1,MidfieldForward,190.0,1998-07-17,27.0,3,6.467,0.0,0,80.333,66.667,74.667
Ned Long,Collingwood,44,Midfield,194.0,2003-02-05,23.0,3,7.967,0.0,0,73.333,74.333,71.667
Brayden Maynard,Collingwood,4,Defender,189.0,1996-09-20,29.0,3,10.3,0.0,0,85.333,96.0,86.0
Zac McCarthy,Collingwood,37,ForwardRuck,199.0,2007-10-27,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Beau McCreery,Collingwood,31,Forward,186.0,2001-04-19,24.0,3,10.667,0.0,0,80.667,64.0,64.0
Reef McInnes,Collingwood,26,Defender,194.0,2002-12-12,23.0,0,0.0,0.0,0,0.0,0.0,0.0
Daniel McStay,Collingwood,11,Forward,195.0,1995-06-24,30.0,3,5.233,0.0,0,73.0,44.667,48.0
Tim Membrey,Collingwood,28,Forward,188.0,1994-05-26,31.0,3,5.1,0.333,1,82.667,50.333,44.333
Darcy Moore,Collingwood,30,Defender,203.0,1996-01-25,30.0,1,1.3,0.0,0,61.0,29.0,34.0
Wil Parker,Collingwood,15,Defender,183.0,2002-05-29,23.0,2,6.9,0.0,0,78.0,39.0,26.0
Scott Pendlebury,Collingwood,10,Midfield,191.0,1988-01-07,38.0,3,10.7,0.667,2,53.0,75.667,66.667
Harry Perryman,Collingwood,12,Defender,187.0,1998-12-19,27.0,3,6.2,0.0,0,81.333,59.667,68.667
Tyan Prindable,Collingwood,18,Midfield,182.0,2007-01-25,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Isaac Quaynor,Collingwood,3,Defender,180.0,2000-01-15,26.0,3,9.867,0.667,2,86.0,80.333,77.0
Jakob Ryan,Collingwood,24,Defender,189.0,2004-09-20,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Jai Saxena,Collingwood,43,Forward,179.0,2007-07-27,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Schultz,Collingwood,8,Forward,178.0,1997-11-30,28.0,3,12.633,0.0,0,82.0,91.0,89.667
Steele Sidebottom,Collingwood,22,Midfield,184.0,1991-01-02,35.0,3,8.633,0.667,2,77.333,72.667,76.667
Iliro Smit,Collingwood,20,Ruck,200.0,2005-08-09,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Roan Steele,Collingwood,45,Midfield,183.0,2001-10-22,24.0,3,5.933,0.0,0,76.333,47.0,45.0
Oscar Steene,Collingwood,21,ForwardRuck,201.0,2003-08-23,22.0,1,14.7,0.0,0,60.0,83.0,52.0
Lachie Sullivan,Collingwood,33,Forward,180.0,1997-09-25,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Samuel Swadling,Collingwood,32,Midfield,189.0,2007-01-16,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Charlie West,Collingwood,29,Forward,194.0,2006-02-01,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Blakiston,Essendon,46,Defender,203.0,1998-09-09,27.0,3,7.633,0.0,0,77.667,62.333,53.667
Cillian Bourke,Essendon,39,Defender,190.0,2006-06-07,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Nick Bryan,Essendon,24,Ruck,203.0,2001-10-22,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Nate Caddy,Essendon,30,Forward,193.0,2005-07-14,20.0,3,5.733,0.333,1,92.667,50.667,59.0
Jye Caldwell,Essendon,6,Midfield,183.0,2000-09-28,25.0,3,8.133,0.0,0,72.667,93.333,94.333
Angus Clarke,Essendon,36,DefenderMidfield,188.0,2006-05-08,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Nikolas Cox,Essendon,13,Midfield,200.0,2002-01-15,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Archer Day-Wicks,Essendon,44,Forward,186.0,2006-05-13,19.0,1,5.5,0.0,0,79.0,40.0,52.0
Sam Durham,Essendon,22,Midfield,185.0,2001-07-09,24.0,3,13.3,0.0,0,78.333,78.667,72.0
Xavier Duursma,Essendon,28,Midfield,186.0,2000-07-07,25.0,3,7.967,0.0,0,77.667,55.333,58.667
Tom Edwards,Essendon,45,Forward,191.0,2000-05-20,25.0,0,0.0,0.0,0,0.0,0.0,0.0
Hussien El Achkar,Essendon,33,Forward,171.0,2007-04-02,18.0,2,6.4,0.0,0,74.0,32.0,25.5
Saad El-Hawli,Essendon,41,Midfield,184.0,2001-05-15,24.0,1,9.3,0.0,0,68.0,58.0,45.0
Jacob Farrow,Essendon,2,DefenderMidfield,188.0,2007-09-21,18.0,1,1.4,0.0,0,76.0,49.0,66.0
Brayden Fiorini,Essendon,8,Midfield,187.0,1997-08-22,28.0,2,7.1,0.0,0,81.5,57.5,54.0
Kayle Gerreyn,Essendon,19,Ruck,199.0,2006-05-10,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Jade Gresham,Essendon,11,Forward,177.0,1997-08-24,28.0,1,6.2,0.0,0,66.0,49.0,47.0
Matt Guelfi,Essendon,35,Forward,184.0,1997-08-14,28.0,1,3.3,0.0,0,60.0,50.0,28.0
Lewis Hayes,Essendon,18,Defender,199.0,2004-12-17,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Zak Johnson,Essendon,40,Defender,185.0,2006-12-24,19.0,3,5.4,0.0,0,80.0,50.0,57.333
Harrison Jones,Essendon,23,MidfieldForward,196.0,2001-02-25,25.0,0,0.0,0.0,0,0.0,0.0,0.0
Isaac Kako,Essendon,10,Forward,175.0,2006-03-07,20.0,2,6.95,1.0,2,84.5,50.5,48.0
Max Kondogiannis,Essendon,29,Defender,191.0,2007-11-14,18.0,2,6.7,0.0,0,75.5,50.0,40.5
Kyle Langford,Essendon,4,Forward,192.0,1996-12-01,29.0,3,3.467,0.0,0,88.333,45.667,53.667
Nicholas Martin,Essendon,37,MidfieldForward,192.0,2001-04-03,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Archie May,Essendon,26,Forward,198.0,2004-08-27,21.0,2,2.6,0.0,0,56.0,35.0,32.0
Andrew McGrath,Essendon,1,Defender,180.0,1998-06-02,27.0,3,7.4,0.0,0,84.667,82.0,77.333
Ben McKay,Essendon,32,Defender,202.0,1997-12-24,28.0,3,9.167,0.0,0,97.667,51.667,33.333
Liam McMahon,Essendon,48,Forward,197.0,2002-05-02,23.0,0,0.0,0.0,0,0.0,0.0,0.0
Zachary Merrett,Essendon,7,Midfield,179.0,1995-10-03,30.0,3,14.867,0.333,1,83.0,111.0,94.333
Jayden Nguyen,Essendon,42,Defender,178.0,2006-07-27,19.0,2,5.3,0.0,0,81.0,37.0,34.0
Darcy Parish,Essendon,3,Midfield,180.0,1997-07-25,28.0,3,10.067,0.0,0,71.667,75.667,72.0
Archie Perkins,Essendon,16,Forward,188.0,2002-03-26,24.0,3,6.133,0.0,0,72.0,51.333,56.667
Jaxon Prior,Essendon,25,Defender,189.0,2001-06-04,24.0,3,11.1,0.0,0,82.667,78.0,66.333
Mason Redman,Essendon,27,Defender,187.0,1997-08-26,28.0,2,7.85,0.0,0,53.0,74.0,60.0
Zach Reid,Essendon,31,Defender,202.0,2002-03-02,24.0,3,4.033,0.0,0,93.667,47.667,43.0
Jordan Ridley,Essendon,14,Defender,195.0,1998-10-20,27.0,0,0.0,0.0,0,0.0,0.0,0.0
Archie Roberts,Essendon,21,Defender,184.0,2005-11-18,20.0,3,10.633,0.0,0,77.333,85.0,75.667
Sullivan Robey,Essendon,9,MidfieldForward,192.0,2007-10-04,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Will Setterfield,Essendon,12,Midfield,192.0,1998-02-05,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Dyson Sharp,Essendon,15,Midfield,187.0,2007-05-23,18.0,2,5.1,0.0,0,51.0,35.5,33.0
Elijah Tsatas,Essendon,5,Midfield,187.0,2004-10-18,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Rhys Unwin,Essendon,38,Forward,179.0,2006-10-11,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Vigo Visentini,Essendon,17,Ruck,203.0,2005-09-05,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Peter Wright,Essendon,20,Forward,203.0,1996-09-08,29.0,3,12.267,0.333,1,81.667,88.667,55.0
Jye Amiss,Fremantle,24,Forward,196.0,2003-07-31,22.0,3,3.567,0.0,0,86.333,53.0,41.0
Bailey Banfield,Fremantle,41,Defender,190.0,1998-02-26,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Shai Bolton,Fremantle,10,MidfieldForward,176.0,1998-12-08,27.0,3,18.3,5.333,16,79.333,113.333,94.667
Andrew Brayshaw,Fremantle,8,Midfield,185.0,1999-11-08,26.0,3,7.767,2.0,6,78.667,88.0,92.667
Jaren Carr,Fremantle,38,Forward,191.0,2004-01-27,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Heath Chapman,Fremantle,5,Defender,193.0,2002-01-31,24.0,3,7.667,0.0,0,87.0,74.0,68.0
Jordan Clark,Fremantle,6,Defender,185.0,2000-10-16,25.0,3,12.0,1.0,3,83.0,107.667,85.333
Brennan Cox,Fremantle,36,Defender,195.0,1998-08-13,27.0,0,0.0,0.0,0,0.0,0.0,0.0
Mason Cox,Fremantle,18,ForwardRuck,211.0,1991-03-14,35.0,0,0.0,0.0,0,0.0,0.0,0.0
Sean Darcy,Fremantle,4,Ruck,203.0,1998-06-12,27.0,3,6.7,0.0,0,51.0,65.0,54.0
Hugh Davies,Fremantle,12,Defender,196.0,2004-09-28,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Josh Draper,Fremantle,37,Defender,197.0,2004-02-08,22.0,0,0.0,0.0,0,0.0,0.0,0.0
