Team,Jumper,Player,DOB,Height,Position,Matches_Career,Age,Origin,Contract_Expiry,FA_Status,Draft_Year,Draft_Type,Draft_Round,Draft_Pick,Position_Clean,Age_Decimal,Season,Matches_Current
Adelaide,42,Lachlan McAndrew,2000-05-26,209.0,Ruck,2,25yr 9mth,Sydney,2027.0,Unrestricted Free Agent,2021.0,Mid-Season,1.0,12.0,Ruck,25.0,2026,0
Adelaide,16,Max Michalanney,2004-02-26,190.0,Defender,66,22yr,Norwood,2030.0,Restricted Free Agent,2022.0,National,1.0,17.0,Defender,22.0,2026,0
Adelaide,30,Wayne Milera,1997-09-14,185.0,Defender,123,28yr 5mth,Central District,2028.0,Unrestricted Free Agent,2015.0,National,1.0,11.0,Defender,28.0,2026,0
Adelaide,9,Nick Murray,2000-12-18,195.0,Defender,67,25yr 2mth,Allies,2028.0,Restricted Free Agent,,,,,Defender,25.0,2026,0
Adelaide,39,Toby Murray,2003-11-03,200.0,Forward,0,22yr 4mth,Adelaide SANFL,2027.0,Non-Free Agent,2024.0,Mid-Season,1.0,7.0,Forward,22.0,2026,0
Adelaide,27,Luke Nankervis,2003-05-25,189.0,Midfield,31,22yr 9mth,Sandringham Dragons,2027.0,Non-Free Agent,2021.0,Pre-Season,1.0,2.0,Midfielder,22.0,2026,0
Adelaide,28,Alex Neal-Bullen,1996-01-09,182.0,Forward,201,30yr 2mth,Glenelg,2028.0,Unrestricted Free Agent,2014.0,National,2.0,40.0,Forward,30.0,2026,0
Adelaide,43,Reilly O'Brien,1995-08-20,201.0,Ruck,146,30yr 6mth,Calder Cannons,2028.0,Unrestricted Free Agent,2014.0,Rookie,1.0,9.0,Ruck,30.0,2026,0
Adelaide,25,James Peatling,2000-08-21,186.0,Midfield,68,25yr 6mth,GWS Giants,2028.0,Non-Free Agent,2021.0,Mid-Season,1.0,8.0,Midfielder,25.0,2026,0
Adelaide,10,Luke Pedlar,2002-05-17,183.0,Forward,39,23yr 9mth,Glenelg,2026.0,Non-Free Agent,2020.0,National,1.0,11.0,Forward,23.0,2026,0
Adelaide,8,Josh Rachele,2003-04-11,180.0,Forward,70,22yr 11mth,Murray Bushrangers,2029.0,Restricted Free Agent,2021.0,National,1.0,6.0,Forward,22.0,2026,0
Adelaide,23,Izak Rankine,2000-04-23,179.0,MidfieldForward,105,25yr 10mth,West Adelaide,2027.0,Non-Free Agent,2018.0,National,1.0,3.0,Mid-Forward,25.0,2026,0
Adelaide,22,Oscar Ryan,2005-05-15,187.0,Defender,0,20yr 9mth,Murray Bushrangers,2026.0,Non-Free Agent,2023.0,National,1.0,27.0,Defender,20.0,2026,0
Adelaide,38,Lachlan Sholl,2000-03-07,186.0,Midfield,79,26yr,Calder Cannons,2026.0,Restricted Free Agent,2018.0,National,4.0,64.0,Midfielder,26.0,2026,0
Adelaide,14,Jake Soligo,2003-01-25,179.0,Midfield,85,23yr 1mth,Eastern Ranges,2029.0,Restricted Free Agent,2021.0,National,2.0,36.0,Midfielder,23.0,2026,0
Adelaide,19,Zac Taylor,2003-01-31,180.0,Forward,26,23yr 1mth,Calder Cannons,2026.0,Non-Free Agent,2021.0,National,3.0,44.0,Forward,23.0,2026,0
Adelaide,7,Riley Thilthorpe,2002-07-07,201.0,Forward,78,23yr 8mth,West Adelaide Fc,2028.0,Restricted Free Agent,2020.0,National,1.0,2.0,Forward,23.0,2026,0
Adelaide,13,Taylor Walker,1990-04-25,192.0,Forward,301,35yr 10mth,Broken Hill North,2026.0,Unrestricted Free Agent,,,,,Forward,35.0,2026,0
Adelaide,17,Tyler Welsh,2006-08-15,191.0,Forward,0,19yr 6mth,Woodville-West Torrens,2026.0,Unrestricted Free Agent,2025.0,Rookie,1.0,11.0,Forward,19.0,2026,0
Adelaide,24,Josh Worrell,2001-04-11,195.0,Defender,55,24yr 11mth,Sandringham Dragons,2033.0,Unrestricted Free Agent,2019.0,National,2.0,28.0,Defender,24.0,2026,0
Brisbane,4,Oscar Allen,1999-03-19,196.0,Forward,106,26yr 11mth,West Perth,2031.0,Non-Free Agent,2017.0,National,2.0,21.0,Forward,26.0,2026,1
Brisbane,31,Harris Andrews,1996-12-11,200.0,Defender,240,29yr 3mth,Aspley,2029.0,Unrestricted Free Agent,2014.0,National,4.0,61.0,Defender,29.0,2026,1
Brisbane,14,Daniel Annable,2007-04-05,184.0,Midfield,0,18yr 11mth,Brisbane Lions Academy,2028.0,Unknown,2025.0,National,1.0,6.0,Midfielder,18.0,2026,0
Brisbane,43,Noah Answerth,1999-08-06,182.0,Defender,88,26yr 7mth,Oakleigh Chargers,2028.0,Unrestricted Free Agent,2018.0,National,3.0,55.0,Defender,26.0,2026,0
Brisbane,10,Levi Ashcroft,2006-12-18,179.0,Midfield,28,19yr 2mth,Sandringham Dragons,2030.0,Non-Free Agent,2024.0,National,1.0,5.0,Midfielder,19.0,2026,1
Brisbane,8,Will Ashcroft,2004-05-06,182.0,Midfield,59,21yr 10mth,Sandringham Dragons,2030.0,Restricted Free Agent,2022.0,National,1.0,2.0,Midfielder,21.0,2026,1
Brisbane,33,Zac Bailey,1999-09-23,181.0,MidfieldForward,167,26yr 5mth,Norwood,2026.0,Restricted Free Agent,2017.0,National,1.0,15.0,Mid-Forward,26.0,2026,1
Brisbane,17,Luke Beecken,2001-04-18,185.0,Midfield,1,24yr 10mth,Woodville-West Torrens,2026.0,Non-Free Agent,2024.0,Mid-Season,2.0,17.0,Midfielder,24.0,2026,0
Brisbane,7,Jarrod Berry,1998-02-05,193.0,Midfield,185,28yr 1mth,North Ballarat Rebels,2029.0,Unrestricted Free Agent,2016.0,National,1.0,17.0,Midfielder,28.0,2026,1
Brisbane,34,Shadeau Brain,2004-02-13,183.0,Defender,9,22yr,Noosa,2027.0,Non-Free Agent,,,,,Defender,22.0,2026,0
Brisbane,23,Charlie Cameron,1994-07-05,180.0,Forward,255,31yr 8mth,Swan Districts,2028.0,Unrestricted Free Agent,2013.0,Rookie,1.0,7.0,Forward,31.0,2026,1
Brisbane,18,Keidean Coleman,2000-03-31,182.0,Defender,67,25yr 11mth,Brisbane,2027.0,Restricted Free Agent,2019.0,National,2.0,37.0,Defender,25.0,2026,1
Brisbane,37,Cody Curtin,2007-05-18,200.0,Forward,0,18yr 9mth,Claremont,2027.0,Unknown,2025.0,National,3.0,43.0,Forward,18.0,2026,0
Brisbane,12,Tom Doedee,1997-03-01,190.0,Defender,83,29yr,Geelong Falcons,2027.0,Non-Free Agent,2015.0,National,1.0,17.0,Defender,29.0,2026,0
Brisbane,2,Sam Draper,1998-09-28,205.0,ForwardRuck,78,27yr 5mth,South Adelaide,2030.0,Non-Free Agent,2016.0,Rookie,1.0,1.0,Ruck,27.0,2026,0
Brisbane,5,Josh Dunkley,1997-01-09,191.0,Midfield,195,29yr 2mth,Gippsland Power,2030.0,Restricted Free Agent,2015.0,National,2.0,25.0,Midfielder,29.0,2026,1
Brisbane,24,Koby Evans,2007-09-08,187.0,Midfield,0,18yr 6mth,Perth,2027.0,Unknown,2025.0,National,3.0,38.0,Midfielder,18.0,2026,0
Brisbane,3,Jaspa Fletcher,2004-02-24,184.0,Defender,69,22yr,Brisbane Lions,2030.0,Restricted Free Agent,2022.0,National,1.0,12.0,Defender,22.0,2026,1
Brisbane,32,Darcy Fort,1993-08-06,204.0,Ruck,58,32yr 7mth,Central District,2026.0,Non-Free Agent,2018.0,National,4.0,65.0,Ruck,32.0,2026,1
Brisbane,22,Ty Gallop,2006-02-09,194.0,Forward,7,20yr 1mth,Maroochydore,2029.0,Non-Free Agent,2024.0,National,3.0,42.0,Forward,20.0,2026,1
Brisbane,27,Darcy Gardiner,1995-09-22,192.0,Defender,184,30yr 5mth,Geelong Falcons,2026.0,Unrestricted Free Agent,2013.0,National,2.0,22.0,Defender,30.0,2026,1
Brisbane,42,Tai Hayes,2004-11-18,190.0,MidfieldForward,0,21yr 3mth,Southport Sharks,2027.0,Unknown,2025.0,National,3.0,44.0,Mid-Forward,21.0,2026,0
Brisbane,30,Eric Hipwood,1997-09-13,204.0,Forward,199,28yr 5mth,Aspley,2029.0,Unrestricted Free Agent,2015.0,National,1.0,14.0,Forward,28.0,2026,0
Brisbane,41,Darragh Joyce,1997-04-23,195.0,Defender,24,28yr 10mth,Kilkenny,2026.0,Unrestricted Free Agent,2024.0,Rookie,1.0,15.0,Defender,28.0,2026,0
Brisbane,35,Ryan Lester,1992-08-26,190.0,Defender,234,33yr 6mth,Oakleigh Chargers,2026.0,Unrestricted Free Agent,2022.0,Rookie,1.0,15.0,Defender,33.0,2026,1
Brisbane,19,Luke Lloyd,2005-08-08,193.0,Forward,0,20yr 7mth,Sandringham Dragons,2026.0,Non-Free Agent,2023.0,National,2.0,42.0,Forward,20.0,2026,0
Brisbane,1,Kai Lohmann,2003-05-06,185.0,Forward,54,22yr 10mth,GWV Rebels,2027.0,Non-Free Agent,2021.0,National,1.0,20.0,Forward,22.0,2026,1
Brisbane,20,Sam Marshall,2006-01-19,185.0,Midfield,11,20yr 1mth,Sandringham Dragons,2027.0,Non-Free Agent,2024.0,National,1.0,25.0,Midfielder,20.0,2026,0
Brisbane,11,Lincoln McCarthy,1993-10-22,176.0,Forward,151,32yr 4mth,Glenelg,2026.0,Restricted Free Agent,2025.0,Rookie,1.0,14.0,Forward,32.0,2026,0
Brisbane,6,Hugh McCluggage,1998-03-03,187.0,Midfield,210,28yr,North Ballarat Rebels,2031.0,Unrestricted Free Agent,2016.0,National,1.0,3.0,Midfielder,28.0,2026,1
Brisbane,26,Conor McKenna,1996-03-28,184.0,Forward,128,29yr 11mth,"Eglish, Tyrone",2026.0,Non-Free Agent,,,,,Forward,29.0,2026,0
Brisbane,28,Will McLachlan,2005-04-13,185.0,Forward,6,20yr 10mth,Geelong Falcons,2026.0,Non-Free Agent,2024.0,Mid-Season,1.0,6.0,Forward,20.0,2026,0
Brisbane,13,Logan Morris,2005-05-10,191.0,Forward,46,20yr 10mth,Western Jets,2027.0,Non-Free Agent,2023.0,National,2.0,31.0,Forward,20.0,2026,1
Brisbane,39,Ben Murphy,,191.0,Defender,0,,Kerry GAA,2027.0,Unknown,,,,,Defender,,2026,0
Brisbane,9,Lachie Neale,1993-05-24,177.0,Midfield,295,32yr 9mth,Glenelg,2026.0,Restricted Free Agent,2011.0,National,3.0,58.0,Midfielder,32.0,2026,1
Brisbane,40,Jack Payne,1999-10-15,196.0,Defender,81,26yr 4mth,Lions Academy,2029.0,Unrestricted Free Agent,2017.0,National,3.0,54.0,Defender,26.0,2026,0
Brisbane,16,Cameron Rayner,1999-10-21,187.0,Forward,168,26yr 4mth,Western Jets,2031.0,Unrestricted Free Agent,2017.0,National,1.0,1.0,Forward,26.0,2026,1
Brisbane,38,Bruce Reville,2001-02-22,185.0,Midfield,26,25yr,Coates Talent League Boys,2026.0,Non-Free Agent,,,,,Midfielder,25.0,2026,1
Brisbane,25,Henry Smith,2002-09-24,202.0,Forward,6,23yr 5mth,Woodville-west Torrens,2026.0,Non-Free Agent,2020.0,National,3.0,48.0,Forward,23.0,2026,0
Brisbane,36,Reece Torrent,2005-08-03,184.0,Midfield,0,20yr 7mth,Peel Thunder,2026.0,Non-Free Agent,2023.0,National,5.0,64.0,Midfielder,20.0,2026,0
Brisbane,29,James Tunstill,2003-07-18,187.0,Midfield,12,22yr 7mth,East Perth,2026.0,Non-Free Agent,2021.0,National,3.0,41.0,Midfielder,22.0,2026,0
Brisbane,44,Darcy Wilmot,2003-12-31,183.0,Defender,84,22yr 2mth,Northern Knights,2029.0,Restricted Free Agent,2021.0,National,1.0,16.0,Defender,22.0,2026,1
Brisbane,21,Zane Zakostelsky,2005-12-14,196.0,DefenderRuck,1,20yr 2mth,Claremont,2026.0,Non-Free Agent,2023.0,National,3.0,51.0,Defender,20.0,2026,1
Brisbane,15,Dayne Zorko,1989-02-09,175.0,Defender,305,37yr 1mth,Broadbeach,2026.0,Unrestricted Free Agent,,,,,Defender,37.0,2026,1
Carlton,13,Blake Acres,1995-10-07,193.0,Midfield,187,30yr 5mth,West Perth,2027.0,Non-Free Agent,2013.0,National,1.0,19.0,Midfielder,30.0,2026,0
Carlton,12,Ben Ainsworth,1998-02-10,178.0,Forward,160,28yr 1mth,Gippsland Power,2029.0,Unrestricted Free Agent,2016.0,National,1.0,4.0,Forward,28.0,2026,2
Carlton,37,Jordan Boyd,1998-09-22,182.0,Defender,38,27yr 5mth,Footscray,2026.0,Non-Free Agent,2021.0,Mid-Season,2.0,19.0,Defender,27.0,2026,0
Carlton,39,Talor Byrne,2007-11-14,174.0,MidfieldForward,0,18yr 3mth,GWV Rebels,2027.0,Unknown,2025.0,National,3.0,45.0,Mid-Forward,18.0,2026,0
Carlton,16,Ben Camporeale,2006-07-21,186.0,Midfield,0,19yr 7mth,Glenelg,2026.0,Non-Free Agent,2024.0,National,3.0,43.0,Midfielder,19.0,2026,0
Carlton,21,Lucas Camporeale,2006-07-21,184.0,Midfield,3,19yr 7mth,Glenelg,2026.0,Non-Free Agent,2024.0,National,3.0,54.0,Midfielder,19.0,2026,0
Carlton,32,Matt Carroll,2005-11-28,188.0,Defender,18,20yr 3mth,Sandringham Dragons,2027.0,Unrestricted Free Agent,2023.0,Rookie,1.0,15.0,Defender,20.0,2026,1
Carlton,5,Adam Cerra,1999-10-07,188.0,Midfield,148,26yr 5mth,Eastern Ranges,2030.0,Restricted Free Agent,2017.0,National,1.0,5.0,Midfielder,26.0,2026,0
Carlton,28,Harry Charleson,2006-06-26,183.0,DefenderMidfield,0,19yr 8mth,Greater Western Victoria Rebels,2026.0,Non-Free Agent,2024.0,Rookie,1.0,9.0,Defender,19.0,2026,0
Carlton,31,Campbell Chesser,2003-04-27,186.0,Midfield,38,22yr 10mth,Sandringham Dragons,2027.0,Non-Free Agent,2021.0,National,1.0,14.0,Midfielder,22.0,2026,2
Carlton,46,Matt Cottrell,2000-02-29,184.0,MidfieldForward,74,26yr,Dandenong Stingrays,2027.0,Unrestricted Free Agent,2021.0,Rookie,2.0,24.0,Mid-Forward,26.0,2026,0
Carlton,2,Lachlan Cowan,2004-12-01,188.0,Defender,39,21yr 3mth,Tasmania Devils,2028.0,Non-Free Agent,2022.0,National,2.0,30.0,Defender,21.0,2026,1
Carlton,9,Patrick Cripps,1995-03-18,195.0,Midfield,232,30yr 11mth,East Fremantle,2027.0,Unrestricted Free Agent,2013.0,National,1.0,13.0,Midfielder,30.0,2026,2
Carlton,35,Harry Dean,2007-11-13,194.0,Defender,2,18yr 3mth,Murray Bushrangers,2028.0,Unknown,2025.0,National,1.0,3.0,Defender,18.0,2026,2
Carlton,47,Wade Derksen,2001-06-18,194.0,Defender,0,24yr 8mth,Peel Thunder,2026.0,Unrestricted Free Agent,2022.0,Mid-Season,1.0,5.0,Defender,24.0,2026,0
Carlton,41,Matt Duffy,2004-01-02,194.0,Defender,0,22yr 2mth,Longford GAA,2026.0,Non-Free Agent,,,,,Defender,22.0,2026,0
Carlton,44,Francis Evans,2001-08-23,182.0,Forward,44,24yr 6mth,Calder Cannons,2026.0,Unrestricted Free Agent,2019.0,National,2.0,41.0,Forward,24.0,2026,0
Carlton,14,Oliver Florent,1998-07-22,184.0,Midfield,186,27yr 7mth,Sandringham Dragons,2030.0,Unrestricted Free Agent,2016.0,National,1.0,11.0,Midfielder,27.0,2026,2
Carlton,8,Lachlan Fogarty,1999-04-01,180.0,Forward,92,26yr 11mth,Western Jets,2026.0,Non-Free Agent,2017.0,National,2.0,22.0,Forward,26.0,2026,2
Carlton,26,Nick Haynes,1992-05-18,192.0,Defender,234,33yr 9mth,Dandenong Stingrays,2026.0,Unrestricted Free Agent,2011.0,National,1.0,7.0,Defender,33.0,2026,0
Carlton,19,Will Hayward,1998-10-26,186.0,Forward,186,27yr 4mth,North Adelaide,2030.0,Unrestricted Free Agent,2016.0,National,1.0,21.0,Forward,27.0,2026,2
Carlton,29,George Hewett,1995-12-29,187.0,Midfield,204,30yr 2mth,North Adelaide,2027.0,Non-Free Agent,2013.0,National,2.0,32.0,Midfielder,30.0,2026,2
Carlton,20,Elijah Hollands,2002-04-25,189.0,Forward,43,23yr 10mth,Murray Bushrangers,2026.0,Unrestricted Free Agent,2020.0,National,1.0,7.0,Forward,23.0,2026,2
Carlton,4,Oliver Hollands,2004-01-16,184.0,Defender,67,22yr 1mth,Murray Bushrangers,2026.0,Non-Free Agent,2022.0,National,1.0,11.0,Defender,22.0,2026,2
Carlton,30,Jack Ison,2007-03-26,192.0,Midfield,0,18yr 11mth,Oakleigh Chargers,2027.0,Unknown,2025.0,National,3.0,47.0,Midfielder,18.0,2026,0
Carlton,17,Brodie Kemp,2001-05-01,192.0,Forward,51,24yr 10mth,Bendigo Pioneers,2027.0,Restricted Free Agent,2019.0,National,1.0,17.0,Forward,24.0,2026,2
Carlton,36,Cooper Lord,2005-03-20,184.0,Midfield,25,20yr 11mth,North Melbourne,2029.0,Non-Free Agent,2024.0,Mid-Season,1.0,9.0,Midfielder,20.0,2026,2
Carlton,11,Mitch McGovern,1994-10-11,190.0,Defender,147,31yr 5mth,Claremont,2026.0,Restricted Free Agent,2014.0,National,3.0,43.0,Defender,31.0,2026,2
Carlton,10,Harry McKay,1997-12-24,200.0,Forward,142,28yr 2mth,Gippsland Power,2030.0,Unrestricted Free Agent,2015.0,National,1.0,10.0,Forward,28.0,2026,2
Carlton,43,Ashton Moir,2005-04-15,188.0,Forward,12,20yr 10mth,Glenelg,2027.0,Non-Free Agent,2023.0,National,1.0,29.0,Forward,20.0,2026,1
Carlton,34,Rob Monahan,2004-06-29,194.0,Forward,0,21yr 8mth,Kerry,2026.0,Non-Free Agent,,,,,Forward,21.0,2026,0
Carlton,3,Jesse Motlop,2003-11-23,180.0,Forward,63,22yr 3mth,South Fremantle,2027.0,Non-Free Agent,2021.0,National,2.0,27.0,Forward,22.0,2026,0
Carlton,24,Nic Newman,1993-01-15,186.0,Defender,134,33yr 1mth,Frankston,2026.0,Restricted Free Agent,2014.0,Rookie,2.0,35.0,Defender,33.0,2026,0
Carlton,22,Harry O'Farrell,2006-05-03,196.0,Defender,6,19yr 10mth,Calder Cannons,2027.0,Non-Free Agent,2024.0,National,2.0,40.0,Defender,19.0,2026,0
Carlton,40,Hudson O'Keeffe,2004-12-16,202.0,Forward,6,21yr 2mth,Oakleigh Chargers,2026.0,Non-Free Agent,,,,,Forward,21.0,2026,1
Carlton,27,Marc Pittonet,1996-06-03,202.0,Ruck,82,29yr 9mth,Oakleigh Chargers,2027.0,Restricted Free Agent,2014.0,National,3.0,50.0,Ruck,29.0,2026,2
Carlton,25,Liam Reidy,2000-06-14,204.0,ForwardRuck,4,25yr 8mth,Frankston Dolphins,2028.0,Non-Free Agent,2022.0,Rookie,1.0,13.0,Ruck,25.0,2026,1
Carlton,42,Adam Saad,1994-07-23,178.0,Defender,217,31yr 7mth,Coburg,2026.0,Non-Free Agent,2014.0,Rookie,2.0,25.0,Defender,31.0,2026,1
Carlton,7,Jagga Smith,2006-01-28,182.0,Midfield,2,20yr 1mth,Oakleigh Chargers,2027.0,Non-Free Agent,2024.0,National,1.0,3.0,Midfielder,20.0,2026,2
Carlton,18,Sam Walsh,2000-07-02,184.0,Midfield,135,25yr 8mth,Geelong Falcons,2034.0,Unrestricted Free Agent,2018.0,National,1.0,1.0,Midfielder,25.0,2026,2
Carlton,23,Jacob Weitering,1997-11-23,195.0,Defender,206,28yr 3mth,Mount Eliza Football Club,2031.0,Unrestricted Free Agent,2015.0,National,1.0,1.0,Defender,28.0,2026,2
Carlton,6,Zachary Williams,1994-09-20,186.0,Forward,176,31yr 5mth,Narrandera,2026.0,Non-Free Agent,2013.0,National,8.0,95.0,Forward,31.0,2026,2
Carlton,15,Billy Wilson,2005-06-16,183.0,Defender,4,20yr 8mth,Dandenong Stringrays,2026.0,Non-Free Agent,2023.0,National,2.0,34.0,Defender,20.0,2026,0
Carlton,45,Flynn Young,2002-02-03,181.0,Forward,8,24yr 1mth,Werribee,2026.0,Non-Free Agent,2025.0,Mid-Season,1.0,4.0,Forward,24.0,2026,0
Carlton,33,Lewis Young,1998-12-20,202.0,Defender,82,27yr 2mth,Sturt,2026.0,Non-Free Agent,2016.0,National,3.0,49.0,Defender,27.0,2026,2
Collingwood,16,Edward Allan,2004-05-26,194.0,Midfield,16,21yr 9mth,Claremont,2026.0,Non-Free Agent,2022.0,National,1.0,19.0,Midfielder,21.0,2026,1
Collingwood,41,Angus Anderson,2003-05-25,193.0,Midfield,0,22yr 9mth,Sturt,2027.0,Unknown,2025.0,National,4.0,57.0,Midfielder,22.0,2026,0
Collingwood,34,Jack Buller,2001-05-16,199.0,Forward,11,24yr 9mth,Claremont,2027.0,Non-Free Agent,2023.0,Mid-Season,2.0,15.0,Forward,24.0,2026,1
Collingwood,14,Darcy Cameron,1995-07-18,204.0,Ruck,121,30yr 7mth,Claremont,2029.0,Unrestricted Free Agent,2016.0,National,3.0,48.0,Ruck,30.0,2026,1
Collingwood,27,Joel Cochran,2006-03-28,195.0,Defender,0,19yr 11mth,UNSW-Eastern Suburbs,2026.0,Non-Free Agent,2024.0,National,3.0,47.0,Defender,19.0,2026,0
Collingwood,25,Jack Crisp,1993-10-02,190.0,Midfield,275,32yr 5mth,Murray Bushrangers,2026.0,Unrestricted Free Agent,2012.0,National,5.0,86.0,Midfielder,32.0,2026,1
Collingwood,7,Josh Daicos,1998-11-26,178.0,Defender,152,27yr 3mth,Oakleigh Chargers,2030.0,Unrestricted Free Agent,2016.0,National,4.0,57.0,Defender,27.0,2026,1
Collingwood,35,Nick Daicos,2003-01-03,184.0,Midfield,96,23yr 2mth,Oakleigh Chargers,2029.0,Restricted Free Agent,2021.0,National,1.0,4.0,Midfielder,23.0,2026,1
Collingwood,2,Jordan De Goey,1996-03-15,188.0,MidfieldForward,183,29yr 11mth,Oakleigh Chargers,2027.0,Unrestricted Free Agent,2014.0,National,1.0,5.0,Mid-Forward,29.0,2026,1
Collingwood,13,Harry Demattia,2005-09-11,186.0,Midfield,0,20yr 6mth,Dandenong Stingrays,2027.0,Non-Free Agent,2023.0,National,1.0,25.0,Midfielder,20.0,2026,0
Collingwood,5,Jamie Elliott,1992-08-21,178.0,Forward,220,33yr 6mth,Murray Bushrangers,2027.0,Unrestricted Free Agent,,,,,Forward,33.0,2026,1
Collingwood,17,Billy Frampton,1996-11-20,201.0,Defender,75,29yr 3mth,South Fremantle,2026.0,Non-Free Agent,2014.0,National,6.0,84.0,Defender,29.0,2026,1
Collingwood,36,Harvey Harrison,2003-11-10,181.0,Forward,16,22yr 4mth,North Adelaide,2027.0,Non-Free Agent,2021.0,National,3.0,52.0,Forward,22.0,2026,0
Collingwood,39,Will Hayes,2006-05-16,180.0,Forward,2,19yr 9mth,Claremont,2028.0,Non-Free Agent,2022.0,Mid-Season,2.0,22.0,Forward,19.0,2026,0
Collingwood,23,Bobby Hill,2000-02-09,175.0,Forward,102,26yr 1mth,Perth,2030.0,Restricted Free Agent,2018.0,National,2.0,24.0,Forward,26.0,2026,0
Collingwood,9,Dan Houston,1997-05-12,186.0,Defender,190,28yr 10mth,Oakleigh Chargers,2030.0,Non-Free Agent,2015.0,Rookie,3.0,45.0,Defender,28.0,2026,1
Collingwood,38,Jeremy Howe,1990-06-29,190.0,Defender,271,35yr 8mth,Hobart,2026.0,Unrestricted Free Agent,2010.0,National,2.0,33.0,Defender,35.0,2026,0
